16:56:14–16:56:26  I type '下午在港大图书馆弄情绪探针'.
17:00:18–17:00:25  I read about Papers with Code.
17:00:26–17:00:28  I read about GitHub and Hugging Face paper repositories.
17:00:29–17:00:32  I scroll up to re-examine Litmaps and Research Rabbit.
17:00:33–17:00:37  I view Google search results for paper tools.
17:00:38–17:00:42  I navigate to the Litmaps homepage.
17:00:43–17:00:44  I inspect a Connected Papers citation network graph.
17:00:44–17:00:45  I switch browser tabs to Litmaps.
17:00:45–17:00:47  I input 'Emotion Concepts and their Function in a Large Language Model' into the Litmaps search bar.
17:00:47–17:00:50  I select the autocomplete suggestion for the Sofroniew paper on Litmaps.
17:00:50–17:00:54  I monitor Litmaps loading the seed map page.
17:00:54–17:00:58  I observe Litmaps searching citations and references.
17:00:58–17:01:05  I examine the 'AIPsy-Affect' paper card in the Litmaps sidebar.
17:01:05–17:01:11  I scan the citation timeline graph nodes in Litmaps.
17:01:11–17:01:13  I inspect paper tooltips for Jeong (2026) and Peiris (2026) on the graph.
17:01:13–17:01:14  I say '嗯。'.
17:01:14–17:01:21  I read the Choi 2026 paper node on Litmaps.
17:01:22–17:01:26  I inspect the Jeong 2026 paper node.
17:01:27–17:01:32  I inspect the Xu 2026 paper node.
17:01:33–17:01:38  I inspect the Sun 2026 paper node.
17:01:39–17:01:40  I open the browser context menu.
17:01:41–17:01:43  I refocus on the Sun 2026 paper node.
17:01:44–17:01:46  I examine the Litmaps citation graph.
17:01:47–17:01:54  I read the paper abstract for 'Valence-Arousal Subspace in LLMs'.
17:01:55–17:01:56  I raise my right hand.
17:01:57–17:02:13  I read the abstract text on Litmaps.
17:02:14–17:02:26  I read the Litmaps paper abstract on valence-arousal subspace.
17:02:26–17:02:43  I read the Litmaps paper findings on model steering and sycophancy.
17:02:44–17:02:54  I read the Litmaps paper abstract on Valence-Arousal Subspace in LLMs.
17:02:54–17:03:02  I read the conclusion of the Litmaps paper abstract.
17:03:02–17:03:04  I inspect the paper title and metadata.
17:03:04–17:03:06  I open the browser context menu.
17:03:06–17:03:09  I examine the Sofroniew (2026) citation node.
17:03:09–17:03:12  I inspect the Litmaps citation graph connections.
17:03:12–17:03:14  I check the Litmaps Guest Mode notification banner.
17:03:14–17:03:17  I click 'Sign Up with Google'.
17:03:18–17:03:22  I select my Google account.
17:03:23–17:03:26  I click '继续' on the OAuth prompt.
17:03:27–17:03:29  I wait for Litmaps to load.
17:03:30–17:03:35  I view the Litmaps search dashboard.
17:03:36–17:03:41  I review the Litmaps search result card.
17:03:42–17:03:44  I switch to the arXiv paper page.
17:03:44–17:03:48  I view the Connected Papers citation graph.
17:03:49–17:03:52  I read the Connected Papers abstract.
17:03:53–17:03:54  I switch to the Litmaps tab.
17:03:55–17:03:58  I switch back to Connected Papers.
17:03:59–17:04:04  I read the Chinese translated abstract on Connected Papers.
17:04:05–17:04:08  I view the Litmaps search result.
17:04:09–17:04:11  I click 'Explore Related Articles'.
17:04:12–17:04:14  I read the Litmaps limit modal.
17:04:14–17:04:17  I review the Litmap limit modal.
17:04:18–17:04:23  I inspect older Litmaps to delete.
17:04:24–17:04:28  I select 'Burda, 2018' for deletion.
17:04:29–17:04:29  I click 'Delete 删除'.
17:04:30–17:04:30  I say '嗯。'.
17:04:31–17:04:33  I wait for the Litmap generation.
17:04:34–17:04:37  I observe the Litmaps search view.
17:04:38–17:04:41  I examine the generated Litmap network.
17:04:42–17:04:44  I look at the upper Litmap controls.
17:04:44–17:04:50  I browse recommended papers on Litmaps.
17:04:50–17:04:57  I view the Litmaps interface.
17:04:57–17:05:03  I inspect Litmaps layout options.
17:05:03–17:05:08  I examine the Litmaps citation graph.
17:05:08–17:05:13  I check Litmaps search filter options.
17:05:14–17:05:16  I view the Litmaps search algorithm modal.
17:05:17–17:05:22  I examine the search algorithm explanations.
17:05:23–17:05:26  I review the Common Authors and Similar Text options.
17:05:27–17:05:32  I monitor the search query progress in Litmaps.
17:05:33–17:05:38  I inspect the retrieved articles in Litmaps.
17:05:39–17:05:43  I scan the Litmaps citation graph canvas.
17:05:44–17:05:57  I examine the Litmaps citation graph.
17:05:58–17:06:03  I read the Sofroniew (2026) article abstract.
17:06:04–17:06:08  I look at the Close button on the modal.
17:06:09–17:06:14  I return to the Explore list view.
17:06:14–17:06:15  I view the Litmaps explore page for Sofroniew, 2026.
17:06:16–17:06:20  I inspect algorithm options in the Litmaps modal.
17:06:21–17:06:31  I read the Similar Text option description on Litmaps.
17:06:32–17:06:33  I click 'Apply 应用' on Litmaps.
17:06:34–17:06:39  I monitor the Litmaps search loading progress.
17:06:40–17:06:43  I read the queue notification on Litmaps.
17:06:44–17:06:51  I monitor the Litmaps loading progress.
17:06:52–17:06:53  I view the Litmaps paper result for Sofroniew (2026).
17:06:54–17:07:01  I examine the Litmaps citation network graph.
17:07:02–17:07:07  I zoom in on the Sofroniew (2026) node on Litmaps.
17:07:08–17:07:13  I pan across the Litmaps citation map.
17:07:14–17:07:19  I examine the Litmaps citation graph.
17:07:20–17:07:29  I review paper nodes on the Litmaps graph.
17:07:30–17:07:33  I right-click the graph and click the Wu 2025 node.
17:07:34–17:07:44  I read the Wu, 2025 paper abstract.
17:07:44–17:08:09  I read the paper abstract on Litmaps.
17:08:10–17:08:11  I look at the 'Sofroniew, 2026' entry.
17:08:12–17:08:13  I view the updated article metadata.
17:08:14–17:08:17  I examine the Litmaps article exploration graph.
17:08:18–17:08:20  I read the Litmaps search algorithm modal options.
17:08:21–17:08:28  I inspect the updated citation graph.
17:08:29–17:08:30  I place my hands on the keyboard.
17:08:31–17:08:32  I open the Explore Settings modal.
17:08:33–17:08:35  I reopen the algorithm selector modal.
17:08:36–17:08:43  I explore the Choi 2026 paper node in Litmaps.
17:08:44–17:08:45  I switch tabs to Claude.
17:08:45–17:08:50  I read Claude's literature tool recommendations.
17:08:50–17:08:58  I read about Elicit and the research workflow.
17:08:58–17:09:05  I read about Semantic Scholar.
17:09:05–17:09:06  I say '嗯。'
17:09:06–17:09:10  I switch back to Litmaps.
17:09:10–17:09:14  I open and read the arXiv paper on LLM emotion geometry.
17:09:14–17:09:16  I wait for Connected Papers to load.
17:09:17–17:09:19  I observe the Connected Papers graph interface.
17:09:19–17:09:21  I say '这是什么？这是什么？'.
17:09:22–17:09:25  I inspect the Affective Retrofitted Word Embeddings node.
17:09:26–17:09:29  I inspect the Maleki 2021 node.
17:09:30–17:09:32  I inspect the Zhao 2025 emotion organization paper.
17:09:33–17:09:37  I scan representation learning paper nodes.
17:09:38–17:09:44  I explore affect and emotion fine-tuning paper nodes.
17:09:44–17:09:46  I inspect paper nodes on Connected Papers.
17:09:47–17:09:50  I read paper abstracts on Connected Papers.
17:09:51–17:09:55  I say '一二三。'
17:09:56–17:10:01  I read the paper abstract for Emergence of Hierarchical Emotion Organization.
17:10:02–17:10:06  I compare paper nodes on Connected Papers.
17:10:07–17:10:11  I scan the citation graph on Connected Papers.
17:10:12–17:10:13  I select the node for From Rational Answers to Emotional Resonance.
17:10:14–17:10:15  I view the paper details for 'Emotion Concepts and their Function in a Large Language Model'.
17:10:15–17:10:16  I examine the paper node 'Emergence of Hierarchical Emotion Organization in Large Language Models'.
17:10:17–17:10:18  I view the details for 'Emotions Where Art Thou'.
17:10:19–17:10:20  I select 'Emergence of Hierarchical Emotion Organization in Large Language Models'.
17:10:21–17:10:32  I read the translated abstract of 'Emergence of Hierarchical Emotion Organization in Large Language Models'.
17:10:33–17:10:43  I review the abstract on LLM emotion hierarchy and biases.
17:10:44–17:10:48  I read the paper abstract on Connected Papers.
17:10:49–17:10:53  I look at the Connected Papers graph and desk lamp.
17:10:54–17:10:55  I view the Elicit tab.
17:10:56–17:10:59  I review literature tool recommendations in Claude.
17:11:00–17:11:04  I inspect the GPU selection modal in Claude Code.
17:11:05–17:11:09  I say '哦，shit，这房间。That is not good.'
17:11:10–17:11:14  I switch back from Safari to Elicit.
17:11:14–17:11:16  I look at the Elicit homepage.
17:11:17–17:11:20  I check the Claude Code usage overlay.
17:11:21–17:11:25  I click the Clash Verge menu bar icon.
17:11:26–17:11:28  I open Clash Verge subscriptions.
17:11:29–17:11:38  I select '美国-进阶IEPL02' in Clash Verge.
17:11:39–17:11:41  I say '啊，没事。对。'
17:11:42–17:11:44  I open Google Gemini.
17:11:44–17:11:46  I look at the Gemini interface.
17:11:46–17:11:49  I browse the Gemini sidebar chat history.
17:11:49–17:11:53  I enable Deep Research in Gemini.
17:11:53–17:11:57  I view the Deep Research prompt.
17:11:57–17:12:14  I type a research query about LLM internal emotions into Gemini.
17:12:14–17:12:21  I type '操控内部情绪的论文，' in Gemini.
17:12:21–17:12:26  I type '的介绍。' in Gemini.
17:12:26–17:12:34  I type '我要有影响力的，' in Gemini.
17:12:34–17:12:43  I type '并标出github' in Gemini.
17:12:44–17:12:46  I type '能否复现' into the Gemini prompt box.
17:12:47–17:12:49  I adjust my glasses.
17:12:50–17:12:57  I type '，是否有所有代码。' into the Gemini prompt box.
17:12:58–17:13:03  I type '并帮我梳理关于' into the Gemini prompt box.
17:13:04–17:13:11  I type 'llm情绪探针的研究' into the Gemini prompt box.
17:13:12–17:13:14  I delete '探针' from the Gemini prompt.
17:13:14–17:13:20  I submit '今年来关于获取llm内部情绪的论文，以及操控内部情绪的论文，的介绍。我要有影响力的，并标出github能否复现，是否有所有代码。并帮我梳理关于llm情绪的研究脉络' to Gemini.
17:13:21–17:13:26  I monitor the Gemini research plan generation.
17:13:27–17:13:29  I view the Gemini model selector dropdown.
17:13:30–17:13:34  I open the Gemini tools menu.
17:13:35–17:13:39  I look at the browser window corner.
17:13:40–17:13:42  I view my macOS Desktop files.
17:13:43–17:13:44  I read the Gemini research plan for LLM internal emotion research.
17:13:44–17:13:56  I read the Gemini Deep Research plan on LLM emotion research.
17:13:56–17:13:58  I click '开始研究'.
17:13:58–17:14:05  I monitor Gemini starting Deep Research.
17:14:05–17:14:08  I stand up from the desk.
17:14:08–17:14:14  I view the University X wall in the study hall.
17:14:14–17:14:15  I view the University of Hong Kong wall sign.
17:14:16–17:14:18  I observe a student in a study cubicle.
17:14:19–17:14:29  I walk along the tactile paving path down the corridor.
17:14:30–17:14:31  I check the Level 3 and restroom sign.
17:14:32–17:14:32  I walk toward the male restroom door.
