18:41:10–18:41:13  I say "我终于把那个狗屎数据洗完了".
18:44:05–18:44:07  My companion says '主要做露西亚，对。'.
18:44:07–18:44:10  I observe the gym workout area.
18:44:10–18:44:14  My companion says '其他人到时候也跑一下。然后那你打算怎么去？怎么怎么说？怎么怎么说？画画去验证。'
18:44:14–18:44:17  I walk down the gym aisle.
18:44:17–18:44:26  I say '嗯，对，我我想验证一下不同模型的总结能力，还有数据质量，和和在一个人训上，其他人准确率能不能提高之类的。'
18:44:26–18:44:36  My companion says '如果你做长时间的话，得跟那个文章的主题相关，因为如果你验证这个东西的话，会不会就开始变成去验证大模型的概括能力？然后。'
18:44:36–18:44:40  I untangle a black USB cable.
18:44:40–18:44:45  I hold a cable.
18:44:45–18:44:54  User A says '嗯，也是，但是你但凡是做这种数据集，别人一定会质疑，就是你这个模型，它总结的是不是，是不是到位？那他们会问你，你为啥不在露西亚上面比？为什么要在别人的上面比？为什么要在别人上面比？'.
18:44:54–18:45:01  User A says '就是你要要是你只要换模型就好，不要换对。'.
18:45:01–18:45:04  I say '哦，也也也是吧？'.
18:45:04–18:45:08  User A says '对对对，是是的。'.
18:45:08–18:45:10  I inspect the power bank and cable.
18:45:10–18:45:13  I place a charger into the cup holder.
18:45:14–18:45:18  My companion says '一个女生搞的视频，一千条，好像就要五六千块钱。'.
18:45:18–18:45:21  I say '一个视频五块是吧？' to my companion.
18:45:21–18:45:25  My companion says '然后没有不还不包括测评，你去搞搞测评什么？'.
18:45:25–18:45:34  My companion says 'User A那更贵，好像是两百。感觉他那个User B那个项目就搞了九千多块，快一万。'.
18:45:34–18:45:37  I say '那是图片吗？' to my companion.
18:45:37–18:45:39  My companion says '对。'.
18:45:40–18:45:43  I walk toward the cable machine.
18:45:44–18:45:46  I grab the pull-up bar.
18:45:47–18:45:51  I grab the rope attachment.
18:45:52–18:45:56  I hold the cable rope attachment.
18:45:57–18:46:05  I hold the rope attachment.
18:46:06–18:46:10  I say '我其实觉得，我其实当初。'
18:46:10–18:46:17  Companion says '初不是想评特别多，但是你和梁老师一直都说建议我多丰富一些。'.
18:46:18–18:46:22  I watch companion grab the tricep rope.
18:46:23–18:46:25  I raise my hand to my face.
18:46:26–18:46:27  I say 'OK。OK。'.
18:46:28–18:46:33  I grip the overhead pull-up bar.
18:46:34–18:46:36  I perform a pull-up.
18:46:37–18:46:39  I hang from the pull-up bar.
18:46:40–18:46:48  I say "啊！我觉得其实用处不大，就是没有人看那些模型，连名字都不知道。我感觉他只要每个领域选选那么一两个有代表性、功能性能最好的就足够了。"
18:46:48–18:46:52  User A says "你起码要二十个。"
18:46:52–18:46:58  I say "虽然多一些，确实看起来功能量更大。"
18:46:58–18:47:10  I say "我我没做 benchmark，我也比了十。"
18:47:10–18:47:18  I say '四个模型，其实你多越多，人家觉得你工作量大，工作量大本身也是一种贡献，来弥补一些创新性的不足。' to my friend.
18:47:18–18:47:20  I look at the cardio equipment.
18:47:20–18:47:26  I say '呵呵，别笑。OK。' while watching my friend exercise.
18:47:27–18:47:28  I look at the free-weight area.
18:47:29–18:47:33  I step toward the cable station.
18:47:34–18:47:36  I grip the overhead pull-up bar.
18:47:37–18:47:40  I look at the gym floor.
18:47:40–18:47:43  User X says '现在是初，刚开始有劲儿，现在好。'.
18:47:44–18:47:48  I say '我那洗数据纯纯就是 AI 自己自己给自己洗，自己 AI 自己给自己洗，就是我用 GPT 五点四啊五点六，然后让它洗一遍 DeepSeek，然后洗完了以后，然后再把这个洗完的数据再新开一个对话，然后再让它洗一遍，就这么洗。'.
18:47:49–18:47:51  I take a blue resistance band.
18:47:52–18:47:58  I hang the blue resistance band on the pull-up bar.
18:47:59–18:48:04  I point at the resistance band.
18:48:05–18:48:07  User X says '不会被封号。'.
18:48:08–18:48:10  I say '不会。'.
18:48:10–18:48:14  User A says '因为之前提问次数太多了，之前一个人一天我就提了，就十几分钟以内提了三四十条对话吧。'
18:48:14–18:48:18  I say '怀疑你在蒸馏。'
18:48:18–18:48:22  User A says '那倒不是，可能是怀疑滥用吧。'
18:48:22–18:48:26  I say '哎，我确实发现，那个GPT把它的思考链只只取了一部分，因为我让直接让它一行。'
18:48:26–18:48:33  I monitor User A performing pull-ups.
18:48:33–18:48:39  I glance up at the ceiling lights.
18:48:40–18:48:43  I hold the cable rope attachment.
18:48:43–18:48:47  I say '一行的，这样让他一行一行的读那个文件，然后我可以从他的那个思考链看出来，它显示的只有大概三分之一的内容。' to my partner.
18:48:47–18:48:50  I watch my partner step out of the resistance band.
18:48:50–18:48:54  I say '就比如说，他在压缩了，嗯，感觉也缺一些东西。' to my partner.
18:48:54–18:48:58  I look at my partner standing with crossed arms.
18:48:58–18:49:04  I say '就是就是就是肯定也不是全部摘要，肯定也不是全摘要。' to my partner.
18:49:04–18:49:09  I look toward the cardio equipment.
18:49:10–18:49:15  My workout partner says '他就他们就是这样做的，他们就用一个模型去总结思考链，然后最后呈现出来也是总结的'.
18:49:15–18:49:17  I say '不是。但 GPT 那个甚至都不是总结的，它是明显缺东西的。'.
18:49:17–18:49:20  I grip the cable rope attachment.
18:49:20–18:49:24  My workout partner says '缺东西可能，反正它。它就是只说了感觉有三分之一的思考内容。'.
18:49:24–18:49:25  I say '对。'.
18:49:25–18:49:28  My workout partner says '总结加过滤，给你搞得明明白白的。'.
18:49:28–18:49:33  I say '什么东西真留不了，没有思思考链真留不了。'.
18:49:33–18:49:36  I grasp the cable rope attachment.
18:49:36–18:49:39  I hold the cable rope attachment.
18:49:40–18:49:43  User A says '性能就下降一半。放下那个东西。'
18:49:43–18:49:50  User A says '发现自己的实验并不是完美无缺，因为我做了很多的策略的对比，就是你要从什么时候从 SFT 转移到强化学习，'
18:49:50–18:50:01  User A says '嗯，还有 SFT 不同的数据配比，'
18:50:01–18:50:05  User A says '然后什么，不是说数据配比，'
18:50:05–18:50:10  User A says '就是我把任务'
18:50:10–18:50:13  I say '分为了感知、理解和交互这三种类型。'
18:50:13–18:50:18  I say '然后我做了几个变体，一个是只用感知数据训练，然后去测评八个任务。'
18:50:18–18:50:24  I grasp the cable attachment handle and say '然后只用，只用感知，再用再用感知加理解，再感知理解来交互。'
18:50:24–18:50:29  I say '然后还有个变体是把那个思考链都去掉。只只用结果去训。'
18:50:29–18:50:35  I say '还有个配合结果，还有个是用课程学习，'
18:50:35–18:50:40  I say '就是你去设计一个各种任务的那个先后顺序，以及这个数据量的配置。'
18:50:40–18:50:42  I ask '你是怎么设计的？'
18:50:42–18:50:44  My friend says '我就是按由易到难。'
18:50:44–18:50:47  I ask '你怎么确定由易到难的？'
18:50:47–18:50:51  My friend says '非常的启发式。就是模型输出它由易到难。'
18:50:51–18:50:53  I ask '什么启发式？'
18:50:53–18:50:58  My friend says '就是，我就是，呃，按照人类的这个先验区分的。'
18:50:58–18:51:01  I ask '按照人类先，那你怎么区分呢？'
18:51:01–18:51:03  My friend says '就是先训多训，我是我这一版本是，我想想，就是先做多模态，不知道，先先做多模态，定，先打多模态的基础。'
18:51:03–18:51:10  I grasp the triceps rope cable attachment.
18:51:10–18:51:13  I say '然后再去做长文本的增强，' to my training partner.
18:51:13–18:51:17  I say '长文本是多人对话，嗯，' to my training partner.
18:51:17–18:51:21  I say '情感支持，情感支持任务就是你去扮演一个心理咨询家，' to my training partner.
18:51:21–18:51:25  I say '然后用户去咨询一些问题，嗯，' to my training partner.
18:51:25–18:51:29  I say '有些数据我都用别人做的数据二次二开一下，嗯，' to my training partner.
18:51:29–18:51:34  I say '加入到我自己的数据集中，嗯，' to my training partner.
18:51:34–18:51:40  I say '有有些人他去蒸馏的，他蒸馏大模型，但他蒸馏的' to my training partner.
18:51:40–18:51:48  I listen to User A.
18:51:48–18:51:51  I say '你要让AI蒸馏一遍思考链。'
18:51:51–18:52:03  I listen to User A.
18:52:03–18:52:05  I say 'OK。'
18:52:05–18:52:07  I listen to User A.
18:52:07–18:52:10  I grasp the triceps rope attachment.
18:52:10–18:52:18  User A says '话，因为他，因为他会说一些什么，OK，I am understand，就是什么东西，that是什么东西，thing什么东西，他就会说一些很，没有用的废话，'.
18:52:18–18:52:23  User A says '然后整整个思考就非常非常长，起码快有一千个字，'.
18:52:23–18:52:33  User A says '所以我把思考压缩了一下，差不多到三百个字，一百五到三百字，'.
18:52:33–18:52:40  User A asks '有没有什么理论可以支持？'.
18:52:40–18:52:43  I listen to my friend say '动作预测，心理学理论，能够比较比较比较准确的心智理论能力。'
18:52:44–18:52:47  I listen to my friend say '不是那个那个啥 curriculum 还还没说完呢，就是你就是你决定了先训哪个数据集，对，就是你直接决定了先训哪个数据集。'
18:52:48–18:52:50  I observe gym-goers near the dumbbell racks and bench.
18:52:51–18:52:53  I listen to my friend say '你要分好几个阶段做 SFT，一个课程。'
18:52:54–18:52:57  I listen to my friend say '像人类学习。然后它比它比在所有数据集一起训，更效率更效果更好。'
18:52:58–18:53:02  I stretch the blue resistance band overhead.
18:53:03–18:53:06  I listen to my friend say '效果更好。'
18:53:07–18:53:09  I watch my friend perform cable rope pull-downs.
18:53:10–18:53:12  I ask '好指的是验证集的还是测试集的？'.
18:53:12–18:53:14  My workout partner says '效果都很好。'
18:53:14–18:53:17  I say '测试集的OK，测试集的Token Loss更好是吧？'.
18:53:17–18:53:19  My workout partner says '直接看任务性能。'
18:53:19–18:53:23  I say '任务性能准确率是吧？哦。N A F。你的你的OK OK。'.
18:53:23–18:53:26  I ask '考多少个点啊？'.
18:53:26–18:53:36  My workout partner says '总均衡，总均衡都会考蛮多的，起码好，我也忘记应该有八九个点，八九个点要求。'
18:53:36–18:53:40  I say '我操。'
18:53:40–18:53:48  I say 'Interesting. 像你是向人类学习一样，不能一股一股脑全部都学，你先学哪几堂，那是难的。'
18:53:48–18:53:53  I say '但这个方法比较启发式，是人类手工设计。'
18:53:53–18:53:57  I adjust grip on resistance band.
18:53:57–18:54:05  I say '可以可以去做一些机器学习，就是那种有那种基于数据概率分布的课程学习'
18:54:05–18:54:10  I say '比方说使用那个老师梯度'
18:54:10–18:54:18  I say "这种任务的梯度情况，去定它的这个任务的这个配比和先后顺序，呃，动态一点。"
18:54:18–18:54:25  I say "对，这种这种人人类设计的是静态的课程学习。"
18:54:25–18:54:33  I say "我以为会根据任务的，对，不是不是不是难易度，是那个模型初始的表现，先由好到坏训。"
18:54:33–18:54:39  I say "根据 loss 训。"
18:54:40–18:54:43  I ask '梯度的方向是怎么弄啊？'
18:54:43–18:54:46  The companion says '我之前我之前想的话，没有。'
18:54:46–18:55:01  The companion says '我像我之前做的都是静态的，静态的都是根据模型。比方说他们发了一些做一些测试，你会发现有一些任务它都回答的比较好，所以我就启发式认为这个任务是简单的任务，它很容易去训练的很好，嗯，比较容易拟合。'
18:55:01–18:55:04  I adjust the blue resistance band.
18:55:04–18:55:10  I say '啊，那就是你你你也是根据模型的准确率来。'
18:55:10–18:55:16  I say '来给他哦，你也是根据他的准确率来评，来给他 curriculum 是吧？由由高到低，由易到难。'
18:55:16–18:55:19  My workout partner says '不是，我说根据那个准确率，由高到低。'
18:55:19–18:55:21  I say '哦。'
18:55:21–18:55:25  My workout partner says '但是并不是，并不一定。嗯。并不算特别的好。'
18:55:25–18:55:30  I grab the blue resistance band.
18:55:30–18:55:34  I watch my partner perform triceps pushdowns.
18:55:35–18:55:37  I grasp the blue resistance band.
18:55:37–18:55:39  I say '并不算特别好。'
18:55:40–18:55:43  I hold the resistance band.
18:55:43–18:55:50  I say '不是你那个不是准确率从从从高到低吗？这不是，这不是不之后就不需要什么人类训练了吗？就是你拿评模型评测一下，哪个评测的效果最差，你让它放到最后，然后评测效果最好，让它最开始练。'
18:55:50–18:56:00  My workout companion says '是的，这个也不需要人每次都调这个。我把他的课程学习按照一些东西排布了一下，比方说，我先去理解先。'
18:56:00–18:56:04  I reach for the pull-up bar.
18:56:04–18:56:07  I inspect the pull-up bar.
18:56:07–18:56:09  I grasp the resistance band.
18:56:10–18:56:14  I say '训感知，再训理解，最后在一起训交互。'
18:56:15–18:56:21  I say '但是我这一个版本的话，我是先训共模态，好吧？'
18:56:22–18:56:29  I say '如果共模态的任务都一起训练，然后第二次就是多轮态再加长版本。'
18:56:30–18:56:34  The companion asks '它主要是有长上加的那一多轮对吗？'
18:56:35–18:56:37  I say '加上四个。'
18:56:38–18:56:39  I hold the blue resistance band.
18:56:40–18:56:43  My partner says '好神奇啊！课程学习，从来没用过。'
18:56:44–18:56:47  I adjust a resistance band.
18:56:48–18:56:51  My partner says '因为从来没用过多数语境。'
18:56:52–18:56:55  I grab a resistance band.
18:56:56–18:56:57  I adjust my glasses.
18:56:58–18:57:01  I say '对，从来没用过多任务。'
18:57:02–18:57:05  I inspect cable attachments.
18:57:06–18:57:10  I say '你SFT是在是在那个一万六A十loss最好的时候。'
18:57:10–18:57:15  The companion says '停了吧，不是，那，那，那你怎么公平的比较测试集的准确率？'.
18:57:16–18:57:20  The companion says '你是在什么时候听的？现在这一版本，就是你之前做的那个，你说那个高那个是十个点的那个，'.
18:57:21–18:57:24  The companion says 'OK，就大概十个点那个，你是怎么听的呀？'.
18:57:25–18:57:29  The companion says '非常的靠运气，'.
18:57:30–18:57:33  The companion says '你看他那个。'.
18:57:34–18:57:38  I inspect the SHUA cable machine.
18:57:39–18:57:40  I look at my companion.
18:57:40–18:57:45  I say "我看，我看他的那个，主要是看看他 loss，我看他 loss 还能掉。" to User A.
18:57:45–18:57:48  I say "我想想，个人学习我看。" to User A.
18:57:48–18:57:50  User A says "啊，是".
18:57:50–18:57:54  I reach toward the overhead bar.
18:57:54–18:58:03  I examine the exercise instruction placard.
18:58:03–18:58:06  I look at the cable attachments.
18:58:06–18:58:08  I exclaim "啊，操！".
18:58:08–18:58:10  I turn toward User A.
18:58:10–18:58:11  Companion asks "今天推胸吗？".
18:58:11–18:58:13  I say "不推了。".
18:58:13–18:58:20  Companion says "我我我之前是这样想的，因为我个人学习，我一共训了十轮。我一共一开始是设置十轮，然后我发现后面五轮的性能都差不多。".
18:58:20–18:58:23  I ask "性能是指的？".
18:58:23–18:58:27  Companion says "性能就是在任务上的那个准确率。".
18:58:27–18:58:34  I ask "最终的那个 LM judge 或者那个啊选择题是吧？还是什么？".
18:58:34–18:58:37  Companion says "它就是判断题。".
18:58:37–18:58:40  I say "OK。OK OK。".
18:58:40–18:58:42  The man in front of me says '分类，不是选择题框了，它是分类。'
18:58:42–18:58:44  I hold the rope attachment.
18:58:44–18:58:57  The man in front of me says '然后，因为我的任务是异构的，有有是它要做很长的文本的生成，有的是做分类，但这种分类都本质上都是生成式的分类，并不是像传统那种分类器。'
18:58:57–18:59:06  The man in front of me says '然后分类的时候，我发现五五五轮后面的那些任务性能是会，总体来说是没有什么大的变化。当。'
18:59:06–18:59:10  I look at the gym floor.
18:59:10–18:59:14  I say '然后每有任务，有时候好，有时候坏。' to my companion.
18:59:14–18:59:18  I say '然后我认为第五轮就是一个分界、分水岭。' to my companion.
18:59:18–18:59:24  I say '我把第五轮作为一个阶段性的这个、这个、这个分分叉点。' to my companion.
18:59:24–18:59:31  I say '然后我前五轮，我现在去做模态；后五轮做第二第二阶段的课程学习。' to my companion.
18:59:31–18:59:40  I say '我把一部分任务砍掉了，没有放在呃前五轮，然后我把更加难的任务放在后五轮。' to my companion.
18:59:40–18:59:49  User X says '你就会发现前五轮，你会发现这样的设计的话，它在它在后面，训到第训到后面十轮的时候，性能还能再往上面涨。' to me.
18:59:49–18:59:56  I say '你是你是在一万六A身上选最好，然后在test上测最最厚的吗？' to User X.
18:59:56–19:00:02  User X says '我没有一万六选，我就直接训完之后就直接test。' to me.
19:00:02–19:00:07  I say 'OK，你就是八二分，然后直接在test上训是吧？' to User X.
19:00:07–19:00:10  User X says '啊，直接在test上测。' to me.
19:00:10–19:00:18  I say "你在 test 上看发现最后五轮没有什么区别，所以你就只训了前五轮，然后，然后你后后面五轮加了个啥？" to my friend.
19:00:18–19:00:29  My friend says "相当于我把第五轮作为一个分分水岭，前五轮训稍微呃比较稍微简单一点的人物，后五轮训稍微难一点的人物。"
19:00:29–19:00:31  I say "OK，我懂了。" to my friend.
19:00:31–19:00:33  I say "OK。OK。"
19:00:33–19:00:36  I hold the cable machine pulley adjustment mechanism.
19:00:36–19:00:40  I hold the triceps rope attachment carabiner.
19:00:40–19:00:44  I ask "那你混合在一起是怎么停的呀？也是训五轮？".
19:00:44–19:00:53  I ask "哎，你那个十轮决定训五轮那个数据，就是用混合在一起的那个确定的是吧？".
19:00:53–19:01:00  I say "一开始还还是用不完整的数据去确定的。".
19:01:00–19:01:04  I say "啊，一部分数据，OK。".
19:01:04–19:01:08  I watch my friend perform pull-ups.
19:01:08–19:01:10  I look at the gym floor.
19:01:10–19:01:11  I approach a SHUA back and abdominal machine.
19:01:12–19:01:14  I adjust the weight selector pin on the machine.
19:01:15–19:01:19  I adjust the machine roller pad angle.
19:01:20–19:01:24  I sit on the training machine seat.
19:01:25–19:01:33  I say '操！我觉得课程学习好好玄学啊，只是只是改了个顺序就可以提高十个点。'
19:01:34–19:01:39  I say '就像人类学习一样，先学简单的打。'
19:01:40–19:01:46  User A says '基础，这对后面学习才会有帮助。'.
19:01:47–19:01:52  User A says '我其实想不通啊，那那那那对于你这个逻辑来说，我我可以认为，我说我前面就是你课程学习学了这么多轮，'.
19:01:53–19:02:00  User A says '我我混在一起学，你可以认为是我混混在一起也学你这么多轮，然后他可能多了一些难的任务，'.
19:02:00–19:02:10  User A says '但是即使难的任务不不怎么进步，他在简单的任务上也学了那么多，然后然后我继续接着训，我比你训的更多。'.
19:02:10–19:02:17  User X asks '达到我的一百六十帧loss，为什么不能跟你的混在一起学的一样？为什么比不能跟你课程学习一样？'.
19:02:17–19:02:21  I say '你是问为什么一起训练会比课程学习差吗？' to User X.
19:02:21–19:02:26  User X says '对啊，我搞不懂。I don't understand。'.
19:02:26–19:02:34  I say '反正我我个人猜测就是它的loss landscape不一样。' to User X.
19:02:34–19:02:40  I look at the workout machine weight stack and footplate.
19:02:40–19:02:48  I sit on the gym machine.
19:02:49–19:02:52  I read the machine instructional placard.
19:02:53–19:02:58  I look across the gym floor.
19:02:59–19:03:02  I grab the triceps rope attachment.
19:03:03–19:03:09  I inspect the rope attachment rubber stopper.
19:03:10–19:03:15  I say '有可能。好吧，那很神奇的是，你竟你竟然不会忘掉最初的任务。' to User A.
19:03:15–19:03:19  User A says '因为你有回放。你有回放。最初任务也有，后面也有。'.
19:03:19–19:03:31  I say '哦哦，你是你是往那个buffer加越来越多，然后采样做做做的是吧？不是说按这个顺序，就不训之前的了。'.
19:03:31–19:03:36  I watch User A adjust the blue resistance band.
19:03:36–19:03:40  User A says '是。'.
19:03:40–19:03:44  I say "哦，我操，这样。I see，那 makes sense，稍微 makes sense 一些。"
19:03:44–19:03:49  I say "就是你越加往这个大 batch 里加的越来越多，然后每次都是从这个大 batch 里采，是吧？"
19:03:49–19:03:53  My friend says "你采样率是可以自己调的。"
19:03:53–19:03:58  My friend says "你给一些之前学的比较好的人物可以调低，稍微低一点。"
19:03:58–19:04:04  I watch my friend crouch with the resistance band.
19:04:04–19:04:10  My friend says "关键就是总总体配比较均衡。"
19:04:10–19:04:14  My workout partner says '这就是，最近是我把其他他这个分爵聊的那个。'
19:04:14–19:04:16  I say '把什么？'
19:04:16–19:04:20  My workout partner says '分爵。分爵。后进的分爵之一。'
19:04:20–19:04:24  I say '但可惜我不用训练多任务。'
19:04:24–19:04:27  My workout partner says '目前。不会问用得到。'
19:04:27–19:04:32  I say '对，说不定以后会。目前不会。'
19:04:32–19:04:37  My workout partner says '常见的吹口，差不多千问二点五没有。'
19:04:38–19:04:39  I look at gym attachments on the floor.
19:04:40–19:04:48  I say '没有强化学习之前，都大部分都是 SFT 嘛，他们大部分都会用那种课程学习。现在估计也会吧。' to User A.
19:04:48–19:04:50  User A says '嗯。'.
19:04:50–19:04:54  I say '现在可能就是强化学习混着用。'.
19:04:54–19:04:58  I say '千问在他自己的报告里，有写 SFT 是用课程学习是吧？' to User A.
19:04:58–19:05:04  User A says '他没有，他只是说他用分阶段式的。'.
19:05:04–19:05:10  I look at the cable attachments on the floor.
19:05:10–19:05:11  I say 'Interesting.'.
19:05:11–19:05:16  I walk across the gym.
19:05:17–19:05:21  I unlock my phone.
19:05:22–19:05:27  I browse the WeChat chat list.
19:05:28–19:05:30  I open the iOS Control Center.
19:05:31–19:05:33  I walk to the cable station.
19:05:33–19:05:34  My companion asks '什么？'.
19:05:34–19:05:36  I pull the resistance band.
19:05:36–19:05:37  I say '这有点肌无力。'.
19:05:37–19:05:38  My companion says '肌无力。'.
19:05:38–19:05:40  I check my phone.
19:05:40–19:05:44  I look at my smartphone keyboard.
19:05:44–19:05:58  I type on my smartphone keyboard.
19:05:58–19:06:01  I activate voice input in the chat app.
19:06:01–19:06:08  I say '阅读有执行力的论文。'
19:06:08–19:06:10  I look up at the gym area.
19:06:10–19:06:25  I say '调查关于课程学习如何提高模型性能，以及能提升多少，以及原理是什么，特别是在语言模型的多任务学习上。'
19:06:15–19:06:27  I grasp a blue resistance band.
19:06:26–19:06:32  I monitor the transcription on ChatGPT.
19:06:33–19:06:37  I read the sent ChatGPT prompt.
19:06:38–19:06:38  I long-press the message bubble.
19:06:39–19:06:40  I examine the message options.
19:06:40–19:06:43  I read the ChatGPT prompt.
19:06:44–19:06:46  I type '课程学习' into the ChatGPT prompt.
19:06:47–19:06:51  I review the ChatGPT prompt.
19:06:52–19:06:54  I type 'llm' into the ChatGPT prompt.
19:06:55–19:06:55  The man on the bench says 'Holy shit!'.
19:06:56–19:06:56  I look at the man's phone.
19:06:57–19:06:58  I place my phone.
19:06:59–19:07:02  I inspect the cable machine.
19:07:03–19:07:05  I pick up a blue resistance band.
19:07:06–19:07:09  I inspect the blue resistance band.
19:07:10–19:07:14  I hold a blue resistance band.
19:07:14–19:07:19  I look at the cable machine crossbar and exercise guide.
19:07:19–19:07:23  I look at the cable pulley and triceps rope.
19:07:23–19:07:30  I look at the person on the bench and the pulley column.
19:07:30–19:07:36  I adjust the cable pulley height.
19:07:36–19:07:38  I say '哎。'
19:07:38–19:07:40  I look at the smartphone on the bench.
19:07:40–19:07:42  I pick up my phone.
19:07:42–19:07:50  I read the ChatGPT response about curriculum learning.
19:07:50–19:07:51  I say '哦。'
19:07:51–19:07:54  I place my phone on the bench.
19:07:55–19:07:58  I look at the barbell.
19:07:59–19:08:03  I look at the cable crossover station.
19:08:04–19:08:07  I look at the SHUA machine placard.
19:08:08–19:08:10  I look around the gym.
19:08:10–19:08:12  I look at a man on a bench and look up at the pull-up bar.
19:08:12–19:08:14  I reach toward the overhead bar.
19:08:14–19:08:18  I hang a blue resistance band on the top bar.
19:08:18–19:08:22  I look across the gym cardio area.
19:08:22–19:08:26  I look down at the gym floor.
19:08:26–19:08:28  I reach for the blue resistance band.
19:08:28–19:08:40  I pull down the blue resistance band loop.
19:08:40–19:08:43  I point at the blue resistance band.
19:08:43–19:08:51  I inspect the resistance band attachment.
19:08:51–19:08:55  I point toward User A.
19:08:55–19:09:02  I say '他在查呢。哎。'
19:09:02–19:09:06  I face the cable machine.
19:09:06–19:09:10  I slip my right wrist into the resistance band loop.
19:09:10–19:09:13  I ask '有没有下T V T？'
19:09:13–19:09:16  Friend answers '嗯，国内的下不了。'
19:09:16–19:09:18  I say '哦，对。'
19:09:18–19:09:21  Friend asks '你是国外账户吗？'
19:09:21–19:09:24  I answer '就之前注册了个美区的。'
19:09:24–19:09:26  Friend asks '注册的还是自己买的？'
19:09:26–19:09:35  I say '注册的，我不知道咋注册的，感觉好像当时很简单，就改个地区，然后就怎么着就好了，都没怎么都没怎么费劲，忘了咋弄的。'
19:09:35–19:09:40  I grab the blue resistance band.
19:09:40–19:09:42  I turn toward my friend.
19:09:42–19:09:46  I say '我不知道，怎么 iPhone 怎么 iPhone 能分享软件吗？'
19:09:46–19:09:50  I say '用 App Store 还是 ChatGPT？'
19:09:50–19:09:55  I step closer to the bench.
19:09:55–19:09:59  I say 'GPT 在这儿。怎么分享？'
19:09:59–19:10:04  I say '哦，我操，还真有。'
19:10:04–19:10:10  I say '试试看能不能分享。'
19:10:10–19:10:13  My friend says "啊，不行啊，是得是得下载的，这种方法得下载。"
19:10:13–19:10:16  I say "哎，我试试看，有没有那种能够隔空投送的？"
19:10:16–19:10:18  My friend says "对，试一下。"
19:10:18–19:10:22  I scroll through the share sheet.
19:10:22–19:10:25  I say "啊，隔空投送，哦，对，电脑。有。"
19:10:25–19:10:28  I ask "你是 liability 吗？"
19:10:28–19:10:31  I ask "是投吗？"
19:10:31–19:10:34  I tap to send via AirDrop.
19:10:34–19:10:37  My friend configures AirDrop permissions.
19:10:37–19:10:40  I say "牛逼啊！天啊！啊哦。"
19:10:40–19:10:46  My companion says "我个蛋，还没找到，这么慢，应该卡了。".
19:10:46–19:10:49  I watch my companion pick up the smartphone.
19:10:50–19:10:56  I point at the smartphone screen.
19:10:57–19:11:00  I say "这是什么？".
19:11:00–19:11:03  My companion says "VPN。".
19:11:04–19:11:06  I observe my companion using the phone.
