17:39:59–17:40:01  I observe the bedroom.
17:48:36–17:48:39  I inspect rental prices near 环东别墅.
17:48:39–17:48:40  I glance towards the laptop screen.
17:48:40–17:48:45  I examine the University X science center location pin.
17:48:45–17:48:50  I zoom out the rental map.
17:48:50–17:48:54  I zoom in on 三灶路.
17:48:54–17:48:58  I browse shared room listings along 三灶路.
17:48:59–17:49:04  I zoom in on rental listings on the map.
17:49:04–17:49:11  I examine rental prices across 舒馨北苑 and 新德佳苑.
17:49:11–17:49:14  I pan north along 孙东路 on the rental map.
17:49:14–17:49:19  I massage my bare left foot.
17:49:19–17:49:21  I look out the bedroom window at mountains and buildings.
17:49:21–17:49:24  I check rental markers around 环东公寓1450弄 on the phone.
17:49:24–17:49:28  I pan southward across the rental map.
17:49:29–17:49:37  I browse rental listings on the map.
17:49:38–17:49:44  I pan the map toward Sunpu Road.
17:49:45–17:49:50  I tap the ¥1800 listing pin.
17:49:51–17:49:51  I glance at the laptop trackpad.
17:49:52–17:49:58  I inspect the Huandong Apartment listing photos.
17:49:59–17:50:02  I tap the ¥1800 rental listing card.
17:50:03–17:50:12  I read the ¥1800 apartment listing details.
17:50:13–17:50:16  I view the apartment description, map, and amenities.
17:50:17–17:50:19  I navigate back to the rental map.
17:50:20–17:50:24  I zoom and pan the rental map.
17:50:25–17:50:28  I inspect the ¥1700 listing preview card.
17:50:29–17:50:34  I view the rental listing for 浦东 张江·抱家.
17:50:35–17:50:37  I tap the phone screen to interact with the map.
17:50:38–17:50:43  I zoom in on the map showing apartment listings.
17:50:44–17:50:52  I inspect the rental listing for 浦东 新德西路508弄.
17:50:53–17:50:58  I pan across the map around 舒馨社区.
17:50:59–17:51:04  I browse rental listings.
17:51:05–17:51:10  I pan across the map.
17:51:11–17:51:16  I examine the housing type options.
17:51:16–17:51:19  I tap '查看房源'.
17:51:19–17:51:24  I say '挂在了大脑皮层，恐惧的人，如何理解？怎么淡化掉？'
17:51:24–17:51:28  I inspect the music streaming app.
17:51:29–17:51:32  I view a rental listing.
17:51:32–17:51:39  I pan the rental map.
17:51:40–17:51:42  I tap the '类型' filter.
17:51:43–17:51:46  I say '再靠近一点，再靠近一点。'
17:51:47–17:51:50  I view the phone screen.
17:51:50–17:51:55  I tap the search bar.
17:51:56–17:51:58  I view the '浦东鸿基公寓' listing.
17:51:59–17:52:08  I browse rental listings on the map in Wellcee.
17:52:09–17:52:10  I view rental listings in Wellcee.
17:52:11–17:52:13  I open the Ziroom app.
17:52:14–17:52:17  I agree to Ziroom privacy and network permissions.
17:52:18–17:52:24  I handle permission pop-ups in Ziroom.
17:52:25–17:52:26  I open the city selector in Ziroom.
17:52:27–17:52:28  I switch the city to Shanghai and dismiss the push notification prompt.
17:52:29–17:52:31  I paste an address.
17:52:31–17:52:36  I review the pasted address.
17:52:37–17:52:43  I view music recommendations.
17:52:44–17:52:58  I monitor the music playback bar.
17:52:59–17:53:04  I browse QQ Music recommendations.
17:53:05–17:53:07  I tap the Ziroom search bar.
17:53:08–17:53:12  I view the Ziroom search page.
17:53:13–17:53:14  I open iOS Control Center.
17:53:15–17:53:17  I interact with the Ziroom search filters.
17:53:18–17:53:20  I say 'Why are you so slow?'
17:53:21–17:53:23  I return to the Ziroom homepage.
17:53:24–17:53:28  I browse the Ziroom homepage.
17:53:29–17:53:35  I browse a Jin Xing Yuan rental listing on Ziroom.
17:53:36–17:53:40  I scroll through apartment listings on Ziroom.
17:53:41–17:53:42  I look at my roommate.
17:53:43–17:53:44  My roommate says '唉，不好吃。'
17:53:45–17:53:47  I say '还可以。'
17:53:48–17:53:49  I look toward the floor.
17:53:50–17:53:52  I tap the home icon on Ziroom.
17:53:53–17:53:55  I tap the '我的' tab on Ziroom.
17:53:56–17:53:58  I glance toward the window.
17:53:59–17:54:06  I look at my right foot.
17:54:07–17:54:20  I view the Ziroom app profile page.
17:54:21–17:54:22  I look at the laptop keyboard.
17:54:23–17:54:26  I tap '登录/注册' in Ziroom.
17:54:27–17:54:28  I type '152' in Ziroom.
17:54:29–17:54:31  I tap '验证并登录'.
17:54:32–17:54:35  I complete the puzzle slider captcha.
17:54:36–17:54:42  I wait on the verification code screen.
17:54:43–17:54:45  I tap the autofill verification code '806821'.
17:54:46–17:54:48  I stand up from the bed.
17:54:49–17:54:50  Roommate says '那我建议你把它盖上，放冰箱里，一定要凉，然后。'
17:54:51–17:54:52  I say '哦，OK。'
17:54:53–17:54:56  I walk through the dining area.
17:54:57–17:54:58  I inspect the covered pot on the kitchen stovetop.
17:54:59–17:55:02  I cover the wok with a glass lid.
17:55:03–17:55:07  I walk toward the bedroom.
17:55:08–17:55:13  I enter the bedroom.
17:55:14–17:55:19  I walk toward the desk.
17:55:20–17:55:22  I pull a wipe from the pack.
17:55:23–17:55:28  I wipe the wooden rolling table.
17:55:29–17:55:31  I wipe a wooden table.
17:55:31–17:55:33  I discard the wet wipe into the trash can.
17:55:33–17:55:36  I sit in front of the laptop desk.
17:55:36–17:55:39  I view the Ziroom profile page.
17:55:40–17:55:46  I browse the Ziroom home tab.
17:55:46–17:55:49  I tap the search bar.
17:55:50–17:55:53  I see the search suggestion.
17:55:53–17:55:56  I say '哦。'
17:55:57–17:55:58  I tap 'University X上海自主智能无人系统科学中心1号楼'.
17:55:59–17:56:01  I dismiss the iOS Control Center.
17:56:02–17:56:04  I tap the location search bar.
17:56:05–17:56:07  I tap '去地图中选点>'.
17:56:08–17:56:10  I look at the map location picker.
17:56:11–17:56:14  I look at my roommate.
17:56:15–17:56:16  I ask 'What? Why?'.
17:56:17–17:56:21  I inspect the map on my phone.
17:56:22–17:56:28  I pan the map.
17:56:29–17:56:32  I pan the Ziroom location map.
17:56:33–17:56:35  I tap the search box.
17:56:36–17:56:38  I select the University X Science Center location.
17:56:39–17:56:39  I tap '确定'.
17:56:40–17:56:52  I review the rental listings near University X Science Center.
17:56:53–17:56:55  I tap '租期'.
17:56:56–17:56:58  I examine the lease term filter options.
17:56:59–17:57:01  I dismiss the battery alert.
17:57:01–17:57:04  I check rental duration filters.
17:57:05–17:57:06  I open the price filter.
17:57:07–17:57:13  I scroll through apartment style filters.
17:57:14–17:57:28  I browse rental listings.
17:57:29–17:57:42  I browse rental listings.
17:57:43–17:57:51  I scroll through the rental listings.
17:57:52–17:57:54  I tap the '租期' filter.
17:57:55–17:57:56  I open the iOS Control Center.
17:57:57–17:57:58  I tap the sorting dropdown.
17:57:59–17:58:01  I browse the sorting options in the Ziroom app.
17:58:02–17:58:03  I dismiss the price range modal in the Ziroom app.
17:58:04–17:58:08  I browse metro station filters in the Ziroom app.
17:58:09–17:58:18  I tap on the '合租3居 顺馨佳园·03卧' listing.
17:58:19–17:58:20  I wait for the property page to load.
17:58:21–17:58:21  I look up at a person in the doorway.
17:58:21–17:58:22  I say '嗯。'
17:58:23–17:58:28  I examine the '合租·顺馨佳园-03卧' details page.
17:58:29–17:58:32  I examine the apartment listing overview.
17:58:33–17:58:40  I inspect the bedroom options and guarantee policies.
17:58:41–17:58:44  I review the residential community information.
17:58:45–17:58:47  I check the transit map.
17:58:48–17:58:51  I read tenant and property manager reviews.
17:58:52–17:58:55  I browse tenant lifestyle posts.
17:58:56–17:58:59  I view virtual room tour cards.
17:58:59–17:59:05  I view the 次卧02 room details on the Ziroom app.
17:59:06–17:59:10  I scroll through the kitchen and bathroom photos on the Ziroom app.
17:59:11–17:59:17  I check the 物品配置 list on the Ziroom app.
17:59:18–17:59:21  I browse 更多相似房源 on the Ziroom app.
17:59:22–17:59:24  I watch a person cleaning the floor.
17:59:25–17:59:28  I review the 顺馨佳园 similar listings on the Ziroom app.
17:59:29–17:59:33  I browse similar rental listings for Shunxin Jiayuan.
17:59:34–17:59:43  I scroll through rental listings from ¥1690 to ¥5390 per month.
17:59:44–17:59:52  I examine the Sunqiao Huayuan listing for ¥1690 per month.
17:59:53–17:59:56  I say "我发现我的三千块钱租不了，租不够租房子的。" to my roommate.
17:59:57–17:59:58  I look at the Sunqiao Huayuan listing on my phone.
17:59:59–18:00:08  I say 'Not to say eating. Yeah, you're right. But I thought I I could afford at least my renting.'
18:00:09–18:00:12  I glance around the room and at my roommate.
18:00:13–18:00:21  I scroll through the apartment rental listings.
18:00:22–18:00:24  My roommate says '什么？'.
18:00:25–18:00:26  I say '哦。'.
18:00:27–18:00:28  I examine the listing for 张江汤臣豪园.
18:00:29–18:00:37  I browse apartment rental listings.
18:00:38–18:00:46  I scroll down the apartment list.
18:00:47–18:00:58  I check apartment listings for 虹御公寓 and 保利金爵公寓.
18:00:59–18:01:04  I browse rental listings on Ziroom.
18:01:05–18:01:14  I inspect the Poly King's Garden rental listing.
18:01:15–18:01:20  I open the Poly King's Garden apartment details page.
18:01:21–18:01:28  I view the bedroom photos on Ziroom.
18:01:29–18:01:36  I view the Ziroom rental listing photos.
18:01:37–18:01:44  I check apartment layout and floor details.
18:01:45–18:01:48  I read the floor info modal and dismiss it.
18:01:49–18:01:52  I browse configuration and lease terms.
18:01:53–18:01:58  I review roommate profiles in the shared bedroom sheet.
18:01:59–18:02:04  I examine the roommate list modal on Ziroom.
18:02:04–18:02:08  I say 'Really hard to find a independent bathroom.'
18:02:08–18:02:10  I view the Poly Jinjue Apartment listing page.
18:02:11–18:02:16  I browse apartment listings on Ziroom.
18:02:17–18:02:22  I review the '合租·玉兰香苑(四期)-01卧' listing.
18:02:23–18:02:26  I watch the person sweeping the floor.
18:02:27–18:02:28  I inspect the bedroom photo on the listing.
18:02:29–18:02:34  I view the bedroom photo of 玉兰香苑(四期)-01卧.
18:02:35–18:02:38  I swipe through the listing photo carousel.
18:02:39–18:02:41  I check the rental price of ¥2260 per month.
18:02:42–18:02:47  I scroll down to check bedroom options and signing terms.
18:02:48–18:02:53  I scroll through rental search results on Ziroom.
18:02:54–18:02:58  I examine the listing for 虹御公寓·02卧.
18:02:59–18:03:04  I view a rental map on my smartphone.
18:03:04–18:03:06  I view WeChat notifications from User X on the lock screen.
18:03:07–18:03:10  I select User X in the WeChat chat list.
18:03:11–18:03:16  I send '好勒谢谢' to User X.
18:03:17–18:03:23  I send '估计一周吧' to User X.
18:03:24–18:03:28  I type '我发现 3k' to User X.
18:03:29–18:03:31  I type '我发现3k甚至很难' in the WeChat chat with User A.
18:03:32–18:03:34  I touch the mattress beside the headboard.
18:03:35–18:03:39  I view the laptop and phone screen.
18:03:40–18:03:41  I view User B's shared contact card in the WeChat chat with User A.
18:03:42–18:03:43  I tap '添加到通讯录' on User B's profile.
18:03:44–18:03:49  I send a WeChat friend request to User B.
18:03:50–18:03:52  I observe a person walking across the room.
18:03:53–18:03:55  I view the WeChat chat with User A.
18:03:56–18:03:58  I receive '好的，有问题随时找我' from User A.
18:03:59–18:04:02  I view a WeChat chat.
18:04:02–18:04:04  I say '哎。'.
18:04:04–18:04:09  I delete draft text and type 'enen'.
18:04:10–18:04:12  I browse rental listings in Ziroom.
18:04:13–18:04:14  I tap the search bar in Ziroom.
18:04:15–18:04:21  I type '学校是在哪里' to User A.
18:04:22–18:04:28  I select text in WeChat.
18:04:29–18:04:31  I copy 'University X上海自主智能无人系统科学中心1号楼'.
18:04:32–18:04:35  I paste '学校是在University X上海自主智能无人系统科学中心1号楼' into WeChat.
18:04:36–18:04:44  I send '学校是在University X上海自主智能无人系统科学中心吧？' to User X.
18:04:45–18:04:50  I scroll through the WeChat chat history with User X.
18:04:51–18:04:53  I dismiss the lock screen overlay to see User X's reply '对'.
18:04:54–18:04:58  I send '谢谢' to User X.
18:04:59–18:05:00  I return to the WeChat chat list.
18:05:00–18:05:02  I browse the WeChat chat list.
18:05:02–18:05:07  I search for '[University X]上海自主智能无人系统科学中心' in Ziroom.
18:05:08–18:05:12  I view the Ziroom map for the research center.
18:05:12–18:05:14  I search for '[University X]上海自主智能无人系统科学中心1号楼'.
18:05:14–18:05:19  I examine residential areas on the Ziroom map.
18:05:20–18:05:28  I browse rental price markers on the Ziroom map.
18:05:29–18:05:36  I browse rental listings on a map in the housing app.
18:05:37–18:05:44  I pan the map toward Huandong Eco Park and tap list view.
18:05:45–18:05:49  I scroll through apartment rental listings.
18:05:50–18:05:50  I wake my locked phone screen.
18:05:51–18:05:58  I review rental listings for 阳光城魔都 and 玉兰香苑.
18:05:59–18:06:07  I browse rental listings on Ziroom.
18:06:08–18:06:09  I view the '不喜欢该房源' feedback dialog on Ziroom.
18:06:10–18:06:13  I wait for the listing page to load on Ziroom.
18:06:14–18:06:20  I inspect the Shunxin Jiayuan listing details on Ziroom.
18:06:21–18:06:27  I scroll through rental listings on Ziroom.
18:06:28–18:06:29  I lock my iPhone.
18:06:29–18:06:37  I browse Ziroom rental listings for 顺馨佳园, 孙桥花苑, 保利金爵公寓, and 虹御公寓.
18:06:37–18:06:42  I raise my left arm overhead.
18:06:42–18:06:47  I scroll through Ziroom listings for 张江汤臣豪园 and 地杰国际城F欧香四季.
18:06:47–18:06:55  I examine the Ziroom listing for 合租3居+ 地杰国际城F欧香四季.
18:06:55–18:06:57  I tap the Ziroom listing for 合租3居+ 地杰国际城F欧香四季.
18:06:57–18:06:59  I read the property details for 合租·地杰国际城F欧香四季-05卧.
18:06:59–18:07:03  I browse the Ziroom rental listing details.
18:07:04–18:07:08  I review lease terms and bedroom occupancy indicators.
18:07:09–18:07:23  I examine the roommate profiles in the shared apartment modal.
18:07:24–18:07:26  I say '哎呀！'.
18:07:27–18:07:29  I dismiss the roommate modal.
18:07:29–18:07:36  I browse the apartment listing on Ziroom.
18:07:37–18:07:45  I tap '租金试算>' on the listing.
18:07:46–18:07:53  I review the rent trial calculation.
18:07:54–18:07:56  I read the service fee explanation modal.
18:07:57–18:07:58  I re-examine the service fee line item.
18:07:59–18:08:03  I check the rent calculation on Ziroom.
18:08:03–18:08:06  I examine the 1-month rental calculation on Ziroom.
18:08:06–18:08:11  I check installment promotions on Ziroom.
18:08:11–18:08:16  I review the ¥8302.56 first payment calculation on Ziroom.
18:08:16–18:08:22  I read the Ziroom payment plan details.
18:08:23–18:08:28  I check the lease term section on Ziroom.
18:08:29–18:08:31  I check the rent calculation breakdown on Ziroom.
18:08:32–18:08:36  I examine the bedroom listing details for 合租·地杰国际城F欧香四季-05卧.
18:08:37–18:08:41  I swipe through the apartment listing photos.
18:08:42–18:08:46  I examine the apartment floor plan.
18:08:47–18:08:58  I review the apartment rental details.
18:08:59–18:09:01  I view the rental listing details of 地杰国际城F欧香四季-05卧 on Ziroom.
18:09:01–18:09:12  The camera view is temporarily occluded.
18:09:12–18:09:18  I examine the apartment floor plan on Ziroom.
18:09:18–18:09:24  I browse rental listings near University X on Ziroom.
18:09:24–18:09:28  I scroll to recommended listings on Ziroom.
18:09:28–18:09:29  I glance toward the wooden panel beside me.
18:09:29–18:09:31  I unlock my phone.
18:09:32–18:09:38  I browse Ziroom rental listings.
18:09:39–18:09:42  I tap the back button.
18:09:43–18:09:45  I review the Ziroom apartment list.
18:09:46–18:09:52  I hold my phone.
18:09:53–18:09:58  I browse Wellcee rental listings.
18:09:59–18:10:01  I browse apartment listings.
18:10:02–18:10:03  I switch apps to Ziroom.
18:10:04–18:10:06  I browse Ziroom listings.
18:10:07–18:10:10  I open the layout filter.
18:10:11–18:10:17  I view subway line stations.
18:10:18–18:10:19  I view the price filter.
18:10:20–18:10:28  I select lease duration options.
18:10:29–18:10:30  I tap '查看房源'.
18:10:31–18:10:36  I browse the search results.
18:10:37–18:10:49  I scroll through rental listings.
18:10:50–18:10:58  I review 自如寓 and 虹御公寓 listings.
18:10:59–18:11:01  I tap the 张江安居自如寓Lite·loft月影 listing.
18:11:01–18:11:09  I inspect the 整租1居·loft月影 detail page.
18:11:10–18:11:14  I examine the 232 unit listing on the 请选择房源 screen.
18:11:15–18:11:17  I say '是什么？'.
18:11:17–18:11:20  I navigate back to the main search listings.
18:11:20–18:11:25  I filter for 2个月 lease duration.
18:11:25–18:11:29  I review the 2-month lease rental listings.
18:11:29–18:11:41  I tap on the '合租3居·虹御公寓·02卧' listing on Ziroom.
18:11:42–18:11:45  I wait for the property detail page to load.
18:11:45–18:11:48  I review the '合租·虹御公寓-02卧' property details.
18:11:48–18:11:56  I swipe through the property photos.
18:11:56–18:11:59  I examine the 2D floor plan layout.
18:11:59–18:12:19  I examine the Ziroom floor plan of room 02卧.
18:12:19–18:12:22  I scroll down to the flatmate section on Ziroom.
18:12:22–18:12:25  I review the flatmate modal on Ziroom.
18:12:25–18:12:29  I dismiss the modal and check apartment overview on Ziroom.
18:12:29–18:12:42  I scroll through rental apartment listings on Ziroom.
18:12:42–18:12:46  I raise my left hand.
18:12:46–18:12:49  I look out the window.
18:12:49–18:12:51  I tap on the 虹御公寓 listing.
18:12:51–18:12:58  I inspect the 虹御公寓 details on Ziroom.
18:12:59–18:13:00  I view the 虹御公寓 listing details on Ziroom.
18:13:00–18:13:07  I review roommate profiles in the Ziroom pop-up.
18:13:07–18:13:11  I swipe through apartment photos.
18:13:12–18:13:21  I scroll through rental search listings.
18:13:22–18:13:28  I view the 孙桥花苑 listing and VR panorama.
18:13:29–18:13:33  I view bedroom photos on the Ziroom listing.
18:13:34–18:13:37  I view shared common area photos.
18:13:38–18:13:45  I examine the apartment floor plan.
18:13:46–18:13:50  I read the housekeeper review.
18:13:51–18:13:53  I review apartment rent and subway distance.
18:13:54–18:13:58  I scroll to review lease terms and service guarantees.
18:13:59–18:14:01  I view the Ziroom rental listing for 孙桥花苑-02卧.
18:14:01–18:14:06  I check transit info for 孙桥花苑.
18:14:06–18:14:10  I read the property manager notes and tenant life notes.
18:14:10–18:14:16  I inspect room photos of 孙桥花苑 次卧02.
18:14:16–18:14:19  I review the listing furniture and appliances list.
18:14:19–18:14:29  I browse recommended similar listings on Ziroom.
18:14:29–18:14:34  I read the booking confirmation modal on Ziroom.
18:14:35–18:14:35  I tap '在线咨询' on Ziroom.
18:14:36–18:14:42  I view the manager chat on Ziroom.
18:14:43–18:14:44  I tap back on Ziroom.
18:14:45–18:14:52  I browse rental listings on Ziroom.
18:14:53–18:14:58  I inspect the '合租·顺馨佳园-03卧' details on Ziroom.
18:14:59–18:15:00  I view the rental listing for 顺馨佳园-03卧.
18:15:01–18:15:08  I review the roommate and bedroom details in the pop-up modal.
18:15:08–18:15:09  I say '哦。'
18:15:10–18:15:11  I close the roommate modal.
18:15:12–18:15:16  I check the neighborhood map and transit options.
18:15:17–18:15:20  I browse photos of bedroom 03.
18:15:21–18:15:24  I browse photos of the shared living room and kitchen.
18:15:25–18:15:27  I browse photos of the shared bathroom.
18:15:28–18:15:28  I examine the apartment floor plan.
18:15:29–18:15:30  I view a Ziroom listing card.
18:15:30–18:15:47  I type '单人租从7月初租到' in Ziroom.
18:15:48–18:15:49  I type '8月底' in Ziroom.
18:15:50–18:15:55  I check an incoming call from XXX-XXXX-XXXX.
18:15:55–18:15:57  I say '是谁来电？'.
18:15:57–18:15:58  I touch a wire headband.
18:15:59–18:16:04  I rest on the bed.
18:16:04–18:16:07  I hold up my iPhone displaying a Ziroom chat.
18:16:07–18:16:09  I say '哎，您好，您好，我把那个需求发给您。'
18:16:09–18:16:11  I say '哦，好，嗯。'
18:16:11–18:16:13  I examine the floor plan of '合租·顺馨佳园-03卧'.
18:16:13–18:16:16  I open the map location selector.
18:16:16–18:16:20  I return to the Ziroom home page.
18:16:20–18:16:23  I tap the Ziroom Messages tab.
18:16:23–18:16:26  I open the chat with housekeeper User Yang.
18:16:26–18:16:28  I bring up the paste menu in the chat.
18:16:29–18:16:30  I tap '加管家微信'.
18:16:30–18:16:32  I say '哦，是幺七八三六九六。'
18:16:32–18:16:33  I tap '确定'.
18:16:33–18:16:36  I examine the Ziroom chat screen.
18:16:37–18:16:40  I check the iOS app switcher.
18:16:41–18:16:43  I look toward the rolling cart.
18:16:43–18:16:44  I say '天死！'
18:16:44–18:16:50  I type 'tong ji da xue'.
18:16:51–18:16:54  I check the Amap card in the app switcher.
18:16:54–18:16:56  I say '上海自主智能无人系统。'
18:16:56–18:16:58  I type '上海z' in Ziroom.
18:16:59–18:17:06  I type '同济大学上海自主智能无人系统' in the Ziroom chat.
18:17:06–18:17:10  I check the location on Gaode Maps in the app switcher.
18:17:10–18:17:17  I type '科学中心附近' in the Ziroom chat.
18:17:17–18:17:19  I view the recommended listing card.
18:17:19–18:17:29  I type '租金3k以内' in the Ziroom chat.
18:17:29–18:17:31  I look at my phone.
18:17:32–18:17:39  I type a rental inquiry message.
18:17:40–18:17:41  I hold my phone.
18:17:42–18:17:45  I raise a metal wave hairband.
18:17:46–18:17:49  I look out the window.
18:17:50–18:17:54  I unlock my laptop.
18:17:55–18:17:56  I look out the window.
18:17:57–18:17:58  I look at my roommate.
18:17:59–18:18:01  I hold a black wavy wire headband.
18:18:01–18:18:18  I inspect the rubber tip of the headband.
18:18:18–18:18:23  I say '多少钱？' to my roommate.
18:18:23–18:18:29  I say '去不去九龙公园？' to my roommate.
18:18:29–18:18:35  I listen to my roommate ask "今天你真好，去不去西高山？".
18:18:35–18:18:38  I look at my roommate.
18:18:39–18:18:44  I say "Really？" to my roommate.
18:18:45–18:18:48  I say "陪我去逛逛。" to my roommate.
18:18:49–18:18:53  I fiddle with a hair clip.
18:18:54–18:18:58  I look at my roommate.
18:18:59–18:19:08  I look at a seated person.
18:19:09–18:19:19  I watch the person walk toward the door.
