21:53:11–21:53:12  I unlock my MacBook.
22:03:25–22:03:30  The roommate says "就是被别人发现了以后，你的行为是什么？你可能把饮料藏在你的兜里，或者说你说你要不要也来喝一杯，接着喝。"
22:03:30–22:03:33  I tug open my shorts pocket.
22:03:33–22:03:37  I observe my roommate unpacking an orange delivery bag.
22:03:37–22:03:41  I view ChatGPT suggestions and switch to Figma.
22:03:41–22:03:44  I say 'I quickly hide the drink in my pocket.'
22:03:45–22:03:48  I say '但是它实际是。'
22:03:49–22:03:51  I say 'Since you caught me, want a bottle too? 没有hide。所以他是完全没有猜对。' to companion.
22:03:52–22:03:54  I say 'Yes. OK.'
22:03:55–22:03:58  I say '还是不知道啊。'
22:03:59–22:04:10  I say 'Sneak one.'
22:04:11–22:04:16  I say 'Sneak one，你可以读懂吗？'
22:04:16–22:04:21  The companion says '哦，我觉得，嗯，是藏的意思吗？还是什么？'
22:04:21–22:04:24  I say 'Sneak就是偷偷拿。'
22:04:24–22:04:27  The companion says '偷偷拿，I should drink some sneck one，也可以，可以。'
22:04:27–22:04:34  I review the ChatGPT interface.
22:04:35–22:04:37  I edit the prompt to '前面得加上我看见，并且交代想要偷偷拿饮料的context'.
22:04:38–22:04:41  I submit the prompt.
22:04:41–22:04:44  I say '我操，看我的液态玻璃效果！'.
22:04:44–22:04:46  I say '哈哈，That's my favorite part.'.
22:04:46–22:04:48  User A says 'This one is ugly, this one is beautiful. 所以你刚刚在那叫是因为这个吗？'.
22:04:48–22:04:51  I look at User A giving a thumbs up.
22:04:51–22:04:59  I say 'Oh yes, yes. This looks so good.'.
22:04:59–22:05:02  I look at User A gesturing.
22:05:02–22:05:11  I say 'Liquid glass. Thanks to Apple. I love Apple.'.
22:05:11–22:05:14  I view Figma canvas.
22:05:15–22:05:18  I review ChatGPT suggestions.
22:05:18–22:05:21  A person asks '这是用的什么App？'
22:05:21–22:05:24  I say 'Figma。'
22:05:24–22:05:27  A person says 'Okay, now do you have?'
22:05:27–22:05:40  I inspect Figma text layers.
22:05:41–22:05:44  Companion says "other suggestions because I think other part is very ugly."
22:05:44–22:05:48  Companion asks "为什么你要把那个句号删掉？你下面不是都有吗？"
22:05:48–22:05:51  I say "Okay."
22:05:51–22:05:54  Companion says "Like, like, like this color design is very ugly."
22:05:54–22:05:58  Companion asks "但是这有点不是很清楚，能不能加粗？"
22:05:58–22:06:03  I say "Okay."
22:06:03–22:06:06  Companion says "That's that's okay."
22:06:06–22:06:10  I inspect the font and text alignment settings.
22:06:11–22:06:14  I say '嗯，Okay， now it's time to ask GPT。'
22:06:14–22:06:23  I say '嗯，其实这这里可能想突出就是这个环境我是不预测的，这里是只有动作我是在预测的，的这个的context。' to Person A
22:06:23–22:06:27  I say '我只是单纯觉得还有一点不是特别清楚。' to Person A
22:06:27–22:06:29  I say 'Okay。'
22:06:29–22:06:33  I say 'Um, so I need some color。'
22:06:33–22:06:38  I ask Person A '你觉得你有没有觉得这个很丑？'
22:06:38–22:06:41  I place my hand on the keyboard
22:06:41–22:06:43  I monitor the Figma canvas.
22:06:43–22:06:45  I say '有一点，嗯哼，但也还行。'
22:06:45–22:06:48  My companion asks 'OK， other things do you do do you feel strange or something?'
22:06:48–22:06:50  I say 'No.'
22:06:49–22:06:52  My companion draws on the Figma canvas.
22:06:52–22:06:55  My companion says 'OK. This will be our article's main main main figure. Go ahead.'
22:06:55–22:06:57  I observe my companion.
22:06:57–22:07:00  I view ChatGPT.
22:07:00–22:07:03  I read the ChatGPT caption suggestions.
22:07:03–22:07:07  I view the ChatGPT color palette.
22:07:07–22:07:11  I examine the ChatGPT design advice.
22:07:11–22:07:13  I say '妈的，果味是指的苹果味？为什么？'.
22:07:14–22:07:36  I type '我想苹果味浓一些/例如 ios26 的宣传配色' into ChatGPT.
22:07:37–22:07:40  I say '我还特地找了这个。'.
22:07:41–22:07:44  I say '我觉得做成这样会很好看。'
22:07:44–22:07:48  I say '嗯，嗯哼，Do you think so? Like this?'
22:07:48–22:07:56  I say 'This one.'
22:07:57–22:08:00  I scroll past the macOS bento box section.
22:08:01–22:08:06  I say 'This is gonna be great.'
22:08:07–22:08:10  I say 'Very beautiful.'
22:00:41–22:00:41  I say '喂。'
22:00:41–22:00:44  I examine the text box 'I see veggies and drinks in the fridge.' in Figma.
22:00:45–22:00:49  I inspect the middle section of the flow diagram from 'I grab a bottle of AD Calcium Milk.' to the dialogue bubble 'I say: "...since you caught me, want a bottle too?"'.
22:00:50–22:00:55  I inspect the text layer 'I hear him say: "Haha, caught you!"' and the cartoon illustration.
22:08:41–22:08:46  I look at Figma on my laptop.
22:08:47–22:08:49  I read ChatGPT on my laptop.
22:08:50–22:08:51  Roommate asks '走不走了？'.
22:08:52–22:08:53  I say '走。'
22:08:54–22:08:57  I say '我这个 figma 的这个玻璃特效用起来真的好开心啊！'.
22:08:58–22:08:59  I say '我操，好好看呢。'.
22:09:00–22:09:05  I stand up.
22:09:06–22:09:08  I pick up a charging cable.
22:09:09–22:09:10  I face my roommate.
22:09:11–22:09:15  I say '好好看呢！别动，别动，别动！' to User A.
22:09:15–22:09:20  I observe User A's cat ear headband.
22:09:21–22:09:25  I say '又开始给你家猫挖眼屎。' to User A.
22:09:26–22:09:35  I look at the shoes and floor.
22:09:36–22:09:38  I say '我操，好好看！' to User A.
22:09:39–22:09:41  I look toward the hallway doorway.
22:09:41–22:09:42  I take an orange shopping bag from User A.
22:09:42–22:09:44  User A says 'Okay. Okay. Okay. Okay.' to me.
22:09:45–22:09:47  I look at the electric kettle on the shelf.
22:09:48–22:09:51  I inspect the bottom of a glass cup.
22:09:52–22:09:54  User A takes the glass cup.
22:09:54–22:09:56  User A says 'And me want to drink it.' to me.
22:09:56–22:09:59  I pour water into User A's glass cup.
22:09:59–22:10:00  User A says '嗯哼。'
22:10:01–22:10:04  I walk toward the bathroom.
22:10:05–22:10:11  I place the electric kettle into the bathroom sink to refill.
22:10:11–22:10:13  Roommate says '什么？Really？'.
22:10:13–22:10:15  I say '踢毽子脚有点痛。'.
22:10:15–22:10:20  I fill the electric kettle.
22:10:21–22:10:24  I carry the kettle into the bedroom.
22:10:24–22:10:26  Roommate says '不是，如果穿洞洞鞋。'.
22:10:26–22:10:27  I say '哦，挤脚呗。'.
22:10:27–22:10:29  I place the kettle onto its base.
22:10:29–22:10:32  Roommate says '不是，是因为脚踝这一块是空的。'.
22:10:32–22:10:34  I say 'Okay.'.
22:10:34–22:10:36  I take the takeout bag from my roommate.
22:10:36–22:10:38  I reach for my iPhone on the desk.
22:10:38–22:10:41  I check the iPhone lock screen.
22:10:41–22:10:43  I check my phone.
22:10:43–22:10:47  My roommate says 'Okay. I think the water problem is is fine now. It's solved. Yeah, it doesn't drop. Who knows? Let's go.'
22:10:47–22:10:53  I inspect the window ledge mattress pad.
22:10:53–22:10:55  I turn toward the center of the room.
22:10:55–22:10:58  I pick up a glass of water.
22:10:58–22:11:02  I hold the glass of water.
22:11:02–22:11:07  I say '哦，你穿这个能踢毽子吗？'
22:11:07–22:11:10  My roommate says '那还得穿袜子。'
22:11:11–22:11:16  I watch my roommate search a drawer.
22:11:17–22:11:19  I watch my roommate hold socks.
22:11:20–22:11:24  I walk to the kitchen.
22:11:25–22:11:29  I pick up a garbage bag.
22:11:30–22:11:32  I say '好麻烦呀。'
22:11:33–22:11:40  I carry the garbage bag across the room.
22:11:41–22:11:44  I look at the doorway.
22:11:45–22:11:48  I look toward the kitchen.
22:11:49–22:11:57  I look around the dark hallway.
22:11:58–22:12:00  I look at User A in the bedroom.
22:12:01–22:12:06  I say '呃。他要杀我，他要杀我。'
22:12:07–22:12:11  I turn toward the side wall.
22:02:41–22:02:43  I read aloud one of the dialogue entries on the Figma canvas.
22:02:44–22:02:46  I ask my companion a question about the diagram.
22:02:47–22:02:48  I ask for clarification.
22:02:49–22:02:50  I listen to my companion speak.
22:02:51–22:02:51  I look at the dialogue diagram as my companion finishes their sentence.
22:02:52–22:02:56  I explain my realization about the illustration and dialogue flow on the Figma canvas.
22:12:41–22:12:44  I push open the fire door.
22:12:45–22:12:48  I look toward my companion.
22:12:49–22:12:53  I retrieve the feathered shuttlecock.
22:12:54–22:12:58  I walk toward the apartment door.
22:12:59–22:13:02  I open the lockbox cover.
22:13:03–22:13:10  My companion asks, '你为什么每次要把密码拨乱呢？你是怕有人侵入侵你们家吗？不会的。'
22:13:11–22:13:13  Companion says '或者你每次就波乱一个呗。'
22:13:13–22:13:15  I say '我每次只波乱一个。'
22:13:15–22:13:17  Companion says '波乱一个。一个两个怎么样？'
22:13:17–22:13:21  Companion says '哎，要不就一拿一个吧，拿一个也行，反正也能也能踢。'
22:13:22–22:13:26  I follow my companion into the elevator.
22:13:27–22:13:31  I enter the elevator cabin.
22:13:32–22:13:36  I check the elevator display showing '▼ 35'.
22:13:37–22:13:38  Companion says '哎。别做。'
22:13:39–22:13:39  I say '咋？'
22:13:40–22:13:40  Companion says '我老。'
22:13:41–22:13:51  I stand in the elevator while my companion says '老子老子一耳屎，老子一耳屎。'.
22:13:52–22:13:57  I watch the elevator descend past floor 12.
22:13:58–22:14:05  I look at the elevator wall and floor.
22:14:06–22:14:08  I watch my companion in the mirror as she says 'Your mama, you don't like you again. Okay, okay, okay. Your mama don't like me again. Every day.'.
22:14:09–22:14:11  I pick up a dropped item from the floor.
22:14:11–22:14:14  I step out of the elevator.
22:14:14–22:14:17  I walk down the lobby corridor.
22:14:17–22:14:21  I watch my companion open the glass door.
22:14:21–22:14:25  I observe people moving a wooden crate.
22:14:26–22:14:31  I walk along the outdoor walkway.
22:14:31–22:14:36  I walk past the recycling station.
22:14:37–22:14:40  I say '嗯，去那个。'
22:14:41–22:14:45  I walk along the covered walkway.
22:14:46–22:14:48  I walk along the covered walkway.
22:14:49–22:14:52  I say '去你们那个健身房前空那块儿咋样？那块儿地儿大。'
22:14:53–22:14:55  I walk toward the open plaza.
22:14:56–22:14:58  I look at the wet floor sign.
22:14:59–22:15:03  I say 'OK，那在那块儿吧。'
22:15:04–22:15:07  I gesture toward my companion.
22:15:08–22:15:11  I say '我我我。'
22:15:11–22:15:13  I kick the shuttlecock.
22:15:13–22:15:16  I exclaim '哦，哦，完了！'.
22:15:17–22:15:21  I track the fallen shuttlecock.
22:15:22–22:15:26  I say '我去，有有有，还有，完了'.
22:15:27–22:15:30  I kick the shuttlecock back.
22:15:31–22:15:35  I watch my companion retrieve the shuttlecock.
22:15:36–22:15:40  I say '怎么一夜之间就会踢了？'.
22:15:41–22:15:44  I watch my companion prepare the shuttlecock.
22:15:44–22:15:47  I say '哈哈，对对对！而且你为啥变成用右脚踢了？昨天明明是左脚的。'
22:15:47–22:15:50  The companion says '屁！你上次他妈左脚踢。'
22:15:50–22:15:54  I watch my companion search the bushes.
22:15:55–22:15:58  I say '什么时候左脚踢？我上次也是右脚踢。'
22:15:59–22:16:05  I look at my companion preparing to serve.
22:16:06–22:16:11  I kick the shuttlecock.
22:16:11–22:16:17  I stand facing my companion.
22:16:18–22:16:20  I look at the shuttlecock.
22:16:21–22:16:27  I watch my companion prepare to hit.
22:16:28–22:16:32  I say '不是，给点糊涂的。'
22:16:33–22:16:35  I track the high-flying shuttlecock.
22:16:36–22:16:40  I track the descending shuttlecock.
22:16:41–22:16:46  I look at my companion.
22:16:46–22:16:51  I look down at my feet.
22:16:51–22:16:59  My companion says '哎！哎！肯定是头发的问题。'
22:16:59–22:17:05  My companion says '等一下，我头发。'
22:17:05–22:17:10  I look at the shuttlecock.
22:17:11–22:17:13  I look at my companion and the night sky.
22:17:14–22:17:15  I watch my companion kick and bend down.
22:17:16–22:17:19  I watch my companion walk forward.
22:17:20–22:17:22  I watch my companion bow and laugh.
22:17:23–22:17:28  I look at my companion standing in front of me.
22:17:29–22:17:32  I watch my companion double over laughing.
22:17:33–22:17:36  I watch my companion jog away.
22:17:37–22:17:40  I watch my companion run back toward me.
22:17:41–22:17:44  I watch my companion in a yellow tracksuit.
22:17:44–22:17:47  I look up at the residential building facade and night sky.
22:17:47–22:17:51  I exclaim '哦，shit！啊！啊！non。'.
22:17:51–22:17:53  I observe the white mechanical toy bird on the ground.
22:17:53–22:17:58  I look toward the building entrance portico.
22:17:58–22:18:04  I watch my companion walk toward me.
22:18:04–22:18:07  I look down at the paved ground.
22:18:07–22:18:11  I look at my companion standing in front of me.
22:18:11–22:18:14  I say '战斗力加强百分之二十。'
22:18:14–22:18:20  I look at the building entrance.
22:18:20–22:18:24  I track the shuttlecock landing.
22:18:24–22:18:28  I look at my companion.
22:18:28–22:18:31  I say '哎呦！哎呦！'
22:18:31–22:18:36  I toss the shuttlecock.
22:18:36–22:18:40  I watch my companion kick the shuttlecock.
22:18:41–22:18:45  I say '不是，是那种纸箱子。' to my companion.
22:18:45–22:18:49  I say '哎呀，有结实的，别人搬家都用那个，怎么可能那么容易呢？' to my companion.
22:18:49–22:18:52  I say '那你就上网查。' to my companion.
22:18:52–22:18:57  I watch my companion bend down.
22:18:57–22:19:03  I observe the shuttlecock on the ground.
22:19:03–22:19:06  I pick up the white-feathered shuttlecock.
22:19:06–22:19:08  I exclaim '我操！'.
22:19:08–22:19:11  I look back at my companion.
22:19:11–22:19:14  I say "我会补一脚，补一脚。离我太近就补一脚。" to my companion.
22:19:14–22:19:17  I toss the shuttlecock to my companion.
22:19:17–22:19:20  I pick up the shuttlecock.
22:19:20–22:19:24  I kick the shuttlecock into the air.
22:19:24–22:19:29  I watch my companion retrieve the shuttlecock.
22:19:29–22:19:33  I watch my companion retrieve the missed shuttlecock.
22:19:33–22:19:38  I watch my companion toss and kick the shuttlecock.
22:19:38–22:19:40  I watch my companion retrieve the shuttlecock.
22:19:41–22:19:44  I look at the shuttlecock.
22:19:45–22:19:51  I watch my companion kick.
22:19:52–22:19:54  I pick up the shuttlecock.
22:19:55–22:19:59  I toss the shuttlecock.
22:20:00–22:20:03  I retrieve the shuttlecock.
22:20:04–22:20:06  I observe the lit pavilion.
22:20:07–22:20:10  I say '我，我，我，操！左脚。'.
22:20:11–22:20:16  I look around the courtyard.
22:20:16–22:20:20  I watch my companion adjust their stance.
22:20:20–22:20:25  I look up at the residential building windows.
22:20:25–22:20:29  I track the shuttlecock in flight.
22:20:29–22:20:32  I say "我操！你妈的，这么难接，还叫健身？完了。".
22:20:32–22:20:36  I pick up the shuttlecock from the ground.
22:20:36–22:20:41  I hold the shuttlecock while facing my companion.
22:20:41–22:20:46  I watch my companion bend down.
22:20:47–22:20:50  I face my companion.
22:20:51–22:20:53  I toss the shuttlecock.
22:20:54–22:20:56  I say '踢得好！'
22:20:57–22:20:58  I say '哎呦！'
22:20:59–22:21:01  I say '哎呦！'
22:21:02–22:21:05  I track the shuttlecock.
22:21:06–22:21:11  I observe an approaching pedestrian.
22:21:11–22:21:15  I watch my companion approach.
22:21:16–22:21:25  My companion says 'OK. So, can we play here?'
22:21:26–22:21:30  I say 'OK. OK.'
22:21:31–22:21:36  I walk along the building walkway.
22:21:37–22:21:40  I look toward the distant courtyard.
22:21:41–22:21:44  I walk along the covered corridor.
22:21:44–22:21:48  I step down onto the wooden deck.
22:21:48–22:21:54  I look toward the cordoned-off deck area.
22:21:54–22:22:00  I watch a companion in yellow pajamas approach.
22:22:00–22:22:07  I say 'I don't know. That guy is fucking crazy.' to my companion.
22:22:07–22:22:11  I say 'I don't know.' to my companion.
22:22:11–22:22:14  I look at my companion.
22:22:15–22:22:17  I look toward the patio railing.
22:22:18–22:22:22  I say 'You play that side. That side is easier.'
22:22:23–22:22:27  I say 'Yeah. Cause the wind direction.'
22:22:28–22:22:33  I say 'No, no, no. Let's be far away.'
22:22:34–22:22:39  I say 'Yeah, yeah, yeah. Yeah.'
22:22:40–22:22:41  I catch the shuttlecock.
22:22:41–22:22:48  I watch my companion practice kicking a shuttlecock.
22:22:48–22:22:51  I pick up the shuttlecock.
22:22:51–22:22:54  I toss the shuttlecock.
22:22:54–22:22:56  I say 'Yeah, let's go.' to my companion.
22:22:56–22:23:01  I walk along the covered walkway.
22:23:01–22:23:06  I follow my companion into the plaza.
22:23:06–22:23:11  I say 'That's their problem.'
22:08:11–22:08:13  look at the ChatGPT conversation
22:08:13–22:08:18  type '在 figma 中' into ChatGPT
22:08:18–22:08:20  switch to the Figma tab
22:08:19–22:08:25  say '就是一个这个app，就是它可以让你自己设计这些东西。有点像是好用一点的PPT，' to the person standing beside me
22:08:20–22:08:24  look at the blank white canvas and layer navigation panel of the Figma project
22:08:24–22:08:26  look at the person standing next to the desk
22:23:41–22:23:42  I watch a companion walking ahead.
22:23:42–22:23:44  I say 'Okay. Yeah. Okay. Looks like a super mama.'
22:23:44–22:23:45  I say 'Gonna beat you.'
22:23:45–22:23:46  The companion asks 'What?'
22:23:46–22:23:47  I say 'Oh, oh.'
22:23:47–22:23:51  I walk along the stone garden path.
22:23:52–22:23:57  I glance toward distant building lights.
22:23:58–22:24:02  I glance at my companion.
22:24:03–22:24:06  I look at a ground bollard light.
22:24:07–22:24:11  I walk toward an illuminated gazebo.
22:24:11–22:24:16  I walk along the pathway.
22:24:16–22:24:24  I say 'Samnamno，诶诶，瓦加瓦加，诶诶，Samnamno，桑古伊巴，It's time for Africa。'
22:24:24–22:24:30  I walk along the dark pathway.
22:24:30–22:24:35  I say 'Samnamno，诶诶，瓦加瓦加，诶诶，Samnamno，桑。'
22:24:35–22:24:38  I walk down the steps.
22:24:38–22:24:41  I say 'Really, really.'
22:24:41–22:24:45  I sing 'It's time for Africa. Zamnana, zanglivva, zamnano'.
22:24:45–22:24:48  I say '我，我丢明明显。'.
22:24:48–22:24:52  I say 'Yeah, always.'.
22:24:52–22:24:55  I say 'Ah.'.
22:24:55–22:24:58  I say 'Yeah.'.
22:24:58–22:25:04  I walk toward ground lights.
22:25:04–22:25:10  I look toward the illuminated courtyard.
22:25:11–22:25:14  I say 'Yeah, yeah. Okay.'
22:25:14–22:25:16  I look at the high-rise tower.
22:25:16–22:25:21  I follow companion along the path.
22:25:21–22:25:24  I glance at the pavement.
22:25:24–22:25:31  Companion says 'Put your phone down. Put your phone down.'
22:25:31–22:25:35  I say 'No, it's fine.'
22:25:35–22:25:41  I walk toward the building entrance.
22:25:41–22:25:45  I walk along the pathway.
22:25:45–22:25:48  I look at the apartment building.
22:25:48–22:25:52  I say 'what？'.
22:25:52–22:26:02  I follow the pedestrian.
22:26:02–22:26:07  I glance up at the building.
22:26:07–22:26:10  I look at the garden lights.
22:26:11–22:26:14  I say 'Oh, it's too hard to catch.'
22:26:15–22:26:17  I say 'Higher, please.'
22:26:18–22:26:21  I say 'Higher. Yeah.'
22:26:22–22:26:27  I say '呵，Yeah, this is good.'
22:26:28–22:26:36  I watch the person.
22:26:37–22:26:40  I say 'Go there.'
22:26:41–22:26:48  I walk along a path.
22:26:49–22:26:57  I follow a companion.
22:26:58–22:27:00  I watch a companion check a sign.
22:27:01–22:27:03  I say '咱们no，诶诶，我加我加，诶诶'.
22:27:04–22:27:09  I say 'Okay'.
22:27:10–22:27:10  I kick my leg.
22:27:11–22:27:13  I track the falling shuttlecock.
22:27:14–22:27:18  I say 'Okay. Okay. Good.'
22:27:19–22:27:21  I kick at the shuttlecock.
22:27:22–22:27:25  I say 'Sorry, my fault.'
22:27:26–22:27:33  I say 'It's a little bit narrow here, actually.'
22:27:34–22:27:36  I toss the shuttlecock.
22:27:37–22:27:40  I watch my companion.
22:27:41–22:27:44  I touch a pole.
22:27:45–22:27:49  I say 'Don't hold your pants just like this. Just hold your pants like this, because because your your hand is like.' to Person X.
22:27:50–22:27:54  I say 'You you're too easy to lose your balance. Yeah, good.' to Person X.
22:27:55–22:27:57  I look at the ground.
22:27:58–22:28:02  I observe Person X.
22:28:03–22:28:05  I look down at my feet.
22:28:06–22:28:08  I hold a shuttlecock.
22:28:09–22:28:10  I watch Person X.
22:28:11–22:28:15  I watch my companion pick up the shuttlecock.
22:28:15–22:28:17  I swing my leg to receive the shuttlecock.
22:28:17–22:28:18  I say '哎？'.
22:28:18–22:28:21  I gesture toward the fallen shuttlecock.
22:28:21–22:28:24  I watch my companion prepare to kick the shuttlecock.
22:28:24–22:28:27  I watch my companion kick the shuttlecock.
22:28:27–22:28:29  I retrieve the shuttlecock.
22:28:29–22:28:30  I kick the shuttlecock.
22:28:30–22:28:32  I say '哦哦哦！'.
22:28:32–22:28:35  I watch my companion retrieve the shuttlecock.
