15:13:47–15:13:51  I enter the office.
15:24:01–15:24:06  I read IQL implementation requirements and bash run commands.
15:24:07–15:24:12  I examine the IQL algorithm and loss formulas.
15:24:13–15:24:16  I read the introductory text and GPU guidelines for IQL.
15:24:17–15:24:20  I review the CS285 HW5 Flow Q-Learning algorithm details.
15:24:21–15:24:25  I read the CS285 HW5 deliverables and submission instructions.
15:24:26–15:24:35  I check the terminal downloading Modal experiment runs.
15:24:36–15:24:41  I monitor the checkpoint download progress in the terminal.
15:24:42–15:24:46  I inspect the terminal output and modal overlay.
15:24:47–15:24:49  I read the CS285 submission instructions.
15:24:49–15:24:53  I read the CS285 policy loss notes.
15:24:54–15:24:58  I check the '上传完成' notification.
15:24:59–15:25:08  I monitor the Modal download progress.
15:25:09–15:25:12  I review the CS285 training notes.
15:25:13–15:25:16  I inspect the terminal CLI warning.
15:25:17–15:25:22  I monitor download progress.
15:25:23–15:25:27  I wait for terminal prompt.
15:25:28–15:25:33  I read hw5 PDF.
15:25:34–15:25:39  I trigger quick open bar.
15:25:40–15:25:42  I select README.md.
15:25:43–15:25:46  I read README commands.
15:25:47–15:25:58  I type '只把q3的结果拉回来'.
15:25:58–15:26:01  I monitor the AI assistant processing.
15:26:01–15:26:05  I examine the AI permission options.
15:26:05–15:26:17  I look at the cotton swab container on my desk.
15:26:17–15:26:23  I read Modal commands in README.md.
15:26:24–15:26:34  I monitor Claude Code processing.
15:26:35–15:26:38  I place my hand on the keyboard.
15:26:39–15:26:46  I monitor Claude Code volume download status.
15:26:47–15:26:51  I read the Codex AI explanation about Modal volume q3 download.
15:26:51–15:26:58  I monitor the Codex command progress.
15:26:58–15:27:00  I say '我明白。'.
15:27:00–15:27:08  I read the Codex transfer confirmation note.
15:27:09–15:27:11  I glance at the desk items.
15:27:11–15:27:16  I inspect the VS Code file explorer sidebar.
15:27:17–15:27:20  I read Modal execution commands.
15:27:20–15:27:23  I check the Modal volume download status.
15:27:23–15:27:28  I lean back and watch the laptop.
15:27:28–15:27:36  I monitor the editor status line.
15:27:36–15:27:46  I watch the macOS dock.
15:27:47–15:27:51  I look at the desk.
15:27:52–15:28:01  I read the README instructions on the laptop screen.
15:28:02–15:28:14  I type on the laptop keyboard.
15:28:15–15:28:16  I look towards the right side of the desk.
15:28:17–15:28:22  I read the Modal launch script commands.
15:28:23–15:28:25  I read the Claude Code checkpoint explanation.
15:28:26–15:28:28  I type 'checkpoint 的缩写是什么' into Claude Code.
15:28:29–15:28:35  I read the Claude Code response about 'ckpt'.
15:28:36–15:28:41  I say '嗯，反正现在就是这边是经，然后就是要到这边，然后反正就是。'
15:28:42–15:28:46  I review the experiment folder list in the VS Code sidebar.
15:28:47–15:28:51  I review Modal execution commands.
15:28:52–15:28:56  I inspect eval.csv for antmaze-medium-navigate alpha 10.0.
15:28:57–15:29:03  I review eval.csv for antsoccer-arena-navigate alpha 10.0.
15:29:04–15:29:05  I locate cube-single-play experiment folders.
15:29:06–15:29:07  I inspect train.csv training metrics.
15:29:08–15:29:16  I examine eval.csv for cube-single-play alpha 1000.0.
15:29:17–15:29:19  I inspect the eval.csv tab in VS Code.
15:29:20–15:29:29  I read the hw5 assignment PDF in VS Code.
15:29:30–15:29:46  I inspect the q3 experiment directories in VS Code sidebar.
15:29:47–15:29:51  I inspect the a1.0 eval.csv log.
15:29:52–15:29:56  I browse the VS Code file tree.
15:29:57–15:30:06  I inspect the a3.0 eval.csv log.
15:30:07–15:30:09  I navigate to the a10.0 directory.
15:30:10–15:30:16  I inspect the a10.0 eval.csv log.
15:30:17–15:30:24  I examine eval.csv for a30.0 antmaze.
15:30:25–15:30:29  I inspect eval.csv for a10.0 antmaze.
15:30:30–15:30:41  I read FQL assignment requirements in hw5 (1).pdf.
15:30:42–15:30:44  I select '在 Finder 中显示' on hw5 (1).pdf.
15:30:45–15:30:46  I view the hw5 directory in macOS Finder.
15:30:47–15:30:50  I view the hw5 directory in Finder.
15:30:51–15:30:54  I read assignment requirements in VS Code.
15:30:55–15:30:57  I review report notes in Microsoft Word.
15:30:58–15:31:03  I check Modal download status in Claude Code panel.
15:31:04–15:31:05  I say '嗯，对。'
15:31:06–15:31:16  I check downloaded experiment logs in VS Code explorer.
15:31:17–15:31:21  I review the CS285 HW5 assignment PDF and experiment files in VS Code.
15:31:21–15:31:22  I say '嗯。'
15:31:22–15:31:27  I inspect the Claude Code panel showing q3 experiment download status.
15:31:27–15:31:39  I type a prompt on the keyboard into Claude Code.
15:31:40–15:31:46  I finish typing candidate text into the Claude Code chat panel.
15:31:47–15:32:05  I type a prompt requesting data download and curve plotting.
15:32:05–15:32:08  I check the background process status in the AI panel.
15:32:08–15:32:10  I read the assignment requirements in the PDF.
15:32:10–15:32:16  I examine the background sync task output in the AI panel.
15:32:17–15:32:25  I read the FQL requirements and sync progress.
15:32:26–15:32:33  I raise my left arm.
15:32:33–15:32:34  I switch to Microsoft Word.
15:32:34–15:32:43  I inspect the experimental analysis and plots.
15:32:44–15:32:46  I lower my left hand to the keyboard.
15:32:47–15:32:50  I position the text cursor.
15:32:51–15:32:55  I say '完成这种，这个当时我自己想的就是，就是可以打，不要说什么人，不要打，就是。'
15:32:56–15:33:05  I type '3. Flow Q-learning: '.
15:33:06–15:33:10  I say '但同时，因为婴儿和儿童呢，就是因为像有一些宠物，它是针对这个年龄段的，那可以。'
15:33:11–15:33:13  I type '把学到的 policy 蒸馏'.
15:33:14–15:33:16  I say '但是这个，当时我就那时候，这个词应该就是。'
15:33:17–15:33:22  I type '网络，'.
15:33:23–15:33:27  I type '最后做的是'.
15:33:28–15:33:31  I type '平衡 q 函数'.
15:33:32–15:33:36  I type '以及'.
15:33:37–15:33:40  I type '贴近'.
15:33:41–15:33:45  I type ' bc 的平衡。'.
15:33:46–15:33:46  I create list item '4. '.
15:33:47–15:33:51  I edit my homework report in Word.
15:33:52–15:33:57  I read the FQL assignment PDF instructions in VS Code.
15:33:58–15:34:07  I check the AI assistant panel in VS Code.
15:34:08–15:34:09  I check the experiment directories in the VS Code sidebar.
15:34:10–15:34:16  I monitor the AI assistant checklist in VS Code.
15:34:17–15:34:20  I read the Codex sync task details.
15:34:21–15:34:27  I lean back and look down.
15:34:28–15:34:31  I say '如果说我们多开的话，他们就是我们加分考试，我没有关。'.
15:34:32–15:34:37  I look at the coworker at desk 13.
15:34:38–15:34:40  I read the FQL implementation instructions.
15:34:41–15:34:44  I pick up my smartphone.
15:34:45–15:34:46  I wake my phone lock screen.
15:34:47–15:34:50  I open a quick actions menu on my iPhone.
15:34:51–15:34:52  I swipe through iPhone home screen pages.
15:34:53–15:34:54  I open the Settings app.
15:34:55–15:35:13  I check the Wi-Fi settings page.
15:35:14–15:35:16  I open Google Chrome to '1.1.1.1'.
15:35:17–15:35:18  I type 'bing.com' into the browser.
15:35:19–15:35:25  I check the offline page error.
15:35:26–15:35:30  I open Wi-Fi settings.
15:35:31–15:35:35  I inspect the eduroam network details.
15:35:36–15:35:38  I check available Wi-Fi networks.
15:35:39–15:35:43  I browse the iPhone home screen.
15:35:44–15:35:46  I read the CS 285 assignment on my laptop.
15:35:47–15:35:48  I look at my iPhone.
15:35:48–15:35:53  I tap '无线局域网'.
15:35:53–15:36:02  I examine the Wi-Fi settings list.
15:36:03–15:36:08  I toggle Wi-Fi in Control Center.
15:36:09–15:36:13  I monitor the Wi-Fi reconnection.
15:36:14–15:36:17  I open Control Center.
15:36:17–15:36:18  I view the Wi-Fi settings.
15:36:18–15:36:25  I open Control Center.
15:36:26–15:36:28  I tap the eduroam info icon.
15:36:29–15:36:44  I check eduroam Wi-Fi details and password.
15:36:45–15:36:46  I return to the Wi-Fi settings screen.
15:36:47–15:36:49  I open the Chrome app.
15:36:50–15:36:55  I view the offline Chrome error page.
15:36:56–15:36:58  I open Control Center and lock the phone.
15:36:59–15:37:03  I read the CS 285 FQL assignment instructions.
15:37:04–15:37:16  A peer discusses modifying the code and environment settings.
15:37:17–15:37:34  I hold my phone under the desk while a colleague says '他他他在执行命令的时候，他是不带前面这些前缀了，他就是从相对路径找，就是前面用波浪号什么的，'.
15:37:34–15:37:40  A colleague asks '然后然后就是那边的话，你说那些什么？'.
15:37:41–15:37:47  I lower my phone into my lap.
15:37:47–15:37:50  A colleague asks '你准备明天，你要整理一下，是吧？'.
15:37:51–15:37:53  I say '大概就会。'.
15:37:54–15:37:57  My colleague asks '到时候我直接打开，就需要，还需要吗？'.
15:37:58–15:38:00  I say '肯定需要。你打开，我告诉你。'.
15:38:01–15:38:03  I enter my passcode.
15:38:04–15:38:05  I view the home screen.
15:38:06–15:38:08  I open the Control Center.
15:38:09–15:38:11  I tap the Settings app.
15:38:12–15:38:16  I check the Settings menu.
15:38:17–15:38:23  I check Wi-Fi settings on my iPhone.
15:38:24–15:38:26  I open Chrome on my iPhone.
15:38:27–15:38:31  I load Bing in Chrome.
15:38:32–15:38:35  I search 'Disks' on Bing.
15:38:36–15:38:38  I open WeChat.
15:38:39–15:38:44  I open the chat with babe on WeChat.
15:38:45–15:38:46  I view the WeChat chat with babe.
15:38:47–15:38:53  I send '好哦' to babe.
15:38:54–15:38:58  I browse the chat history with babe.
15:38:59–15:39:03  I browse the WeChat chat list.
15:39:04–15:39:11  I read messages in the HKU MScAI group chat.
15:39:12–15:39:14  I browse the WeChat chat list.
15:39:15–15:39:17  I return to the iPhone home screen.
15:39:17–15:39:21  I open the China Mobile app.
15:39:22–15:39:24  I accept the service agreement.
15:39:25–15:39:28  I view the splash advertisement.
15:39:29–15:39:37  I tap the data balance card.
15:39:38–15:39:46  I inspect the data usage details.
15:39:47–15:39:55  I check China Mobile data allowance and average usage.
15:39:56–15:39:58  I check subscription tier in China Mobile.
15:39:59–15:40:01  I check account balance in China Mobile.
15:40:02–15:40:05  I browse iOS home screen apps.
15:40:06–15:40:10  I browse recent call logs.
15:40:11–15:40:14  I check WeChat conversation list.
15:40:15–15:40:17  I open Yuanbao AI search.
15:40:17–15:40:19  I tap '菜鸟速递' in WeChat search.
15:40:20–15:40:22  I open the Cainiao mini-program.
15:40:23–15:40:25  I view the 88VIP authorization dialog.
15:40:26–15:40:28  I view the 1.8元 shipping discount banner.
15:40:29–15:40:30  I switch to the '订单' tab in Cainiao.
15:40:31–15:40:33  I tap '知道啦' on the order sync notification.
15:40:34–15:40:39  I scroll through my package order history.
15:40:40–15:40:42  I check a package delivery exception notice.
15:40:43–15:40:46  I navigate away from the package screen.
15:40:47–15:40:52  I monitor Claude Code progress and CS 285 assignment formulas.
15:40:53–15:41:03  I check a Cainiao logistics delivery status on my iPhone.
15:41:04–15:41:11  I open the logistics customer service page on my iPhone.
15:41:12–15:41:15  I read the logistics customer service FAQ list.
15:41:16–15:41:17  I open the on-screen keyboard.
15:41:17–15:41:18  I tap '咨询' on an order.
15:41:19–15:41:20  I view the customer service chat.
15:41:21–15:41:27  I type '转人工客服'.
15:41:28–15:41:28  I send '转人工客服'.
15:41:29–15:41:32  I select '寄国际/港澳台件'.
15:41:33–15:41:39  I monitor the queue status.
15:41:40–15:41:46  I monitor the representative connecting.
15:41:47–15:41:51  I monitor the customer service queue.
15:41:52–15:41:55  I view the customer service FAQ options.
15:41:56–15:41:57  I notice the live agent connecting.
15:41:58–15:42:02  I type '今天'.
15:42:03–15:42:08  I type '帮我再派'.
15:42:09–15:42:14  I type '一下'.
15:42:15–15:42:16  I type 'shoujik'.
15:42:17–15:42:24  I type '今天帮我再派一下手机卡那个快递'.
15:42:25–15:42:27  I send '今天帮我再派一下手机卡那个快递'.
15:42:28–15:42:31  I scroll through FAQ options.
15:42:32–15:42:36  I open the emoji panel.
15:42:37–15:42:44  I check the logistics exception card.
15:42:45–15:42:47  I send tracking number '621249568261494'.
15:42:47–15:42:49  I look at the logistics customer service chat.
15:42:49–15:42:56  I read the customer service reply.
15:42:56–15:43:01  I glance toward the adjacent workstation.
15:43:02–15:43:04  I look at my laptop screen.
15:43:04–15:43:10  I review the customer service chat.
15:43:10–15:43:12  I glance at my laptop trackpad.
15:43:12–15:43:17  I examine the agent profile on my phone.
15:43:17–15:43:21  I review the logistics chat.
15:43:21–15:43:25  I read the customer service update.
15:43:25–15:43:39  I type '我和他联系了3遍了让他再'.
15:43:39–15:43:42  I read '小二这边也帮您催促一下哈，您注意电话的接听哈'.
15:43:42–15:43:47  I type '派送一下'.
15:43:47–15:43:51  I type '我和他联系了3遍了让他派送一下他老是忘'.
15:43:51–15:43:53  I send '我和他联系了3遍了让他派送一下他老是忘'.
15:43:53–15:44:01  I read the customer service message about the courier phone number XXX-XXXX-XXXX.
15:44:01–15:44:04  I adjust my grip on the phone.
15:44:04–15:44:08  I check the customer service header '云客服15304710'.
15:44:08–15:44:10  I tap the screen triggering the overlay.
15:44:10–15:44:15  I review the logistics chat and tracking number 621249568261494.
15:44:15–15:44:17  I look down at my lap.
15:44:17–15:44:21  I read logistics customer service chat messages.
15:44:21–15:44:31  I read the customer service reply '好的，小二这边帮您催促一下哈'.
15:44:32–15:44:40  I type '你们客服'.
15:44:41–15:44:46  I type '也催了3'.
15:44:47–15:45:04  I type '3遍了但是没用能换个人派送吗' into logistics customer service chat.
15:45:05–15:45:12  I edit the draft text.
15:45:13–15:45:15  I insert '再派送' into the message.
15:45:16–15:45:17  I send the message to logistics customer service.
15:45:17–15:45:19  I say '只要能跑就行。'
15:45:20–15:45:24  I say '我现在就是这个左和右手应该是同侧的。'
15:45:25–15:45:29  I say '我靠，这个一共。但是它这里会晃动。'
15:45:30–15:45:32  I say '哈哈哈哈哈！'
15:45:33–15:45:38  I say '它是左手抓，呃，这是左手，这左手抓，发现还是。'
15:45:39–15:45:43  I read the customer service FAQ options.
15:45:44–15:45:45  I check the package exception notice.
15:45:46–15:45:47  I scroll up to view history messages.
15:45:47–15:45:54  I read the courier's phone number.
15:45:55–15:45:57  I open the Phone app keypad.
15:45:58–15:46:04  I type '15000731084'.
15:46:05–15:46:11  I say '我还没改，因为左手，左手还没改，左手之，左手之之前的。'
15:46:12–15:46:17  I say '行，那我们先这样了。'
15:46:17–15:46:19  I open the door.
15:46:19–15:46:27  I walk through the hallway.
15:46:27–15:46:30  I pull out the chair and sit down.
15:46:30–15:46:34  I dial 'XXX-XXXX-XXXX'.
15:46:35–15:46:37  I place a yellow earplug on the table.
15:46:38–15:46:40  I look up at the ceiling lights.
15:46:41–15:46:46  I read the customer service chat messages.
15:46:47–15:46:49  I view the Phone app calling screen.
15:46:50–15:46:54  I review the logistics customer service chat.
15:46:55–15:46:58  I switch to the Phone dialer keypad.
15:46:59–15:47:16  I open the keyboard in the logistics customer service chat.
15:47:17–15:47:23  I read the logistics customer service chat.
15:47:24–15:47:33  I type '这个电话关机了' in the chat input bar.
15:47:34–15:47:41  I review the typed text '这个电话关机了'.
15:47:42–15:47:46  I lower my phone to my lap.
15:47:47–15:47:58  I review the logistics customer service chat.
15:47:58–15:48:02  I tap tracking number '621249568261494'.
15:48:03–15:48:06  I view the '物流详情' page for parcel KD 621249568261494.
15:48:07–15:48:09  I tap '取消' on the call confirmation modal.
15:48:09–15:48:13  I view the '订单列表' order list.
15:48:14–15:48:16  I navigate to the Cainiao homepage.
15:48:17–15:48:20  I browse the 菜鸟裹裹 mini-program.
15:48:20–15:48:24  I view the '我的' tab in 菜鸟裹裹.
15:48:24–15:48:29  I browse search results for '菜鸟速递'.
15:48:29–15:48:32  I open the Alipay app.
15:48:32–15:48:38  I inspect my Alipay profile page.
15:48:38–15:48:41  I switch back to WeChat.
15:48:41–15:48:46  I view the WeChat search results.
15:48:47–15:48:48  I open the 丹鸟速递 mini-program.
15:48:48–15:48:51  I tap the '我的' tab.
15:48:52–15:48:54  I tap the three-dots menu button.
15:48:55–15:48:58  I tap '交易评价2.1分共669条评价'.
15:48:59–15:49:03  I read the Danbird courier's review.
15:49:04–15:49:06  I say 'That's crazy.'
15:49:07–15:49:08  I tap the '中差评' tab.
15:49:09–15:49:16  I read the negative customer reviews.
15:49:17–15:49:20  I read negative reviews for 丹鸟速递.
15:49:21–15:49:25  I read the May 3 complaint about customer service.
15:49:26–15:49:30  I examine the April 25 review with photo attachments.
15:49:31–15:49:35  I read reviews about invoice issues and unauthorized package returns.
15:49:36–15:49:40  I read January and December reviews.
15:49:41–15:49:46  I read older 2025 reviews about lost items and service failures.
15:49:47–15:49:50  I read positive reviews on 丹鸟速递.
15:49:51–15:50:01  I read negative reviews on 丹鸟速递.
15:50:02–15:50:05  I search for 菜鸟速递 mini-programs.
15:50:06–15:50:10  I scroll through my WeChat chat list.
15:50:11–15:50:13  I tap on the 公众号 folder in WeChat.
15:50:14–15:50:16  I read tech article headlines in WeChat 公众号.
15:50:16–15:50:17  I say '要毁灭了，我操！'
15:50:17–15:50:22  I read articles about Nvidia open-source agreements and Claude Code prompt engineering in WeChat Official Accounts.
15:50:23–15:50:29  I notice a WeChat message notification from babe.
15:50:30–15:50:32  I scroll through the WeChat Official Accounts feed.
15:50:33–15:50:36  I return to the WeChat chat list.
15:50:37–15:50:39  I read incoming messages from babe.
15:50:39–15:50:40  I say '嗯。'.
15:50:40–15:50:46  I type a reply to babe on the keyboard.
15:50:47–15:50:50  I type a WeChat reply to babe.
15:50:50–15:50:52  I look down the corridor.
15:50:52–15:50:55  I send '我才知道我的耳环忘在酒店？' to babe.
15:50:55–15:50:57  I return to WeChat chat list.
15:50:57–15:51:00  I stand up from the table.
15:51:00–15:51:04  I walk down the hallway.
15:51:04–15:51:08  I push open the office door.
15:51:08–15:51:12  I enter the open-plan office.
15:51:12–15:51:16  I walk along the office aisle.
15:51:17–15:51:21  I sit down at workstation 13.
15:51:22–15:51:24  I read the FQL implementation instructions.
15:51:25–15:51:28  I read the Claude Code Q3 experiment results summary.
15:51:29–15:51:30  I stretch my right arm.
15:51:31–15:51:39  I read the Claude Code verification plan.
15:51:40–15:51:46  I browse the VS Code file explorer.
15:51:47–15:51:50  I read the CS 285 Homework 5 instructions.
15:51:51–15:52:14  I read the Claude Code execution summary.
15:52:15–15:52:16  I position hands on the keyboard.
15:52:17–15:52:18  I say "哦。"
15:52:18–15:52:27  I read the Claude Code summary of Q3 experiment evaluation results.
15:52:28–15:52:38  I hover over the '打开 q3 成功率曲线图' link.
15:52:39–15:52:46  I type notes on the keyboard.
15:52:47–15:52:51  I read the CS285 HW5 PDF.
15:52:52–15:52:56  I read the Claude Code summary.
15:52:57–15:53:01  I ask '怎么知道？'.
15:53:02–15:53:06  I open 'q3_eval_success_curves.png' in the file explorer.
15:53:07–15:53:16  I examine the Q3 evaluation success curves plot.
15:53:17–15:53:31  I examine the AntMaze medium navigate success curve plot in VS Code.
15:53:31–15:53:35  I inspect the VS Code sidebar file tree and the Cube single play plot.
15:53:35–15:53:37  I view the question 3 text in the Microsoft Word report.
15:53:37–15:53:38  I say '嗯。'
15:53:38–15:53:47  I review the evaluation success curve figures in the Word document.
15:53:47–15:53:54  I examine the training curves in Microsoft Word.
15:53:55–15:53:57  I read the assignment requirements in VS Code.
15:53:58–15:54:07  I inspect the evaluation curves in Microsoft Word.
15:54:08–15:54:10  I gesture toward the AntMaze chart.
15:54:11–15:54:13  I look at the lower document window.
15:54:14–15:54:17  I check the tuning criteria in the assignment PDF.
15:54:17–15:54:23  I read the antmaze task execution command.
15:54:24–15:54:30  I read the antsoccer task command.
15:54:31–15:54:35  I read the cube task command.
15:54:36–15:54:41  I read the FQL implementation checklist.
15:54:42–15:54:46  I inspect the evaluation curves in Word.
15:54:47–15:54:47  I view the Word document report.
15:54:48–15:54:56  I read the homework assignment PDF.
15:54:57–15:55:06  I examine the training curves in Word.
15:55:07–15:55:11  I inspect the VS Code file tree.
15:55:12–15:55:16  I read the assignment deliverables and tips.
15:55:17–15:55:28  I read the CS 285 homework instructions.
15:55:28–15:55:43  I type a query into the assistant box.
15:55:43–15:55:46  I switch to the Word report window.
15:55:47–15:55:50  I read the Flow Q-learning section in my Word report.
15:55:51–15:55:54  I examine the SAC+BC alpha evaluation plot.
15:55:55–15:55:57  I scroll through the report graphs.
15:55:58–15:56:02  I read the note on antsoccer parameter tuning.
15:56:03–15:56:06  I inspect the best SAC+BC training curves graph.
15:56:07–15:56:14  I review the antmaze and antsoccer training curves.
15:56:15–15:56:16  I read the alpha hyperparameter analysis notes.
15:56:17–15:56:19  I review notes in hw5 report.docx.
15:56:20–15:56:26  I examine training curves in Word.
15:56:27–15:56:32  I read FQL formulation in hw5 (1).pdf.
15:56:33–15:56:46  I review IQL requirements in hw5 (1).pdf.
15:56:47–15:57:07  I review the CS285 HW5 assignment requirements.
