00:30:20 - 00:30:35  walking with bottle
00:35:16–00:35:20  I review bottom text notes.
00:35:20–00:35:26  I read text on my screen.
00:35:26–00:35:34  I scan text across the screen.
00:35:34–00:35:43  I read middle text lines.
00:35:43–00:35:50  I review content on the screen.
00:35:50–00:36:02  I read the research notes on LLM-based LTA.
00:36:03–00:36:05  I review a spreadsheet table.
00:36:06–00:36:10  I read the DR document.
00:36:11–00:36:19  I type into the DR document.
00:36:20–00:36:22  I read the document titled 'DR'.
00:36:23–00:36:32  I type into the document.
00:36:33–00:36:34  I inspect the document text.
00:36:35–00:36:37  I type on the keyboard.
00:36:38–00:36:38  I glance at the document.
00:36:39–00:36:42  I enter text into the document.
00:36:43–00:36:45  I proofread the document text.
00:36:46–00:36:50  I review the document content.
00:36:50–00:36:53  I place my hands on the keyboard.
00:36:53–00:36:56  I type in the document editor.
00:36:56–00:36:59  I type on the keyboard.
00:36:59–00:37:02  I look at the screen.
00:37:02–00:37:10  I type on the keyboard.
00:37:10–00:37:14  I type on the keyboard.
00:37:14–00:37:17  I inspect the screen.
00:37:17–00:37:20  I type on the keyboard.
00:37:20–00:37:24  I type on the keyboard.
00:37:25–00:37:26  I say '其实不多，基本上都是用。'
00:37:27–00:37:31  I switch tabs to the document.
00:37:32–00:37:43  I review the document page.
00:37:44–00:37:49  I read the document bullet points.
00:37:50–00:37:59  I read literature review notes.
00:38:00–00:38:01  I say '嗯。'
00:38:02–00:38:19  I scan paper summaries.
00:38:20–00:38:24  I read the Attention Fusion and SVA research document.
00:38:24–00:38:28  I scan the upper middle document section.
00:38:28–00:38:33  I read the middle document paragraph.
00:38:33–00:38:38  I read the experimental results.
00:38:38–00:38:43  I scan the lower document paragraph.
00:38:43–00:38:49  I read the concluding document lines.
00:38:50–00:38:57  I read the cloud document.
00:38:57–00:39:07  I scan the document towards the right.
00:39:07–00:39:13  I say "二零二三年已经是三年前了，啊。"
00:39:13–00:39:19  I examine the AI model comparison table.
00:39:20–00:39:26  I read the text on my laptop.
00:39:26–00:39:45  I read through the document.
00:39:45–00:39:47  I say '嗯。'
00:39:47–00:39:50  I read the lower text on my laptop.
00:39:50–00:39:53  I read document notes on my laptop.
00:39:53–00:39:59  I position my hands over the keyboard.
00:40:00–00:40:01  I say '嗯。'
00:40:01–00:40:06  I rest my hand near the trackpad.
00:40:07–00:40:19  I scan text on the laptop screen.
00:40:20–00:40:24  I read research notes.
00:40:25–00:40:30  I read the right side of the document.
00:40:31–00:40:37  I scan middle document text.
00:40:38–00:40:44  I read lower-right literature notes.
00:40:45–00:40:49  I read notes on laptop.
00:40:50–00:40:54  I say '有什么本质的不同吗？'
00:40:54–00:40:59  I say '然后哪一个比较支持其他类型数据的扩展？'
00:40:59–00:41:05  I say '然后哪一个方法是更通用、更好的一个？'
00:41:05–00:41:11  I say '我要测一个，而不是两个。'
00:41:11–00:41:16  I say '然后阅读两个论文回答。'
00:41:16–00:41:19  I look at the text prompt on the screen.
00:41:20–00:41:24  I look at the document page.
00:41:24–00:41:30  I focus on the right-center portion of the document.
00:41:30–00:41:38  I read along the middle section of the webpage.
00:41:38–00:41:44  I scan along the bottom edge near the macOS Dock.
00:41:44–00:41:49  I inspect the document content.
00:41:50–00:42:05  I read the laptop screen.
00:42:06–00:42:10  I rest my hand on the laptop.
00:42:11–00:42:19  I read the webpage text.
00:42:20–00:42:29  I read the document.
00:42:30–00:42:38  I scan the document.
00:42:39–00:42:49  I read through the document.
00:42:50–00:42:55  I look at the online document.
00:42:55–00:42:57  I glance at the keyboard.
00:42:57–00:43:06  I look at the online document.
00:43:06–00:43:14  I type into the online document.
00:43:14–00:43:20  I review the online document.
00:43:20–00:43:21  I view the Feishu document.
00:43:21–00:43:25  I say '然后一边是数据生成，生成，然后另一边是。'
00:43:25–00:43:28  I pick up a glass mug of tea.
00:43:28–00:43:31  I drink tea.
00:43:31–00:43:34  I place a glass mug.
00:43:34–00:43:38  I look toward my chair.
00:43:38–00:43:46  I scan the desk items and figurine shelf.
00:43:46–00:43:49  I adjust the desk lamp.
00:43:49–00:43:50  I view the Feishu document.
00:43:50–00:43:51  I look at the browser document.
00:43:52–00:44:00  I review VS Code terminal output logs.
00:44:01–00:44:19  I monitor the chunk processing terminal output.
00:44:20–00:44:28  I monitor the terminal logs in VS Code.
00:44:29–00:44:32  I read the timestamped action logs in VS Code.
00:44:33–00:44:38  I type on the keyboard.
00:44:39–00:44:42  I rest my hands on the laptop.
00:44:43–00:44:49  I say '把你的这么多代码合成一个代码，然后之后我只要跑一个代码就能。'
00:44:50–00:44:52  I hold my MacBook.
00:44:52–00:44:57  I say '能指定哪个人、哪个时间的数据，然后跑完，'
00:44:57–00:45:03  I view the project files.
00:45:03–00:45:11  I say '并且数据跑完以后，应该默认在 data 下面，'
00:45:11–00:45:15  I check the status area.
00:45:15–00:45:20  I say '然后有不同的。'
00:45:20–00:45:24  I review the event list and prompt in VS Code.
00:45:25–00:45:29  I hear a colleague say '子文件夹分层，然后你写完代码以后，需要简单测试一下。'
00:45:30–00:45:33  I position my hands on the keyboard.
00:45:34–00:45:38  I look at the event list.
00:45:38–00:45:44  I inspect the pipeline_10min folder in the file tree.
00:45:44–00:45:49  I inspect the day1 subfolder in the file tree.
00:45:50–00:45:51  I read events.txt.
00:45:51–00:45:53  I read the report title '对于事件标注迭代，luna day1, 再具体验证。'.
00:45:53–00:46:12  I read timestamped events in events.txt.
00:46:12–00:46:16  I read the process summary in the annotation report.
00:46:16–00:46:20  I read the bottom entries in events.txt.
00:46:20–00:46:22  I read the annotated event list in events.txt.
00:46:22–00:46:24  I say '哎！'.
00:46:24–00:46:29  I scan the laptop screen.
00:46:29–00:46:39  I read the evaluation guidelines in the right document pane.
00:46:39–00:46:48  I review the action sentences in events.txt.
00:46:48–00:46:50  I reach for the laptop trackpad.
00:46:50–00:46:54  I review the action records in events.txt in VS Code.
00:46:54–00:47:01  I scan the event descriptions in events.txt in VS Code.
00:47:01–00:47:08  I review the execution logs in the right pane of VS Code.
00:47:08–00:47:15  I read the status output in the right pane.
00:47:15–00:47:20  I inspect the lower entries of events.txt.
00:47:20–00:47:23  I review the action unit list in the code editor.
00:47:23–00:47:27  I inspect earlier timestamped entries in the editor.
00:47:27–00:47:34  I read the technical documentation text.
00:47:34–00:47:40  I glance toward the shelf above the laptop.
00:47:40–00:47:44  I move my hand toward the laptop keyboard.
00:47:44–00:47:49  I look at the file explorer sidebar.
00:47:50–00:47:58  I read the laptop screen.
00:47:59–00:48:03  I look around my desk and bed.
00:48:04–00:48:19  I read the laptop screen.
00:48:20–00:48:28  I read the timestamped event records in VS Code.
00:48:29–00:48:30  I position my hands over the keyboard.
00:48:31–00:48:49  I type in VS Code.
00:48:50–00:48:57  I review code annotation logs in VS Code.
00:48:58–00:49:00  I adjust my glasses.
00:49:00–00:49:07  I monitor terminal output in VS Code.
00:49:08–00:49:15  I say '并且把这些代码的使用方法写到 Cloud 点 M D 里头。'
00:49:16–00:49:20  I monitor VS Code prompt area.
00:49:20–00:49:24  I say '电话打完了，所有机关似乎都是。'
00:49:25–00:49:29  I view the web browser.
00:49:30–00:49:49  I browse a data table in Chrome.
00:49:50–00:49:55  I review the API log table.
00:49:55–00:50:01  I scan the lower log rows.
00:50:01–00:50:08  I check the left dashboard column.
00:50:08–00:50:16  I inspect the Gemini model records.
00:50:16–00:50:20  I look at the upper dashboard controls.
00:50:20–00:50:24  I review the 通用日志 dashboard.
00:50:24–00:50:28  I type search filters.
00:50:28–00:50:35  I monitor the log table reloading.
00:50:35–00:50:43  I scan the Gemini log records.
00:50:43–00:50:50  I inspect the Gemini API log metrics.
00:50:50–00:50:55  I review the data log table.
00:50:55–00:51:00  I scan the lower log entries.
00:51:00–00:51:09  I inspect the log records.
00:51:09–00:51:15  I read the bottom log entries.
00:51:15–00:51:20  I check the table header and lower rows.
00:51:20–00:51:22  I say '嗯。'
00:51:22–00:51:30  I inspect the browser data table.
00:51:31–00:51:36  I check the lower-right data table entries.
00:51:37–00:51:44  I scan the middle list entries.
00:51:45–00:51:49  I look at the upper table rows.
00:51:50–00:52:04  I review table entries.
00:52:05–00:52:09  I say '并不特别顺利，I think'.
00:52:10–00:52:19  I review VS Code terminal logs.
00:52:20–00:52:38  I view the VS Code screen.
00:52:38–00:52:40  I say '嗯。'.
00:52:40–00:52:43  I review the code suggestion blocks.
00:52:43–00:52:47  I view the code editor.
00:52:47–00:52:50  I look at the terminal output.
00:52:50–00:53:00  I review code and output in VS Code.
00:53:00–00:53:10  I inspect data entries in VS Code.
00:53:10–00:53:20  I read execution progress logs in VS Code.
00:53:20–00:53:26  I review the VS Code editor.
00:53:27–00:53:30  I examine the upper text file in VS Code.
00:53:31–00:53:37  I look at the lower VS Code editor pane.
00:53:38–00:53:43  I read down the document in VS Code.
00:53:44–00:53:49  I check the VS Code terminal log stream.
00:53:50–00:53:57  I read the timestamped log entries in VS Code.
00:53:57–00:54:01  I monitor the chunk execution logs in VS Code.
00:54:01–00:54:07  I check the evaluation timestamp entries in VS Code.
00:54:07–00:54:11  I check the chunk processing logs in VS Code.
00:54:11–00:54:15  I review the timestamped log file in VS Code.
00:54:15–00:54:17  I observe the chunk log entries in VS Code.
00:54:17–00:54:20  I read the timestamp lines in VS Code.
00:54:20–00:54:37  I view script and logs.
00:54:38–00:54:40  I examine the code tooltip.
00:54:41–00:54:47  I look at code editor.
00:54:48–00:54:50  I read code popup modal.
00:54:50–00:55:04  I monitor the VS Code terminal logs.
00:55:05–00:55:11  I examine the AI assistant response panel.
00:55:12–00:55:19  I read the top chunk status summary text.
00:55:20–00:55:22  I read the AI assistant chat panel.
00:55:23–00:55:45  I monitor the terminal execution log.
00:55:46–00:55:49  I look at the pipeline command pop-up.
00:55:50–00:56:00  I read the VS Code tooltip for run_event_pipeline.py.
00:56:00–00:56:19  I monitor the VS Code terminal output.
00:56:20–00:56:22  I check the running python command.
00:56:22–00:56:24  I check the execution logs.
00:56:24–00:56:33  I scan the spreadsheet table.
00:56:34–00:56:40  I say 'I, I don't know. Which is what, actually?'
00:56:41–00:56:49  I say 'These are no more. These are no more, actually.'
00:56:50–00:56:57  I review the API invocation logs.
00:56:57–00:57:06  I inspect the token consumption figures.
00:57:06–00:57:09  I glance at the browser window corner.
00:57:09–00:57:15  I scan the lower invocation log rows.
00:57:15–00:57:20  I review the middle log entries.
00:57:20–00:57:26  I review a data table in Google Chrome.
00:57:27–00:57:36  I inspect data entries in Google Chrome.
00:57:37–00:57:38  I switch to Visual Studio Code.
00:57:39–00:57:46  I monitor script logs in Visual Studio Code.
00:57:47–00:57:49  I type in Visual Studio Code.
00:57:50–00:57:54  I look at the keyboard.
00:57:55–00:57:57  I look at the VS Code window.
00:57:58–00:58:09  I type on the keyboard.
00:58:10–00:58:13  I glance at the screen.
00:58:14–00:58:16  I say '平均重跑几次才能恢复？'.
00:58:16–00:58:19  I read the terminal execution logs.
00:58:20–00:58:25  I look at the bottom of the code editor.
00:58:25–00:58:29  I say '用一个子agent sub agent汇报调研。'
00:58:29–00:58:35  I monitor the log progress.
00:58:35–00:58:43  I withdraw my hands from the laptop.
00:58:43–00:58:49  I look at the middle of the code editor.
00:44:35–00:44:38  Look at project files and batch execution logs for 'emotion-action-predict'
00:44:38–00:44:41  Examine timestamped event logs in 'events.txt'
00:44:41–00:44:44  Position thumb over the fn / bottom-left key
00:44:44–00:44:46  Dictate '把你的这么多代码合成一个代码'
00:44:46–00:44:47  Look at the generated prompt capsule '把你的这么多代码合成一个代码'
00:44:47–00:44:50  Dictate prompt to the coding assistant: '然后之后我只要跑一个代码就'
00:59:20–00:59:24  I examine the VS Code instructions and logs.
00:59:24–00:59:27  I glance across the laptop keyboard.
00:59:27–00:59:31  I pick up a power bank and cable.
00:59:32–00:59:38  I plug the cable into the power bank.
00:59:39–00:59:44  I untangle the USB cable.
00:59:45–00:59:47  I glance at the laptop screen and smartphone.
00:59:48–00:59:49  I hold the power bank on my lap.
00:59:50–00:59:54  I untangle a black cable.
00:59:54–01:00:00  I read the prompt instructions for '调研 Lucia Day2 10分钟 pipeline 的 LLM'.
01:00:00–01:00:01  I say '嗯。'
01:00:01–01:00:12  I review the bash execution output and sub-agent logs.
01:00:12–01:00:16  I reach my hand toward the desk corner.
01:00:17–01:00:19  I look at the desk surface and bed.
01:00:19–01:00:20  I grab the glass mug of tea.
01:00:20–01:00:24  I raise a glass mug.
01:00:25–01:00:27  I place the mug down.
01:00:28–01:00:31  I pull a tissue.
01:00:32–01:00:36  I place a tissue coaster.
01:00:37–01:00:40  I reach for the shelf.
01:00:41–01:00:49  I view the laptop screen.
01:00:50–01:00:57  I read the pipeline research document and terminal logs.
01:00:58–01:00:59  I look up at the shelf.
01:01:00–01:01:02  I say '嗯。'
01:01:03–01:01:20  I review notes and pipeline progress logs.
01:01:20–01:01:31  I read pipeline notes and monitor terminal execution.
01:01:32–01:01:34  I switch to Google Chrome.
01:01:35–01:01:37  I say "四分钟。".
01:01:38–01:01:49  I examine API invocation logs.
01:01:50–01:02:04  I examine the API usage statistics table.
01:02:05–01:02:13  I scan model names and timestamps on the usage table.
01:02:14–01:02:16  I switch to the Right Code key management tab.
01:02:17–01:02:20  I say "That's the problem, I think."
01:02:20–01:02:25  I examine the OpenCLI log table.
01:02:25–01:02:29  I scan the lower log table entries.
01:02:29–01:02:31  I say '嗯。'
01:02:31–01:02:40  I inspect the log table status columns.
01:02:40–01:02:45  I trace across a log entry row.
01:02:45–01:02:49  I place my hand on the trackpad.
01:02:50–01:02:54  I review the API request logs.
01:02:54–01:02:59  I scan the API log entries.
01:02:59–01:03:00  I say "嗯。"
01:03:00–01:03:04  I check an earlier API request in the table.
01:03:04–01:03:09  I check the consumption records in the log table.
01:03:09–01:03:14  I examine the model column in the log table.
01:03:14–01:03:20  I read the bottom log entries in the table.
01:03:20–01:03:29  I examine the OpenCLI log table.
01:03:29–01:03:32  I say 'This is very, very, very, very, very strange.'
01:03:32–01:03:36  I say 'Ah, let me see.'
01:03:36–01:03:40  I switch to VS Code.
01:03:40–01:03:49  I review chunk progress in the VS Code terminal.
01:03:50–01:03:57  I review terminal output.
01:03:58–01:04:06  I scan terminal execution logs.
01:04:07–01:04:16  I read the agent task response.
01:04:17–01:04:19  I position my hand near the keyboard.
01:04:20–01:04:24  I monitor the chunk processing execution logs in VS Code terminal.
01:04:25–01:04:29  I review prompt character count details in VS Code.
01:04:30–01:04:33  I say '嗯。'.
01:04:34–01:04:47  I read the `process_chunk` function docstring and parameters in the hover preview.
01:04:48–01:04:49  I place both hands over the keyboard.
01:04:50–01:04:56  I type in VS Code.
01:04:56–01:05:03  I type at the bottom of the editor.
01:05:03–01:05:08  I read the Python code snippet.
01:05:08–01:05:10  I say '嗯。'
01:05:10–01:05:20  I monitor terminal execution logs.
01:05:20–01:05:25  I check the terminal execution logs.
01:05:25–01:05:36  I monitor the terminal execution progress.
01:05:36–01:05:40  I look at the editor pane.
01:05:40–01:05:45  I say '怎么可能这么多话呢？我操！'.
01:05:45–01:05:49  I read the chunk character lengths.
01:05:50–01:05:55  I read the prompt chunk logs in VS Code.
01:05:56–01:06:06  I type in the search box in VS Code.
01:06:07–01:06:17  I type while reviewing the terminal output.
01:06:18–01:06:19  I rest my hands while reading the editor.
01:06:20–01:06:26  I read the VS Code editor text.
01:06:27–01:06:29  I look at the input bar.
01:06:30–01:06:32  I say '嗯。'.
01:06:33–01:06:49  I read the assistant output.
01:06:50–01:06:51  I turn toward the rolling table.
01:06:51–01:06:53  My roommate says '哦，快拿一下，快拿一下。'
01:06:53–01:06:56  I watch my roommate place food on the table.
01:06:56–01:06:58  My roommate says '可以的。'
01:06:58–01:07:01  My roommate says '吃饭之前，下次帮我把桌子收一下。'
01:07:01–01:07:04  I say '好。'
01:07:04–01:07:07  I turn back to my desk.
01:07:07–01:07:20  I examine the VS Code window and terminal logs.
01:07:20–01:07:37  I view the OpenCLI Adapter API usage log table.
01:07:37–01:07:42  My roommate says '好奇怪，它这个不锈钢的不好，可能是因为太细了这个丝，所以它的电流就出来了，就有点黏。没有光跟。'
01:07:41–01:07:44  I place yellow earplugs.
01:07:44–01:07:47  My roommate picks up a black garment.
01:07:47–01:07:50  I pull the purple folding chair.
01:07:50–01:07:54  I adjust a pink chair cushion.
01:07:54–01:07:59  Companion says '那我跟跟村民吃饭再去删除。'
01:08:00–01:08:04  I watch my companion photograph the food.
01:08:05–01:08:08  I pick up a box of mangosteens.
01:08:08–01:08:13  I inspect the mangosteen container.
01:08:14–01:08:17  I say '哇，冰冰凉。'
01:08:17–01:08:19  I open the trash bin lid.
01:08:20–01:08:27  I dispose of a paper napkin.
01:08:28–01:08:39  I peel a mangosteen.
01:08:40–01:08:44  User A says '哇！'.
01:08:45–01:08:47  User A says '嗯。'.
01:08:48–01:08:49  I discard mangosteen peels.
01:08:50–01:08:53  I pick up the chopsticks.
01:08:54–01:08:57  I watch my companion take eggplant.
01:08:58–01:09:01  I pick up a mangosteen segment.
01:09:02–01:09:04  I say '山竹拌饭，嗯，最好吃。嗯，嗯。'
01:09:05–01:09:07  I eat the mangosteen segment.
01:09:08–01:09:12  I watch my companion eat shredded potatoes with rice.
01:09:13–01:09:17  I watch my companion eat rice.
01:09:18–01:09:19  I watch my companion reach for eggplant.
01:09:20–01:09:25  I watch User X take eggplant.
01:09:26–01:09:30  I watch User X eat rice.
01:09:31–01:09:33  User X says '好。嗯，味道不错，辣。'
01:09:33–01:09:36  I pick up a piece of eggplant.
01:09:37–01:09:41  I eat the eggplant.
01:09:42–01:09:47  I grab another piece of eggplant.
01:09:48–01:09:49  I place the eggplant on my rice.
01:09:50–01:09:53  I say '辣的还，微辣。'
01:09:54–01:09:57  I say '昨天晚上睡晕了，感觉。'
01:09:58–01:10:05  I say '今天早上的时候还做了几个梦。'
01:10:06–01:10:19  I say '做了一个梦，梦到我和我硕士的同学。'
01:10:20–01:10:24  My friend says '去海洋馆看巨大的鲸鱼，然后接着我又骑自行车和我高中的同学'.
01:10:24–01:10:27  I say '就是没有我啊'.
01:10:27–01:10:29  My friend says '没有你'.
01:10:29–01:10:39  My friend says '骑自行车和我高中的同学在街上压马路，看着他骑电动自行车'.
01:10:39–01:10:44  I say '男同学还是女同学？'.
01:10:44–01:10:50  My friend says '男的呀'.
01:10:50–01:10:55  I eat stir-fried shredded potatoes.
01:10:55–01:10:59  I eat rice from my bowl.
01:11:00–01:11:04  The friend sitting opposite says "初中的同学。".
01:11:04–01:11:08  I eat rice from my bowl.
01:11:09–01:11:14  I place braised eggplant into my rice bowl.
01:11:15–01:11:19  I eat braised eggplant and rice from my bowl.
01:11:20–01:11:27  I pick up stir-fried eggplant with chopsticks.
01:11:27–01:11:32  I lift a piece of eggplant.
01:11:32–01:11:36  I place the eggplant onto my rice.
01:11:36–01:11:41  I hold my rice bowl.
01:11:41–01:11:45  I raise my rice bowl.
01:11:45–01:11:49  I pick up eggplant and rice to eat.
01:11:50–01:11:54  I pick up eggplant with chopsticks.
01:11:55–01:12:00  I look across the room.
01:12:01–01:12:06  I reach for the shredded potatoes.
01:12:07–01:12:13  I pick up shredded potatoes.
01:12:14–01:12:19  I place shredded potatoes into my bowl.
01:12:20–01:12:23  I look at the storage cart under the table.
01:12:24–01:12:28  I look at the braised eggplant on the table.
01:12:29–01:12:33  I transfer shredded potatoes into my rice bowl.
01:12:34–01:12:42  I eat braised eggplant and rice from my bowl.
01:12:43–01:12:49  I eat shredded potatoes and rice from my bowl.
01:12:50–01:12:58  I hold my rice bowl.
01:12:59–01:13:04  I watch my friend take eggplant.
01:13:05–01:13:08  I glance at the food.
01:13:09–01:13:13  I watch the table dishes.
01:13:14–01:13:17  My friend says '还有拌饭应该是，嗯，还有饭。'
01:13:18–01:13:19  I look at my rice bowl.
01:13:20–01:13:23  I hold a bowl of rice.
01:13:23–01:13:27  I hold chopsticks.
01:13:27–01:13:30  I lift the plate of eggplant.
01:13:30–01:13:36  I scrape eggplant into my rice bowl.
01:13:36–01:13:38  I place the plate of eggplant onto the table.
01:13:38–01:13:40  I say '我我我，我我我。' to my companion.
01:13:38–01:13:40  I point toward my chest.
01:13:40–01:13:42  I say '你知道为什么我刚刚？' to my companion.
01:13:40–01:13:44  I mix the eggplant and rice.
01:13:42–01:13:48  I say '我告诉你，我下次做选择的时候，不要直接吵。' to my companion.
01:13:45–01:13:48  I watch my companion pick up eggplant.
01:13:48–01:13:50  I reach my chopsticks into the eggplant plate.
01:13:50–01:14:02  User B says '先放盐腌个十几二十分钟，把它里面的水杀出来。杀出来之后，再用清水把它洗干净，然后把它拧干，然后再炒就会很软。'
01:14:03–01:14:05  I say '好的。'
01:14:06–01:14:10  User B says '不然不容易炒软。'
01:14:11–01:14:19  I eat rice and eggplant.
01:14:20–01:14:23  I say "操，这个辣椒好辣！".
01:14:23–01:14:25  Roommate says "我要吃辣椒。".
01:14:25–01:14:27  I say "把那个辣椒剔出来。".
01:14:27–01:14:30  I grab a tissue.
01:14:30–01:14:34  I hold the tissue.
01:14:34–01:14:39  Roommate says "今天也没有下下大雨，昨天晚上给下完了。".
01:14:39–01:14:43  I hold the water pitcher.
01:14:43–01:14:46  I place the water pitcher.
01:14:46–01:14:49  I pick up a fruit.
01:14:50–01:14:54  I say '现在要是外面在电闪雷鸣该多好啊！'
01:14:54–01:14:57  My roommate says '风和日丽多好。'
01:14:57–01:15:00  I say '嗯。'
01:15:00–01:15:06  I peel open the mangosteen.
01:15:06–01:15:18  I say '嗯。'
01:15:18–01:15:20  I look at the study desk.
01:15:20–01:15:24  User A says '这样下来，这样下来，我们两个一顿人均只要二三十块钱。'
01:15:24–01:15:27  I look at User A.
01:15:28–01:15:31  I say '没有肉的话是可以的。'
01:15:31–01:15:33  User A says '不。'
01:15:34–01:15:36  I look at the food tray.
01:15:37–01:15:40  I pick eggplant into my bowl.
01:15:41–01:15:45  I pry out mangosteen pulp.
01:15:46–01:15:49  I eat the mangosteen fruit.
01:15:50–01:15:52  I eat rice with chopsticks.
01:15:53–01:15:55  I grab a tissue.
01:15:55–01:16:00  I hold the tissue.
01:16:00–01:16:05  I lift the rice bowl.
01:16:05–01:16:20  I eat eggplant and rice.
01:16:20–01:16:24  I pick up a slice of braised eggplant.
01:16:24–01:16:29  I eat the eggplant.
01:16:29–01:16:35  I rearrange the eggplant slices in my bowl.
01:16:35–01:16:44  I adjust the eggplant pieces in my bowl.
01:16:44–01:16:49  I grab a bite of rice and eggplant.
01:16:50–01:16:55  My companion says '我知道了，下次我买那种大土豆，这种小土豆淀粉太多，难炒熟。'
01:16:55–01:17:00  My companion says '主要风格不一样嘛，有的是黏糊的。'
01:17:00–01:17:09  I eat rice and eggplant.
01:17:09–01:17:13  My companion says '啊，吃不了了，吃不了了，吃不了了，够。'
01:17:13–01:17:15  I grab a tissue from the desk.
01:17:15–01:17:18  I say '我知道，就是你。'
01:17:18–01:17:20  I hold a tissue paper.
01:17:20–01:17:24  Friend says '切完以后，拿水洗一遍会去。'
01:17:24–01:17:27  Friend says '洗了很多遍，泡在水里。'
01:17:27–01:17:30  I say '好吧。'
01:17:30–01:17:35  Friend says '太细了，可能是。'
01:17:35–01:17:41  I hold my chopsticks and rice bowl.
01:17:41–01:17:50  I say '我以为不洗就是黏糊的，洗了就是脆的。'
01:17:50–01:17:54  I eat dinner.
01:17:55–01:17:57  I look toward the door.
01:17:58–01:18:00  Companion asks '呃，干嘛？'.
01:18:01–01:18:04  I say '没事儿。'.
01:18:05–01:18:07  Companion asks '干嘛？'.
01:18:07–01:18:10  I pinch companion and say '掐一哈。'.
01:18:10–01:18:16  I say '总感觉今天反射弧有点慢呢。'.
01:18:16–01:18:19  I watch companion eat.
01:18:20–01:18:22  I observe my companion raising her hand.
01:18:23–01:18:27  My companion says '我刚切土豆的时候切的，这一块已经掉了。'
01:18:28–01:18:32  I say '把指甲给你剪了，要不容易挫伤，感觉。'
01:18:33–01:18:36  My companion says '今天还有加加。'
01:18:37–01:18:43  I place eggplant into my rice bowl.
01:18:44–01:18:49  I pick up eggplant with chopsticks.
01:18:50–01:18:53  I ask '还有曹威家的痕迹吗？'
01:18:53–01:18:56  I ask '曹威家走了吗？'
01:18:56–01:19:00  I say '有可能他只是去旅游了。'
01:19:00–01:19:05  My companion says '全是他的痕迹。'
01:19:05–01:19:09  I say '今天。'
01:19:09–01:19:19  I say '他那一堆衣服放那都不知道放多久了，有没有尽量收？'
01:19:20–01:19:25  I pick up eggplant from my bowl.
01:19:25–01:19:33  I eat eggplant and rice.
01:19:33–01:19:44  I say '感觉下次不能买那么多肉。我今天看那个肉，我感觉。'
01:19:44–01:19:50  I watch User A take eggplant.
01:19:50–01:19:51  User X says "没有那么好".
01:19:51–01:19:53  I say "是冻的吗？" to User X.
01:19:53–01:20:03  User X says "冻着的，但是因为你每次拿出来要加热，然后把它化掉，然后又把它冻上，口感就没有那么好。"
01:20:03–01:20:05  I say "好的。"
01:20:05–01:20:10  User X says "下次买半冰的也可以。"
01:20:10–01:20:12  I say "好的。"
