17:54:10–17:54:14  I descend the stairs.
18:17:20–18:17:25  I stir and scoop seafood soup with my spoon.
18:17:26–18:17:28  I lift a spoonful of mushroom and soup.
18:17:29–18:17:35  I arrange clam shells in the soup bowl.
18:17:36–18:17:39  I examine the soup bowl.
18:17:40–18:17:43  I scoop a mushroom stem with a spoon.
18:17:43–18:17:46  Someone says '睡呗。'.
18:17:46–18:17:51  I stir the soup with the spoon.
18:17:51–18:17:56  I scoop squid with the spoon.
18:17:56–18:18:00  I position the spoon under a shrimp.
18:18:00–18:18:04  A dining companion asks '开不开？'.
18:18:04–18:18:07  I lift the shrimp on the spoon.
18:18:07–18:18:09  A companion says '你把它撬开。'.
18:18:10–18:18:13  I transfer a clam shell.
18:18:14–18:18:21  I stir the seafood soup.
18:18:22–18:18:31  I scoop soup broth.
18:18:32–18:18:37  I look around the restaurant.
18:18:38–18:18:39  I look back at the soup bowl.
18:18:40–18:18:47  I scoop seafood soup.
18:18:47–18:18:50  I drink a spoonful of seafood soup.
18:18:50–18:18:56  I drink another spoonful of seafood soup.
18:18:56–18:19:00  I scoop soup from the bowl.
18:19:00–18:19:02  I drizzle soup over the rice.
18:19:02–18:19:05  Someone says '归一，归零。'.
18:19:05–18:19:07  I place the spoon back into the soup bowl.
18:19:07–18:19:10  I look around the restaurant and at my plate.
18:19:10–18:19:12  I inspect my food and empty dishes.
18:19:12–18:19:16  I hold a napkin while watching my companion reach for tissues.
18:19:16–18:19:19  I view the dishes on the turntable.
18:19:20–18:19:21  I look toward the glass window.
18:19:22–18:19:30  I read the Zhuang specialty menu posters on the wall.
18:19:31–18:19:33  I look at my companion using her smartphone.
18:19:34–18:19:39  I say '我操，吃木虫吗？吃木虫吗？应该是一种虫子吧，或者土狗。'
18:19:40–18:19:43  I say '土狗不是狗，感觉是一种虫子。不然不会这么便宜，是吧？' to my companion.
18:19:43–18:19:49  I hold a paper napkin.
18:19:49–18:19:55  I look toward the wall menu boards.
18:19:55–18:20:00  I say '还有老鼠汤。'
18:20:00–18:20:09  I read the wall menu posters.
18:20:10–18:20:16  I look at my companion.
18:20:16–18:20:18  The companion asks '吃不？'.
18:20:18–18:20:23  The companion says '你再给人加一下'.
18:20:23–18:20:29  The companion says '这顶上昨天的饭了，这顶上昨天的饭钱了'.
18:20:29–18:20:39  The companion says '小贵，三百一十六。'.
18:20:40–18:20:45  I say '这种地方太贵了。镇上，'.
18:20:46–18:20:47  I look down at the table.
18:20:48–18:20:51  I pick up the glass cup.
18:20:52–18:20:55  I drink the barley tea.
18:20:56–18:20:59  I say '我这个大麦茶还可以。'.
18:21:00–18:21:05  I pour tea into the glass cup.
18:21:06–18:21:09  I say '这个玻璃房不错。'.
18:21:10–18:21:12  I look at my companion.
18:21:13–18:21:15  I look out at the courtyard.
18:21:16–18:21:20  I say '刚才下雨的感觉是最好了，一会儿不知道还有没有雨。'
18:21:21–18:21:24  I watch a person walking outside.
18:21:25–18:21:28  I say '下雨，在这个小木屋里一躲，一猫。'
18:21:29–18:21:33  I look at my companion.
18:21:34–18:21:36  I reach for my glass of tea.
18:21:37–18:21:39  I lift the glass of tea.
18:21:40–18:21:43  I watch my dining companion sip tea.
18:21:43–18:21:45  My dining companion says '这大麦茶真的好喝。'.
18:21:45–18:21:47  I hold a glass of tea.
18:21:47–18:21:51  I look at a person walking outside.
18:21:51–18:21:56  I look at the 勇闯天涯 beverage refrigerator.
18:21:56–18:22:00  I read the framed menu boards listing '壮家药膳汤', '壮家土窖', '明仕山野', and '明仕荷花宴'.
18:22:00–18:22:08  I watch a person enter through the glass doors.
18:22:08–18:22:10  I look toward my dining companion.
18:22:10–18:22:14  I observe the buffet counter.
18:22:14–18:22:18  I watch a golf cart pass outside.
18:22:18–18:22:21  My companion asks '压第三轮？咋这么整齐划一呢？'.
18:22:21–18:22:24  I say '不知道啊，问问去。' to companion.
18:22:24–18:22:27  My companion says '刚路上还看到好几个。'.
18:22:27–18:22:30  I say '一路上都是好吧。' to companion.
18:22:30–18:22:33  I look toward the entrance doorway.
18:22:33–18:22:38  I watch a staff member sweep outside.
18:22:38–18:22:40  I look at the dining table.
18:22:40–18:22:42  I view the dining table.
18:22:42–18:22:44  I say '组一个溜溜弯去。'
18:22:44–18:22:52  I watch my companion.
18:22:53–18:23:02  I observe the snack shelves.
18:23:03–18:23:06  I observe the service counter.
18:23:07–18:23:09  I track the staff member.
18:23:10–18:23:14  My companion says '我感觉是长得像蚂蚁的蛋。'.
18:23:14–18:23:19  I say '什么蛋长得像蚂蚁呢？'.
18:23:19–18:23:23  My companion says '像蚂蚁那么大的。'.
18:23:23–18:23:27  I say '单纯，哪来得像蚂蚁？'.
18:23:27–18:23:30  I look at the wall-mounted menu posters.
18:23:30–18:23:33  I look at the lotus-petal dish on the turntable.
18:23:33–18:23:36  I pick up my phone and unlock it.
18:23:36–18:23:39  I open Google Chrome.
18:23:40–18:23:46  I type '蚂蚁蛋' into the search bar.
18:23:47–18:23:50  I monitor the loading page.
18:23:51–18:23:54  I navigate to bing.com.
18:23:55–18:23:59  I search '蚂蚁蛋是什么' on Bing.
18:24:00–18:24:05  I read the ant eggs definition.
18:24:06–18:24:09  I say '我操，还真是！是黄猄蚁的卵、幼虫和。'
18:24:10–18:24:16  I say '用。蛋白质是牛奶的十六倍，鸡蛋的三十八倍。'
18:24:16–18:24:26  I read the ant egg cooking methods and cultural background.
18:24:27–18:24:33  I scroll past the Baidu Baike card.
18:24:34–18:24:39  I browse Zhihu and Sohu search results about ant eggs.
18:24:40–18:24:50  I browse Bing search results about 蚂蚁蛋.
18:24:51–18:24:53  I say '我想看土狗是啥？我感觉是另一种昆虫。' to my dining companion.
18:24:54–18:24:55  I tap the Bing search bar.
18:24:56–18:25:01  I type '土狗' into Bing search.
18:25:02–18:25:02  I select '土狗是什么'.
18:25:03–18:25:05  I read the Baidu Baike 中华田园犬 card.
18:25:06–18:25:09  I read the Baidu Baike 蝼蛄 card.
18:25:10–18:25:13  I say "是，蝼蛄，昆虫纲直翅目，这个。"
18:25:13–18:25:19  I say "为什么是土狗？有半毛钱关系？"
18:25:19–18:25:24  I look at the restaurant wall menus.
18:25:24–18:25:27  I tap the search bar.
18:25:27–18:25:30  I say "木虫。"
18:25:30–18:25:36  I read the search results for "木虫是什么".
18:25:36–18:25:39  I look at my dining companion.
18:25:40–18:25:44  I say '是天牛的幼虫。天牛就是一种虫子' to my companion.
18:25:45–18:25:47  I place the smartphone onto the table.
18:25:48–18:25:49  I look at the teapot.
18:25:50–18:25:52  I adjust my glasses.
18:25:53–18:25:57  I ask '走不？还是再坐会？'.
18:25:58–18:26:09  I observe a staff member walking in the restaurant.
18:26:10–18:26:16  I look at the dining table dishes.
18:26:17–18:26:20  I watch the waitress deliver the bill.
18:26:21–18:26:23  My companion asks '正常吗？'.
18:26:24–18:26:30  I say '正常，正常'.
18:26:31–18:26:39  I pick up a glass cup.
18:26:40–18:26:44  The server says '嗯，可以啊。客房才有这种待遇，因为一般的不是啊'.
18:26:45–18:26:50  The server says '因为我们这个是中高级经济的，四十五个人，味道挺好的，可以吗？'.
18:26:51–18:26:55  I watch the server place a QR code stand.
18:26:56–18:27:00  My companion says '好，这是证据。'.
18:27:01–18:27:05  My companion says '在这可以再多点一点，对吧？有些也是，他们就是喜欢吃。'.
18:27:06–18:27:10  I pick up a glass tumbler.
18:27:10–18:27:14  I watch the payment interaction.
18:27:14–18:27:17  I look at the tabletop dishes.
18:27:17–18:27:20  I view the payment confirmation.
18:27:20–18:27:22  My companion says '哎，我付了二百六十一。'
18:27:22–18:27:25  I watch my companion stand up.
18:27:25–18:27:31  I stand up from the table.
18:27:31–18:27:35  I walk toward the exit.
18:27:35–18:27:37  I open the glass door.
18:27:37–18:27:39  I walk outside along the stone path.
18:27:40–18:27:42  I step outside the restaurant door.
18:27:42–18:27:45  I say '啊，嘴是讲价了，但是手却很诚实。' to my companion.
18:27:45–18:27:50  I adjust my glasses.
18:27:50–18:27:56  I walk past an outdoor air conditioning unit.
18:27:56–18:28:00  I follow my companion past a welcome mat.
18:28:00–18:28:05  I step along the stone pavers.
18:28:05–18:28:09  I walk onto the grassy lawn.
18:28:10–18:28:13  I say "这个草地还蛮好的，你踩一下很软的，很舒服。"
18:28:13–18:28:14  I touch the grass.
18:28:14–18:28:18  I view the landscape.
18:28:18–18:28:20  I observe the cottage.
18:28:21–18:28:25  I approach the footbridge.
18:28:26–18:28:28  User A says "这有什么拍的？"
18:28:29–18:28:31  I say "哦。"
18:28:31–18:28:33  I observe the resort grounds.
18:28:33–18:28:40  I cross the turf bridge.
18:28:40–18:28:43  I lower my hand.
18:28:43–18:28:45  I say "稻田鸭不？".
18:28:45–18:28:48  I look at the solar light.
18:28:48–18:28:51  I view the rice paddy and mountains.
18:28:51–18:28:53  I say "应该给它带个排骨出来。".
18:28:53–18:28:57  I inspect the rice stalks.
18:28:57–18:28:59  I say "好想吃。".
18:28:59–18:29:01  I look at the rice fields and karst hills.
18:29:01–18:29:05  I look at my feet.
18:29:05–18:29:10  I admire the rice fields and karst mountains.
18:29:10–18:29:14  I gaze at the rice fields.
18:29:14–18:29:18  I say '啊！好难听，这个啊'.
18:29:18–18:29:40  I observe the rice fields and karst mountains.
18:29:40–18:29:48  I gaze across the rice paddy field.
18:29:48–18:29:52  I say '这就是水稻啊！'
18:29:52–18:29:57  I reach toward a rice stalk.
18:29:57–18:30:02  I say '我操，还有个虫子呢'
18:30:02–18:30:06  I inspect the rice grains.
18:30:06–18:30:10  I say '难以想象大家会种这么小的食物来作为主粮。'
18:30:10–18:30:12  I pluck a rice grain.
18:30:12–18:30:16  I show the rice grains.
18:30:16–18:30:22  I say "真的，你说你要是人类祖先，你会你会种这么小的东西做你每天的饭吗？这这哪能想象呢？" to companion.
18:30:22–18:30:25  I view the karst mountains.
18:30:25–18:30:29  Companion says "那可不，那不产量种出来吗？".
18:30:29–18:30:34  I peel the rice husk.
18:30:34–18:30:39  I walk while husking the rice grain.
18:30:40–18:30:46  I husk a rice grain.
18:30:46–18:30:53  I observe the rice field and karst mountains.
18:30:53–18:30:55  I look at my companion.
18:30:55–18:30:57  My companion says '你咋又把那拖鞋穿着了？'.
18:30:57–18:30:59  I look at my slippers.
18:30:59–18:31:04  My companion says '你真是第一人，积极第一人，就是最积极的就是。是高。'.
18:31:04–18:31:10  I view the karst peaks.
18:31:10–18:31:11  I gaze at the karst mountains across the rice paddy.
18:31:11–18:31:12  My companion says "高速吧。我拍照。"
18:31:12–18:31:16  I observe my companion pointing to her leg.
18:31:16–18:31:19  I scan the walkway and resort cabins.
18:31:19–18:31:21  I take the mosquito repellent spray bottle.
18:31:21–18:31:28  I spray mosquito repellent onto my legs.
18:31:28–18:31:33  I spray mosquito repellent onto my left arm.
18:31:33–18:31:36  I look up at the bamboo trees and sky.
18:31:36–18:31:39  I spray mosquito repellent onto my right foot.
