14:46:04–14:46:08  I descend the stairs.
14:54:43–14:54:50  My friend says '不敢打。哦，特别受伤。不是，不是特别受伤。特别练太那个，我靠，太痛苦了。'.
14:54:50–14:54:53  I say '那你怎么着？康复训练还是怎么着？'.
14:54:53–14:54:59  My friend says '我还没开始康复训练呢，我只休息了。'.
14:54:59–14:55:04  I say '他让你，你有你。'.
14:55:04–14:55:13  I say '你有你有你有问他们吗？就是那种体育的康复训练怎么做？就是针对腰腹的疗法吧。有网上现在什么教程没有？' to my friend.
14:55:04–14:55:09  I eat a piece of chicken.
14:55:09–14:55:14  I eat rice with chicken.
14:55:14–14:55:20  I eat another bite of rice.
14:55:18–14:55:26  My friend says '但是就是这个东西，那就好不了。只能说暂时这个样子。我现在急性期过去了。' to me.
14:55:21–14:55:25  I pause eating.
14:55:26–14:55:30  My friend says '你考完试什么事？' to me.
14:55:25–14:55:34  I separate chicken pieces.
14:55:34–14:55:36  I look at my chicken plate.
14:55:36–14:55:40  My dining companion says '考试有一个之前论文的那个返稿了，要修一下那个图还有东西，改一下。'
14:55:40–14:55:43  I lift a piece of chicken with my fork.
14:55:43–14:55:45  I say '不是，不是，是本科时候投的。'
14:55:46–14:55:54  My dining companion says '哦，我操，那老早了，大四写，投了一个 entropy 商，就是商 entropy。'
14:55:54–14:56:03  I pick up chicken with my fork.
14:56:04–14:56:08  I lift a piece of chicken.
14:56:08–14:56:11  The companion asks '你这也是为了什么过门槛了？'
14:56:11–14:56:15  I say '那不是。自己发的。那纯粹是之前写的。'
14:56:15–14:56:21  The companion asks '周末有空出去玩不？这周末。'
14:56:21–14:56:26  I say '啊。可以。可以。'
14:56:26–14:56:34  I adjust the chicken with my fork.
14:56:34–14:56:39  I say '我今天早上刚给小宁送走，他现在这几天我都不那个，就除了写写论文什么。' to my friend.
14:56:39–14:56:42  The friend says '嗯。太结课了。'
14:56:42–14:56:46  I transfer a piece of chicken onto my rice.
14:56:46–14:56:50  The friend says '我刚才一瞅是，我说这条裤子配这个鞋，我还有点眼熟。'
14:56:50–14:56:53  I say '啊，我们在小组讨论呢。'
14:56:53–14:56:56  I pick up the soup bowl.
14:56:56–14:57:04  I drink the soup.
14:57:04–14:57:07  My companion says '我以为你早结课了，都离开香港了。'
14:57:08–14:57:10  I place the soup cup onto my tray.
14:57:11–14:57:18  I say '没有，我甚至有可能暑假还会再回来。'
14:57:19–14:57:22  My companion asks '你这屋到什么时候？'
14:57:23–14:57:26  I say '七月底。'
14:57:27–14:57:33  My companion says '也租也租不出去了。'
14:57:34–14:57:37  I position my fork on the chicken.
14:57:37–14:57:42  I spear a piece of chicken.
14:57:42–14:57:44  I say '嗯。'
14:57:45–14:57:48  I press my fork into the chicken.
14:57:48–14:57:51  I glance at the cup of soup.
14:57:51–14:57:56  I transfer chicken to my rice bowl.
14:57:57–14:58:03  I pierce another piece of spicy chicken.
14:58:04–14:58:07  My dining companion says '车太他妈刺激了，对于我来说。'
14:58:07–14:58:11  I eat a piece of chicken.
14:58:11–14:58:15  My dining companion says '周末我玩过呀。二月份玩的嘛，吓都吓死了。'
14:58:15–14:58:19  I eat a piece of chicken.
14:58:19–14:58:22  My dining companion says '长隆感觉好老啊，那块儿。'
14:58:22–14:58:25  I say '嗯。嗯。'
14:58:25–14:58:29  My dining companion says '除了那个鹦鹉，其他都无所谓的。'
14:58:29–14:58:34  I scoop rice.
14:58:34–14:58:38  I ask my friend "你俩怎么说的？周末去浮潜吗？"
14:58:38–14:58:40  My friend asks "在哪呀？"
14:58:40–14:58:48  I say "西贡码头旁边那个岛叫桥嘴洲，还是橘嘴洲？桥嘴洲那块儿有很多珊瑚和小丑鱼。"
14:58:48–14:58:52  My friend says "可以。什么时候去？"
14:58:52–14:58:57  I eat a piece of chicken.
14:58:57–14:59:02  I say "周六或者周日吧，我看一下天气。"
14:59:02–14:59:03  My friend picks up his iced tea.
14:59:03–14:59:04  I raise my hand to my smart glasses.
14:59:04–14:59:08  I ask '还有谁？'
14:59:08–14:59:14  I scoop rice with my fork.
14:59:14–14:59:19  I say '你可以再喊有几个女同学。'
14:59:19–14:59:23  I say '行。'
14:59:23–14:59:34  I say '我把他那个蛋带上，我操。'
14:59:34–14:59:40  I select a piece of chicken.
14:59:41–14:59:45  I lift a piece of chicken with my fork.
14:59:46–14:59:52  I look at the food tray.
14:59:53–14:59:57  I look between the chicken plate and rice bowl.
14:59:58–15:00:04  I scoop steamed rice with my fork.
15:00:04–15:00:07  The companion asks '谁追谁睡过？'.
15:00:07–15:00:13  I say '也不算吧，感觉算是正常的 boyfriend girlfriend。'.
15:00:14–15:00:18  I say '嗯。'.
15:00:19–15:00:27  I say '算是正常的哥 boyfriend girlfriend。我看他，我看他发的。'.
15:00:28–15:00:30  I lower the soup cup.
15:00:30–15:00:34  I pick up chicken with a fork.
15:00:34–15:00:37  I pick up a piece of spicy chicken.
15:00:37–15:00:40  I eat the spicy chicken.
15:00:40–15:00:44  I separate chicken with my fork.
15:00:44–15:00:47  I eat another piece of spicy chicken.
15:00:47–15:00:53  I say '抖音什么微信啥的，没啥看出来什么。啊哈。' to my companion.
15:00:53–15:00:57  I scoop chicken and rice with my fork.
15:00:57–15:01:00  I look at the spicy chicken plate.
15:01:00–15:01:04  I gather rice with my fork.
15:01:04–15:01:07  My companion asks '后边有计划一块儿旅行吗？'.
15:01:07–15:01:18  I say '可能有吧，看看吧。之前之前说，或许或许可以坐个游轮，或者去菲律宾玩玩。'.
15:01:18–15:01:20  My companion says '嗯。'.
15:01:20–15:01:24  I eat the chicken piece.
15:01:24–15:01:31  My companion asks '哥，咱好像之前什么时候问过，坐那个什么“皇家一号”还是什么玩意儿？'.
15:01:31–15:01:34  I say '嗯。'.
15:01:34–15:01:37  The person opposite asks '你去哪儿玩了？五月份？'
15:01:37–15:01:42  I say '前段时间去了趟清远。'
15:01:42–15:01:49  I say '哎，我其实去的还挺多的。厦门、东莞、惠州、广州都逛遍了。'
15:01:49–15:01:52  The person opposite says '广州逛遍了。'
15:01:52–15:01:58  I say '清远，然后回来的时候又又回顺德，那个东莞、佛山。'
15:01:58–15:02:03  I poke chicken in chili oil.
15:02:04–15:02:07  I pick at a piece of chicken.
15:02:07–15:02:10  Friend asks '你们同学有计划毕业旅行吗？'
15:02:10–15:02:12  I say '什么？'
15:02:12–15:02:16  Friend asks '你们同学有计划毕业旅行吗？'
15:02:16–15:02:18  I say '没有。'
15:02:19–15:02:22  Friend says '我说你们俩。'
15:02:23–15:02:28  I say '我研究生同学有什么好毕业旅行的？'
15:02:28–15:02:33  I spear chicken with my fork.
15:02:34–15:02:37  I look at the chicken plate and soup.
15:02:37–15:02:40  The dining companion asks '那那个谁呢？啊，你女朋友呢？'
15:02:40–15:02:44  The dining companion asks '她怎么了？她现在还在香港吗？还是'
15:02:44–15:02:49  I say '我不今天早上刚给她送过去吗？'
15:02:49–15:02:52  The dining companion asks '送回家是吗？'
15:02:52–15:02:54  I say '就是。'
15:02:54–15:03:00  The dining companion says '大姐，他们。哦，香港还在香港。'
15:03:00–15:03:04  I lower the fork.
15:03:04–15:03:06  My companion says '他今天去迪士尼了。'
15:03:06–15:03:08  I say '我勒个天！'
15:03:08–15:03:11  My companion says '那也没事了。'
15:03:11–15:03:14  My companion says '过段时间，大壮每年也要回山东嘛，然后就一块回去了。'
15:03:14–15:03:17  I drink soup from the cup.
15:03:17–15:03:20  I say '回山东在这溜一圈。'
15:03:20–15:03:22  My companion says '可以。'
15:03:22–15:03:26  I say '他开学干什么？'
15:03:26–15:03:30  My companion says '是。'
15:03:30–15:03:34  I spear a chicken piece with the fork.
15:03:34–15:03:37  My companion asks '找工作还是接着读什么的？'.
15:03:37–15:03:47  My companion says '我感觉这摇的钱可能存在对于未来的不确定性，所以说他作品里看不出来什么东西。'.
15:03:47–15:03:52  My companion asks '哈哈，你对此持什么态度？'.
15:03:52–15:03:55  I say '我对此。'.
15:03:55–15:03:58  I place the chicken onto my rice.
15:03:58–15:04:04  I press the chicken with my fork.
15:04:04–15:04:06  I say '没考虑过。' to my companion.
15:04:06–15:04:13  My companion says '哎呀，不过如果你确定，你确定，你确定去重庆，他确定在这当老师，你就走到哪是哪。'
15:04:13–15:04:18  My companion says '我我不能我不能待太晚。三点我约他们那个在十九楼搞东西的。'
15:04:18–15:04:27  I transfer a chicken piece to the rice bowl.
15:04:27–15:04:34  I lift a bite of chicken with the fork.
15:04:34–15:04:38  I look at my food tray.
15:04:38–15:04:42  I say '你们吃吧。'.
15:04:42–15:04:46  My companion says '啊。你们吃吧，你们吃吧。不是，他们不在这吃。晚上在这吃吗？聊会天。'.
15:04:46–15:04:49  I ask '谁啊？'.
15:04:49–15:04:53  My companion says '你。我和谁啊？用我呗。咱俩。'.
15:04:53–15:04:57  I say '也可以啊。哦。也行。'.
15:04:57–15:05:04  I look across the dining hall.
15:05:04–15:05:07  I eat chicken and rice.
15:05:07–15:05:11  My companion says '他们六点就结束，他们六点就要走，那我也走了，然后，那吃口饭。'
15:05:11–15:05:12  I say '可以'.
15:05:12–15:05:14  My companion says '我我结束联系你吧。'
15:05:14–15:05:15  I say '可以可以'.
15:05:15–15:05:18  My companion says '好，拜拜拜拜'.
15:05:18–15:05:25  I look at the food tray.
15:05:25–15:05:29  I gather rice with my fork.
15:05:29–15:05:34  I pick up chicken with my fork.
15:05:34–15:05:39  I eat a piece of chicken.
15:05:39–15:05:53  I examine the leftover food on my tray.
15:05:54–15:05:59  I scrape spicy sauce from the dish with a fork.
15:05:59–15:06:01  I eat sauce toppings with the fork.
15:06:01–15:06:04  I say '嗯。'
15:06:04–15:06:08  I scrape rice with a fork.
15:06:08–15:06:11  I set down the fork.
15:06:11–15:06:17  I watch a cafeteria staff member.
15:06:17–15:06:23  I pick up the soup cup.
15:06:23–15:06:29  I drink soup broth.
15:06:29–15:06:34  I pierce a radish piece with a fork.
15:06:34–15:06:39  I place a paper cup.
15:06:40–15:06:43  I watch a diner.
15:06:44–15:06:47  I view the phone lock screen.
15:06:48–15:06:51  I select the chat with babe.
15:06:52–15:06:58  I read messages in the WeChat chat with babe.
15:06:59–15:07:04  I type a reply to babe.
15:07:04–15:07:09  I type '这个真是臭的' in WeChat.
15:07:09–15:07:13  I send '这个真是臭的' to babe.
15:07:13–15:07:19  I browse the WeChat chat list.
15:07:19–15:07:27  I browse DeepSeek news in WeChat Official Accounts.
15:07:27–15:07:33  I browse SpaceX IPO news in WeChat Official Accounts.
15:07:34–15:07:40  I browse the WeChat article feed.
15:07:40–15:07:46  I read article headlines on WeChat.
15:07:46–15:07:51  I switch to WeChat chat list.
15:07:51–15:07:55  I stow my phone.
15:07:55–15:07:57  I stand up.
15:07:57–15:07:59  I grasp the meal tray.
15:07:59–15:08:04  I carry the meal tray to the return counter.
15:08:04–15:08:08  I return a food tray.
15:08:08–15:08:10  Someone says '为什么今天考这么慢啊？'.
15:08:10–15:08:14  I walk through the exit doorway.
15:08:14–15:08:17  I read the '告示' notice.
15:08:17–15:08:22  I walk towards the courtyard.
15:08:22–15:08:27  I cross the courtyard patio.
15:08:27–15:08:33  I walk towards the anniversary pillar.
15:08:34–15:08:35  I glance at a potted plant.
15:08:35–15:08:46  I walk across the courtyard.
15:08:47–15:08:51  I inspect the Composite Building entrance doors.
15:08:52–15:08:55  I walk down the covered corridor.
15:08:56–15:08:58  I open WeChat.
15:08:59–15:09:02  I scroll through the WeChat chat list.
15:09:03–15:09:04  I open the app switcher.
15:09:04–15:09:09  I read the event reminder email in Outlook.
15:09:09–15:09:11  I tap the PDF attachment 'Guide to Event Venue'.
15:09:11–15:09:16  I scroll through the venue guide PDF.
15:09:16–15:09:22  I say '朱一清办公室，CBA on run for。哎。'
15:09:22–15:09:24  I finish viewing the PDF guide.
15:09:24–15:09:28  I walk along the covered walkway past the notice board.
15:09:28–15:09:33  I look toward the outdoor balcony view and walk forward.
15:09:34–15:09:38  I view the bulletin board.
15:09:38–15:09:44  I walk along the walkway.
15:09:44–15:09:50  I walk past pedestrians.
15:09:50–15:09:53  I enter the building doors.
15:09:53–15:09:57  I walk into the lobby.
15:09:57–15:10:03  I approach Lecture Theatre B doors.
15:10:04–15:10:06  I walk into the hallway.
15:10:07–15:10:11  I look at the research poster.
15:10:12–15:10:14  I walk past a person.
15:10:15–15:10:19  I walk toward the exit doors.
15:10:20–15:10:22  I push open the exit door.
15:10:23–15:10:31  I examine the photo navigation guide.
15:10:32–15:10:33  I look across the lobby.
15:10:34–15:10:36  I walk along the corridor.
15:10:37–15:10:38  I check route photos on my phone.
15:10:39–15:10:43  I walk past DeltaX posters and decorative cubes.
15:10:44–15:10:46  I walk past the research laboratory entrance.
15:10:47–15:10:51  I enter the LG1 elevator lobby.
15:10:52–15:10:56  I read the elevator floor directory.
15:10:57–15:10:58  I recheck navigation photos on my phone.
15:10:59–15:11:03  I push open the fire exit door.
15:11:04–15:11:07  I walk towards the elevator call button.
15:11:08–15:11:13  I read the floor directory board.
15:11:14–15:11:21  I examine the fire action notice and evacuation map.
15:11:22–15:11:25  I monitor the elevator arrival.
15:11:26–15:11:28  I enter the elevator.
15:11:29–15:11:33  I press a floor button.
15:11:34–15:11:37  I press the G floor elevator button.
15:11:37–15:11:43  I wait as the elevator ascends.
15:11:44–15:11:49  I read the Dr. Fatma Özcan lecture poster.
15:11:50–15:11:52  I read the SLEQ questionnaire poster.
15:11:52–15:11:56  I watch the elevator doors arrive at Ground floor.
15:11:57–15:12:00  I watch the elevator doors open to the lobby.
15:12:00–15:12:04  I walk out into the Ground floor lobby.
15:12:04–15:12:06  I say '啊，是这，是这吗？'.
15:12:06–15:12:11  I check the door notices.
15:12:12–15:12:13  I open the door.
15:12:14–15:12:18  I walk down the aisle.
15:12:19–15:12:22  I sit down at the desk.
15:12:23–15:12:28  I look at the projection screens.
15:12:28–15:12:34  The lecturer says '现在的都已经是 A G P A I 做算子，不是简单的玩儿单绿帽做算子。呃，这块儿呢，现在大量的高产量的自动化的实验系统变成了各个领域的标配。呃，那么大的基础设施的建设，现在在美国、在中国、在欧洲，现在大家都在建。那么还有一块儿呢，就是呃，一会儿。'.
15:12:34–15:12:39  I view the presentation slide.
15:12:40–15:12:53  I watch the lecturer.
15:12:54–15:13:04  I listen to the lecture.
15:13:04–15:13:07  I look at the right presentation screen.
15:13:07–15:13:20  I watch the lecturer at the front.
15:13:20–15:13:27  I look toward the right screen and audience.
15:13:27–15:13:34  I look between the screens and lecturer.
15:13:34–15:13:38  I look at the attendees.
15:13:38–15:13:41  The lecturer says '根本上的一个方向，所以这块的内容呢，现在在各个领域也有也有很多的一个体现。那么我们科学院做这块儿的工作，其实有一个简单的一个hardware的一个框架，这是非常显然的。'
15:13:41–15:13:45  I examine the slide diagram.
15:13:45–15:13:50  I observe an attendee taking a photo.
15:13:50–15:13:57  The lecturer says '大家看，在外面用大模型，像DeepSeek啊，像千问啊，像Gemini呀等等，它其实从商业的角度也好，从它整个自己定位的角度也好，它是做一个大模型。'
15:13:57–15:14:04  The lecturer says '这个大模型大家都知道，基本上是一个文科生的大模型。'
15:14:04–15:14:13  I listen as the presenter says '是个通识的大模型，他的能力确实是很强，他把我们以前的常识的理解，人工智能几十年没突破的他就突破了。但是这一套框架本身，大家都知道，理科研还是很难'.
15:14:13–15:14:21  I listen as the presenter says '因为文科的东西它对我们理科的很多的知识，理科的里面科学领域里面深度数据的理解、工具的使用各方面，它还是远远不够的。'.
15:14:22–15:14:26  I glance at the chairs.
15:14:27–15:14:33  I listen as the presenter says '所以从我们科学院这么多的组织方向，呃，这么多研究所，这么大的一个群体的。'.
15:14:34–15:14:41  I watch the lecture presentation.
15:14:41–15:14:46  I read the presentation slide.
15:14:46–15:15:04  I watch the presentation.
15:15:04–15:15:10  I watch the presentation slides.
15:15:10–15:15:14  I look toward the empty desks.
15:15:15–15:15:16  I look at my iPhone.
15:15:17–15:15:19  I view interior photos on my phone.
15:15:20–15:15:22  I view a document page on my phone.
15:15:23–15:15:33  I browse the QQ Mail inbox.
15:15:34–15:15:40  I select an email from Frick Luo.
15:15:41–15:15:49  I read the Entropy manuscript revision email.
15:15:50–15:15:51  I check WeChat notifications.
15:15:52–15:15:58  I read the MDPI editorial signature.
15:15:59–15:16:04  I scroll through university emails.
15:16:04–15:16:11  I listen to the presenter say "这块呢，我们最基础的底座是去年七月份在上海发布的。"
15:16:11–15:16:16  I listen to the presenter say "呃，上个月四月二十八号，我们发布了磐石一百。"
15:16:16–15:16:23  I listen to the presenter say "这个一百呢，不是不是版本号，磐石本身呃以前是一点零，现在是一点五Pro。"
15:16:24–15:16:26  I view the new presentation slide.
15:16:27–15:16:34  I listen to the presenter say "磐石一百主要是想表达呢，在我们整个的模型体系里面，这是多个研究所、十几名研究一起都在做的，不是光是光是我们自动化自动化所是在科学院里面是就是人工智能研究所，我们是总体。"
15:16:34–15:16:41  I look toward the presenter on stage.
15:16:41–15:16:45  I watch an attendee photograph the slide.
15:16:45–15:16:54  I examine the architecture diagram on the projection screen.
15:16:54–15:16:57  I glance at an attendee's phone screen.
15:16:57–15:17:04  I look back at the left projection screen.
15:17:04–15:17:10  The presenter says '的大模型，然后再上面一层就是科研各个细分场景里面已经有大概三十多个研究所，那么加起来有一百二十多个，就是比较扎实的一些点的应用，我们已经形成了这么一套呃一套体系。'
15:17:10–15:17:19  The presenter says '就这块儿呢，就是下面呢，我就是先简单的呢给各位同事、各位同学呢介绍一下，我们现在已经从工程上做得到的是什么东西。'
15:17:20–15:17:26  The presenter says '然后呢，呃，我们两位同事呢在...'
15:17:27–15:17:33  I read the 人工智能+科学的操作系统 slide.
15:17:34–15:17:47  The speaker says '这两个领域，一个呢是材料，材料本身的创制，还有一个呢是呃，类似于像这个流体力学里面的计算，在那块儿呢，我做一些细致的工作，给大家呢再讲讲细节。'
15:17:47–15:18:04  The speaker says '我们整个定位，磐石科学基础大模型，我们把它定位成操作型，就是想表达，它不至一个简单的大模型，因为有时候一说大模型，大家就想象的就是个与CIC类似的，那个对专业人士讲是远远不够的，大家做科研都知道。'
15:18:04–15:18:07  I watch the presentation slides.
15:18:07–15:18:10  The lecturer says, '我天天跟这聊天干啥？光是聊天聊出什么身了？'
15:18:10–15:18:12  I look at a student.
15:18:13–15:18:16  I observe the audience.
15:18:16–15:18:20  The lecturer says, '那最后，那我下一步科研，我还要跑程序，我还要写程序，我还要去跟仪器要连接，出来的科学数据还要进行处理，显然不是一个呃交互、人机交互的一个问答系统能够解决。'
15:18:20–15:18:26  I watch the front presentation.
15:18:26–15:18:34  The lecturer says, '叫操作系统是背后底层的所有数据模型、智能体等等，它都要一起的去调度，要把这些资源呢，静态的、动态的都要管起来。'
15:18:34–15:18:37  I look at the presentation screen.
15:18:37–15:18:40  I look down at my lap.
15:18:40–15:18:44  The presenter says '这是第一层的意思，第二层的意思呢，就是它不是一个闭环的，不是一个封闭的一个应用，操作系统它一定是个开放的、可二次开发的地方啊。'
15:18:44–15:18:46  I glance at the audience.
15:18:46–15:18:57  The presenter says '就是刚才呃李院长问的，就是我们有了这套东西以后，自己就管用，但同时呢，拿着这个作为基座，各个领域还能做自己相关的、更加深入的、跟自己的特殊问题更加匹配的呃各种各样的。'
15:18:57–15:18:59  The presenter says '其实呃这一块呢，张图呢，是我们整个的一个设计。'
15:18:59–15:19:04  I watch the slide transition to 磐石技术特色.
15:19:04–15:19:09  I watch the presentation slides.
15:19:09–15:19:16  I watch the presentation as an attendee photographs the screen.
15:19:16–15:19:22  I read the presentation slide on small models.
15:19:22–15:19:27  I follow the bullet points on the projection slide.
15:19:28–15:19:34  I look at the upper slide content.
15:19:34–15:19:43  I listen to the presenter say '觉得是不是以后就这一个就行了？那现在的答案非常清晰，那肯定不行。大量的专业的问题不能光只靠大型，它没有那个能力。'
15:19:44–15:19:50  I listen to the presenter say '那么通专融合已经变成一个各个领域大家都接受的一个框架。'
15:19:51–15:20:02  I listen to the presenter say '在通专融合大的框架下面，我们科学院做磐石整套的体系，其实是有一个不同的考虑。这个考虑就是稍稍的在各个维度做的时候，在通专融合。'
15:20:03–15:20:04  I look at the title '磐石技术特色' on the left projector screen.
15:20:04–15:20:06  I look at the presentation screen.
15:20:07–15:20:08  I look at audience members.
15:20:09–15:20:25  I look at the presenter.
15:20:26–15:20:34  I look at the right presentation screen.
15:20:34–15:20:36  The lecturer says '端你怎么偏呢？几个维度，第一个维度，我们在科学数据的理解层面，'.
15:20:36–15:20:40  The lecturer says '我们不是简单的，呃，从计算机的角度，咱们有很多计算机的，呃，这个老师和同学们，'.
15:20:40–15:20:44  The lecturer says '就是往往咱们就认为，就多模态，其实多模态它在下面的语义层面是非常肤浅，'.
15:20:44–15:20:52  The lecturer says '你真的就是一个图像，就是一个视频，'.
15:20:52–15:21:00  The lecturer says '是没有真正对里面的呃科学的含义进行解读的，'.
15:21:00–15:21:04  The lecturer says '所以我们不认为简单的一个多模态就能覆盖我们科学里面的数据的处理。'.
15:21:04–15:21:06  I view the dual projection screens.
15:21:06–15:21:14  I watch the presenter.
15:21:14–15:21:16  I glance at the right projection screen.
15:21:16–15:21:18  I look at the seating row.
