22:11:12–22:11:13  I hold a guitar.
22:19:54–22:20:01  I adjust the YouTube video.
22:20:02–22:20:05  I adjust fingers on the fretboard.
22:20:06–22:20:12  I read chord diagrams on the screen.
22:20:12–22:20:14  I watch the Justin Bieber 'Love Yourself' guitar tutorial.
22:20:15–22:20:16  I look at the desk items.
22:20:17–22:20:19  I check the guitar fretboard.
22:20:20–22:20:24  I scan the YouTube sidebar recommendations.
22:20:25–22:20:29  I view the chord diagram on screen.
22:20:30–22:20:35  I reach toward the laptop trackpad.
22:20:36–22:20:41  I monitor the guitar tab on screen.
22:20:42–22:20:45  I watch a YouTube guitar tutorial.
22:20:45–22:20:53  I position my fingers on the guitar fretboard.
22:20:53–22:21:05  I practice chord transitions on the guitar.
22:21:05–22:21:11  I see my roommate offering fried chicken.
22:21:12–22:21:13  I hold a guitar neck.
22:21:13–22:21:18  Roommate says '嗯，可能这炸鸡好好吃。'
22:21:18–22:21:22  I touch the laptop trackpad.
22:21:23–22:21:26  I point at the screen.
22:21:26–22:21:41  I watch the guitar tutorial.
22:21:42–22:21:45  I watch the YouTube guitar tutorial video.
22:21:46–22:21:52  I hold the guitar neck.
22:21:53–22:22:07  I practice chord shapes on the guitar.
22:22:08–22:22:11  I look at the keyboard and browser tabs.
22:22:12–22:22:20  I watch the Justin Bieber 'Love Yourself' guitar tutorial.
22:22:21–22:22:25  I position my fingers on the guitar fretboard.
22:22:26–22:22:35  I check my hand on the guitar neck.
22:22:36–22:22:41  I extend my palm to receive fried chicken.
22:22:42–22:22:46  I say '骨头啊！'.
22:22:46–22:22:51  I laugh '哈哈哈哈哈！'.
22:22:51–22:22:55  I sit at my desk.
22:22:55–22:23:00  I search Google for 'Justin Bieber - Love Yourself lyrics'.
22:23:00–22:23:03  I open KKBOX lyrics.
22:23:03–22:23:07  I sing 'For the times that you made me feel small.'
22:23:07–22:23:11  I read the lyrics on screen.
22:23:12–22:23:16  I hold the guitar neck.
22:23:16–22:23:20  I check my guitar fretting hand.
22:23:20–22:23:25  I look at the laptop screen.
22:23:25–22:23:31  I adjust my grip on the guitar fretboard.
22:23:31–22:23:36  I gaze at the laptop base.
22:23:36–22:23:41  I position fingers on the guitar fretboard.
22:23:42–22:23:45  I look at song lyrics on KKBOX.
22:23:45–22:23:51  I sing 'Cause if you like the way you look that much, oh baby you should.'
22:23:51–22:23:56  I read KKBOX lyrics.
22:23:56–22:24:03  I sing 'Cause if you like, cause if you like the way, cause if you like the way you look that much, you look that much,'
22:24:03–22:24:08  I check finger placement on the fretboard.
22:24:08–22:24:11  I sing 'baby you should go and.'
22:24:12–22:24:16  I hold the guitar.
22:24:17–22:24:28  I look at the laptop screen.
22:24:29–22:24:33  I touch the laptop trackpad.
22:24:34–22:24:39  I receive food from User A.
22:24:40–22:24:41  I hold the piece of food.
22:24:42–22:24:44  I extend my hand.
22:24:45–22:24:46  I hold the guitar.
22:24:47–22:24:47  I look at the food cart.
22:24:48–22:24:50  I finger chords on the guitar fretboard.
22:24:51–22:24:53  I inspect my fretboard finger position.
22:24:54–22:25:00  I read the lyrics on my MacBook.
22:25:01–22:25:04  I adjust my guitar grip.
22:25:05–22:25:09  I check the lyrics.
22:25:10–22:25:11  I look at my guitar fretting hand.
22:25:12–22:25:16  I position hand on guitar fretboard.
22:25:16–22:25:21  I check guitar chord position against screen.
22:25:21–22:25:27  I adjust fingers on guitar fretboard.
22:25:27–22:25:35  I hold guitar chord shape.
22:25:35–22:25:41  I look around desk while holding guitar.
22:25:42–22:25:44  I say 'I don't wanna hold back. Maybe you should know that.'
22:25:44–22:25:46  I fret the guitar strings.
22:25:47–22:25:48  I touch the trackpad.
22:25:48–22:25:52  I say 'My mama don't, my mama don't like you. My mama don't like you. She likes everyone.'
22:25:53–22:25:56  I view the KKBOX lyrics.
22:25:56–22:26:00  I say 'And I never like to admit, admit that I was wrong.'
22:26:00–22:26:05  I fret the guitar.
22:26:05–22:26:08  I glance at the desk.
22:26:08–22:26:11  I say 'I've been so caught up in my job, didn't see what'
22:26:12–22:26:18  I sing 'Was going, didn't see what's going, and now I know I've been so, I've been sleeping on my own.'
22:26:19–22:26:26  I sing ''Cause if you like, 'Cause if you like the way you look that much, you you look that much'.
22:26:27–22:26:34  I sing 'you you look that much, baby you.'
22:26:35–22:26:41  I practice guitar chords.
22:26:42–22:26:45  I look at the KKBOX webpage.
22:26:45–22:26:50  I say 'Baby, you should go and love yourself. Baby, you should go and love yourself.'
22:26:50–22:26:54  I adjust my fingers on the guitar fretboard.
22:26:54–22:27:01  I say 'And if you think that, and if you think that I'm still holding on, do something. You should go and love yourself.'
22:27:01–22:27:06  I tap the laptop trackpad.
22:27:06–22:27:10  I say 'But when you told me that you hated my friends.'
22:27:10–22:27:12  I look at the laptop screen.
22:27:12–22:27:17  I read lyrics on laptop.
22:27:18–22:27:20  I glance down at the desk.
22:27:21–22:27:25  I read the KKBOX lyrics.
22:27:26–22:27:41  I fret chords on the guitar.
22:27:42–22:27:44  I look at the laptop screen.
22:27:45–22:27:46  I touch the laptop trackpad.
22:27:47–22:28:07  I practice guitar chords.
22:28:08–22:28:11  I extend my palm for food from User A.
22:28:12–22:28:16  I hold out my palm for meat.
22:28:16–22:28:22  I hold meat as my friend tears it.
22:28:22–22:28:28  I watch my friend turn away.
22:28:28–22:28:31  I hold my guitar neck.
22:28:31–22:28:36  I reach for food from my friend.
22:28:36–22:28:38  I say '嗯。Yeah.'
22:28:38–22:28:41  I look at the KKBOX webpage on my MacBook.
22:28:42–22:28:45  I grasp my guitar neck.
22:28:46–22:28:49  I say '嗯。我看一下词儿。'
22:28:50–22:28:54  I read the song lyrics.
22:28:55–22:29:05  I say '从头开始吧，唱慢点，我没弹那么快啊。'
22:29:06–22:29:11  I say 'For the'
22:29:12–22:29:17  I practice chord fingerings on the guitar.
22:29:18–22:29:21  I say '不是低八度的，我给你起一个。'
22:29:22–22:29:42  I practice chord positions on the guitar fretboard.
22:29:42–22:29:43  I hold my guitar neck.
22:29:44–22:29:46  I tap the laptop trackpad.
22:29:47–22:30:01  I practice chord fingerings.
22:30:02–22:30:03  I touch the laptop trackpad.
22:30:04–22:30:11  I practice chord positions.
22:30:12–22:30:15  I fret guitar strings.
22:30:16–22:30:23  I adjust chord placement.
22:30:24–22:30:24  I look at my right hand.
22:30:25–22:30:33  I reposition fretting fingers.
22:30:34–22:30:41  I hold guitar chord.
22:30:42–22:30:47  I practice chord fingerings on my acoustic guitar.
22:30:47–22:30:50  I say "为什么是 My mom don't like you".
22:30:50–22:30:53  I view the KKBOX lyrics on my laptop.
22:30:53–22:30:55  I say "不打字吗？".
22:30:55–22:30:57  I say "无所谓吧。".
22:30:57–22:31:01  I say "好神奇啊！不问。".
22:31:01–22:31:12  I play notes on my acoustic guitar.
22:31:12–22:31:23  I practice guitar chords.
22:31:24–22:31:26  I look at the laptop screen.
22:31:27–22:31:38  I adjust guitar finger placements.
22:31:39–22:31:41  I hold a chord on the guitar.
22:31:42–22:31:45  I fret notes on my acoustic guitar.
22:31:45–22:31:46  I look at the laptop screen.
22:31:46–22:32:00  I practice chord shapes on the guitar fretboard.
22:32:00–22:32:01  I glance below the desk.
22:32:01–22:32:11  I practice chord transitions on the guitar.
22:32:12–22:32:18  I adjust fingerings on the guitar.
22:32:18–22:32:21  I say "嗯，好的。"
22:32:21–22:32:25  I say "啊，可以啊，可以啊。"
22:32:25–22:32:28  I view the KKBOX webpage.
22:32:28–22:32:31  I look at the guitar fretboard.
22:32:31–22:32:34  I say "给你高两个调。"
22:32:34–22:32:38  I clamp the capo on the guitar.
22:32:38–22:32:40  I position my hands on the guitar.
22:32:40–22:32:42  I look at the MacBook screen.
22:32:42–22:32:44  I look at the KKBOX page on my laptop.
22:32:45–22:32:54  I fret notes on the guitar fretboard.
22:32:55–22:32:56  I glance toward the desk edge.
22:32:57–22:33:11  I say '太高了！不不不，你这不这这，我没那么高，我只高了一个一个音，其实。'
22:33:12–22:33:20  I fret guitar notes.
22:33:21–22:33:24  I fret guitar chords.
22:33:25–22:33:27  I say '等一下啊。'
22:33:27–22:33:30  I check the laptop screen.
22:33:31–22:33:41  I fret guitar notes.
22:33:42–22:33:46  I view the laptop screen.
22:33:47–22:33:50  I inspect the guitar fretboard while hearing '确定？你在弹这里？'.
22:33:51–22:33:54  I practice guitar chords.
22:33:55–22:34:07  I adjust chord fingering.
22:34:08–22:34:11  I say 'Okay，应该是这个。'.
22:34:12–22:34:18  I view the KKBOX page on my laptop.
22:34:19–22:34:21  I ask '我们要重新唱一遍吗？可以再升一个key吗？'.
22:34:22–22:34:41  I play guitar chords.
22:34:42–22:34:51  I fret the guitar strings.
22:34:51–22:34:54  I say "操！这高了几个了？"
22:34:54–22:34:58  I view the KKBOX browser tab.
22:34:58–22:35:02  I say "我看一下，一二三四，"
22:35:02–22:35:07  I inspect the fretboard interval.
22:35:07–22:35:11  I say "高了两度啊，两度整。"
22:35:12–22:35:22  I fret notes on the acoustic guitar.
22:35:22–22:35:26  I say '不对，不是我，我不对。'
22:35:26–22:35:37  I practice fingerstyle on the guitar.
22:35:37–22:35:39  I say '好难。'
22:35:39–22:35:41  I look at the laptop screen.
22:35:42–22:35:45  A friend asks 'So hard bro，所以升掉了，你的那个和弦也要变是吗？'.
22:35:45–22:35:47  I say '我不用变和弦。'.
22:35:47–22:35:53  I say '哦，但是我找不到是在哪一品，我我其实记不太到，就是只能相对位置，我现在能记一下。'.
22:35:53–22:36:05  I fret the guitar strings while my friend plucks them.
22:36:05–22:36:08  I say '好痛苦啊！那最低。'.
22:36:08–22:36:11  I look across the room.
22:36:12–22:36:14  I grip the guitar neck.
22:36:14–22:36:16  I ask '啥意思？'.
22:36:16–22:36:20  I fret the guitar chord.
22:36:20–22:36:23  I say '那很高哎。'.
22:36:23–22:36:27  I test the chord fret.
22:36:27–22:36:31  I say '可以。'.
22:36:31–22:36:41  I practice chord transitions.
22:36:42–22:36:45  I say '稍等，稍等'.
22:36:45–22:37:00  I adjust finger positions on the fretboard.
22:37:00–22:37:04  I look at the desk.
22:37:05–22:37:07  I pluck guitar strings.
22:37:08–22:37:11  I say 'my my mama don't like you'.
22:37:12–22:37:16  I fret a guitar chord.
22:37:17–22:37:23  I adjust guitar finger positions.
22:37:24–22:37:31  I hold a guitar chord.
22:37:32–22:37:41  I switch guitar chords.
22:37:42–22:37:48  I practice chord positions.
22:37:49–22:37:51  I read the KKBOX lyrics.
22:37:51–22:37:53  I say '然后下一个是。'
22:37:53–22:38:00  I reposition my fingers on the fretboard.
22:38:00–22:38:11  I practice guitar chords.
22:38:12–22:38:15  I hold the guitar neck.
22:38:15–22:38:20  I pluck the guitar strings.
22:38:20–22:38:24  I glance at the desk.
22:38:24–22:38:35  I practice guitar chords.
22:38:35–22:38:40  I form an open guitar chord.
22:38:40–22:38:42  My companion says '等一下。'.
22:38:42–22:38:46  I say 'My mama, my mama应该是哪个？'
22:38:46–22:38:52  I sing 'My mama don't like you, and she likes everyone.'
22:38:52–22:38:57  I sing 'And I never lied to you to mean that I was wrong.'
22:38:57–22:39:05  I sing 'And I've been so good at my job, didn't see what's going on, but now I know.'
22:39:05–22:39:12  I sing 'I'm beginning to feel my old, 'cause it feels like the'
22:39:12–22:39:18  I practice chord fingerings.
22:39:19–22:39:26  I view the laptop screen.
22:39:27–22:39:35  I switch browser tabs.
22:39:36–22:39:38  I say '可以。我喜欢这个节奏。'
22:39:39–22:39:41  I pick up the guitar capo.
22:39:42–22:39:43  I adjust a capo.
22:39:44–22:39:46  I pluck the guitar.
22:39:47–22:39:56  I practice guitar chords.
22:39:57–22:39:59  I observe my roommate.
22:40:00–22:40:05  I say '这个。yellow也好听。'.
22:40:06–22:40:09  I say '我的第一首架子鼓就是打的yellow。'.
22:40:10–22:40:11  I sing 'You know you love me。'.
22:40:12–22:40:13  I look at the person in the bedroom.
22:40:13–22:40:22  I hold the guitar neck.
22:40:22–22:40:34  I adjust finger placement on the guitar.
22:40:34–22:40:35  I look at the YouTube guitar tutorial.
22:40:35–22:40:37  I glance at the person standing by the bed.
22:40:37–22:40:42  I hold finger positions on the guitar.
22:40:42–22:40:49  I adjust guitar chord fingering.
22:40:50–22:40:54  I look up at the room.
22:40:55–22:41:01  I check my chord fingering.
22:41:02–22:41:06  I look toward my phone.
22:41:07–22:41:11  I look at the laptop tutorial.
22:41:12–22:41:18  I hold the acoustic guitar neck.
22:41:19–22:41:20  I look at the roommate.
22:41:21–22:41:26  I adjust my guitar grip.
22:41:27–22:41:34  I look at the YouTube video.
22:41:35–22:41:41  I touch the MacBook trackpad.
22:41:42–22:41:44  I watch YouTube guitar tutorials.
22:41:45–22:41:46  I glance across the room.
22:41:47–22:41:51  I watch a Coldplay 'Yellow' guitar tutorial.
22:41:52–22:41:57  I pick up a guitar capo.
22:41:58–22:42:07  I hold the acoustic guitar and view chords.
22:42:08–22:42:11  I check the guitar capo.
22:42:12–22:42:14  I watch a YouTube guitar tutorial for Coldplay's Yellow.
22:42:15–22:42:16  I inspect my acoustic guitar neck.
22:42:17–22:42:19  I reach toward the laptop keyboard.
22:42:20–22:42:23  I say '我想把我的架子鼓捡起来。'
22:42:24–22:42:30  I read the Asus4 chord and guitar tablature.
22:42:31–22:42:36  I examine the chord diagrams and video recommendations.
22:42:37–22:42:41  I study the guitar tablature.
22:42:42–22:42:47  I watch the Coldplay 'Yellow' guitar tutorial.
22:42:48–22:42:54  I rest my hand on the laptop trackpad.
22:42:55–22:43:00  I say '噔了噔噔。'
22:43:01–22:43:05  I observe the DM7 chord diagram.
22:43:06–22:43:07  I look at my left hand on the guitar.
22:43:08–22:43:11  I watch the laptop tutorial video.
22:43:12–22:43:15  I hold my guitar neck.
22:43:16–22:43:36  I watch the Coldplay guitar tutorial.
22:43:37–22:43:41  I touch the laptop trackpad.
22:43:42–22:43:43  I look at my phone.
22:43:44–22:43:46  I read the guitar tablature.
22:43:47–22:43:49  I pluck the guitar.
22:43:50–22:43:52  I practice chord transitions.
22:43:53–22:43:57  I watch the tutorial video.
22:43:58–22:44:02  I strum the guitar.
22:44:03–22:44:07  I look at the laptop screen.
22:44:08–22:44:11  I monitor the laptop.
22:44:12–22:44:17  I hold my acoustic guitar.
22:44:18–22:44:23  I pick the guitar strings.
22:44:24–22:44:29  I read the guitar tutorial video.
22:44:30–22:44:36  I monitor my strumming hand.
22:44:37–22:44:41  I watch the guitar tutorial video.
22:44:42–22:44:45  I hold the guitar fretboard.
22:44:46–22:44:49  I look toward the bed.
22:44:50–22:45:02  I strum the guitar.
22:45:03–22:45:06  I watch the guitar tutorial video.
22:45:07–22:45:11  I practice chord transitions.
22:45:12–22:45:16  I fret chords on the guitar.
22:45:17–22:45:20  I strum the guitar strings.
22:45:21–22:45:23  I monitor the tutorial video.
22:45:24–22:45:25  I glance across the room.
22:45:26–22:45:29  I watch the tutorial video.
22:45:30–22:45:35  I say '哎呀！'
22:45:36–22:45:41  I adjust the mini desk fan.
22:45:42–22:45:46  I watch the Coldplay 'Yellow' guitar tutorial.
22:45:46–22:45:52  I observe the guitar chord tutorial.
22:45:52–22:45:59  I watch the guitar tutorial video.
22:45:59–22:46:05  I fret a chord on the guitar.
22:46:05–22:46:12  I check the guitar chords on the screen.
22:46:12–22:46:14  I look at YouTube recommendations.
22:46:15–22:46:21  I watch the guitar tablature.
22:46:22–22:46:23  I glance down at my guitar.
22:46:24–22:46:33  I watch the tutorial video.
22:46:34–22:46:34  I glance toward the side table.
22:46:35–22:46:40  I look at the laptop screen.
22:46:41–22:46:42  I touch the laptop trackpad.
22:46:42–22:46:46  I watch a Coldplay - Yellow guitar tutorial.
22:46:47–22:46:51  I watch the video end screen.
22:46:52–22:46:59  I pick up an acoustic guitar.
22:47:00–22:47:00  I look at my roommate who says '好好好，好好好。'
22:47:01–22:47:03  I look at the guitar neck.
22:47:04–22:47:11  I practice chord fingerings on the guitar.
