18:43:19–18:43:21  I say '那有可能是我的吧，MZX，对，那有可能，那有可能是'.
18:53:48–18:53:49  I glance toward an approaching pedestrian.
18:53:49–18:53:51  I walk through a turnstile gate.
18:53:51–18:53:55  I walk onto the sidewalk.
18:53:55–18:53:58  I walk past a pillar sign.
18:53:58–18:54:02  I walk past pedestrians.
18:54:02–18:54:05  I walk along the sidewalk.
18:54:05–18:54:10  I look at a yellow loader.
18:54:10–18:54:19  I walk along the sidewalk.
18:54:19–18:54:22  I observe the street and sidewalk.
18:54:22–18:54:36  I walk along the sidewalk.
18:54:37–18:54:41  I observe the intersection and a nearby pedestrian.
18:54:42–18:54:48  I walk along the sidewalk beside the hedge.
18:54:49–18:54:52  I walk along the sidewalk.
18:54:52–18:54:58  I look at the glass office building.
18:54:58–18:55:06  I watch oncoming pedestrians.
18:55:06–18:55:08  I look at the no motor vehicles sign.
18:55:08–18:55:14  I look towards the office building.
18:55:14–18:55:18  I read the wall advertisement.
18:55:19–18:55:23  I walk along the sidewalk.
18:55:24–18:55:31  I look at a white car driving past.
18:55:32–18:55:39  I look ahead toward an approaching pedestrian.
18:55:40–18:55:45  I walk toward the approaching pedestrian.
18:55:46–18:55:48  I look at the parked truck.
18:55:49–18:55:53  I walk along the sidewalk past a parked truck.
18:55:54–18:55:55  I pass a pedestrian holding a phone.
18:55:56–18:55:59  I walk along the sidewalk past the truck container.
18:56:00–18:56:18  I walk along the sidewalk looking down at the pavement.
18:56:19–18:56:38  I walk along the sidewalk.
18:56:39–18:56:41  I look at the roadside hedge.
18:56:41–18:56:45  I look at the tactile paving.
18:56:46–18:56:48  I say '感觉不是很凉快儿。'
18:56:49–18:56:54  I say '刚才不热，还行，还行，一般吧，我感觉有点小闷，没刚才有风感觉。'
18:56:54–18:56:57  I look at the roadside utility box.
18:56:57–18:56:59  My companion says '跑起来就有风啊！'
18:56:59–18:57:03  I say '我操，虚了，真感觉有点困'.
18:57:03–18:57:07  I look towards parked scooters and bikes ahead.
18:57:07–18:57:14  I say '感觉今天中午睡眠不足，睡了二十分钟，感觉。'
18:57:14–18:57:18  I say 'Need another sleep.'
18:57:19–18:57:23  I walk along the sidewalk.
18:57:23–18:57:29  I look towards the street ahead.
18:57:29–18:57:35  The person walking with me says '一直往那边走，就到英国了。'.
18:57:35–18:57:39  I say '不知道。'.
18:57:39–18:57:44  I look at the person beside me.
18:57:44–18:57:48  I look toward the metal fence on my left.
18:57:49–18:57:51  I walk alongside my companion.
18:57:51–18:57:55  My companion says '那边那个高楼好像是，好像是一个CBD，是一个办公室，有有那个什么京东买菜，还有摩意社区，还有制服。'
18:57:55–18:58:00  I say '哦。都是互联网的，我每次打车回去都会看，都路过。'
18:58:00–18:58:03  My companion says '我操，你家住那么远？'
18:58:03–18:58:06  I say '我家离离这十公里。'
18:58:06–18:58:10  My companion says '十公里啊！我操，那你不快到市区了？'
18:58:10–18:58:14  I say '没有，还还在还在郊区。'
18:58:14–18:58:19  My companion asks '你在浦东？'
18:58:19–18:58:22  I listen to companion say '我们九点半出发，都大家都十点半了。我早上刚来这边，五分钟后我们就到。'.
18:58:22–18:58:26  I hear companion ask '哈哈哈哈哈！你还跟我说来这么早？'.
18:58:26–18:58:30  I say '哈哈哈哈哈！我不知道你是说正话还是反话。'.
18:58:30–18:58:34  I hear companion say '啊，正话。哈哈哈哈哈！'.
18:58:34–18:58:39  I look at the intersection guardrail.
18:58:39–18:58:44  I say '我我发现，浦东，浦东这边地上很容易有狗屎。'.
18:58:44–18:58:48  I inspect the pavement.
18:58:49–18:58:54  I say '因为狗比较多，有可能是野狗。'
18:58:55–18:58:59  I walk past a parked SUV.
18:59:00–18:59:09  I say '我晚上在这走回去有好多野狗，三四只吧，妈妈、爸爸带着小狗，也不知道是不是。'
18:59:10–18:59:14  I look at a utility vehicle.
18:59:15–18:59:18  I observe the yellow truck.
18:59:19–18:59:22  I listen to my companion talk about the destination metro station.
18:59:22–18:59:27  I confirm '张江路。好。'
18:59:28–18:59:33  I listen to my companion say '我一开始以为我们我们这个地方就在张江路那个站。'
18:59:34–18:59:37  I say '我也以为。'
18:59:38–18:59:43  I watch a motorcycle pass as companion says '十公里，我去。'
18:59:44–18:59:48  I say '那你是坐地铁还是？'
18:59:49–18:59:51  I hear '坐公交啊？公交啊，这地铁都不通的，地铁都通不到这边来。'
18:59:52–18:59:55  I hear '那多少有点远了。'
18:59:56–18:59:59  I hear '那林老师离这边三十公里。'
19:00:00–19:00:02  I exclaim '我操，三十公里！'
19:00:03–19:00:06  I say '哦。'
19:00:07–19:00:10  I hear '比黄浦区还要过去。'
19:00:11–19:00:15  I hear '在黄浦区的，黄浦区。'
19:00:16–19:00:18  I walk forward.
19:00:19–19:00:23  I say '徐汇算很市中心了吧？'.
19:00:24–19:00:29  I say '他的老婆是做什么的？教书吗？可能我猜的。'.
19:00:30–19:00:33  I say '哦，他刚才说他老婆的公司，他之前说，对，他说他老婆的公司有一个什么人管数据，然后怎么怎么着？'.
19:00:34–19:00:40  I say '什么时候说？'.
19:00:41–19:00:48  I say '那个对，就是那个啥时候说？我忘了。'.
19:00:49–19:00:52  I say "是狗。你老爸是谁？".
19:00:52–19:00:56  I look ahead at the park path.
19:00:56–19:01:01  I say "这GDP晚上还还是可以的。从高架桥路过就是亮亮，可以，感觉很辉煌，不像市郊区。".
19:01:01–19:01:05  I look toward an approaching pedestrian.
19:01:05–19:01:08  I watch an oncoming pedestrian pass.
19:01:08–19:01:14  I say "十公里，我勒个豆啊！公交得坐多少站啊？我感觉得坐个二三十站。".
19:01:14–19:01:18  I glance at my companion checking his phone.
19:01:19–19:01:22  I say '十几站，那还行啊。'
19:01:22–19:01:26  I say '原来你九点就起床了。'
19:01:26–19:01:30  The companion says '对啊。'
19:01:30–19:01:33  The companion says '九点起床。九点半出门。'
19:01:33–19:01:39  The companion says '因为有的时候九点出门，公交延迟一下，等一下来这边还是个事情。'
19:01:39–19:01:44  The companion says '刚刚大概又上尾了。'
19:01:44–19:01:49  The companion says '光打车和路标二十多块钱。'
19:01:49–19:01:53  I say '那感觉性价比挺高的，我操！我从这儿打回去还要，因为有起步价。'
19:01:53–19:01:55  My companion says '对。'
19:01:55–19:01:57  I say '起步价确实比较贵。'
19:01:57–19:01:59  My companion says '对。'
19:01:59–19:02:08  I say '我操！那老师每天回去都得十二点，早上到这儿估计都得十十点多吧，至少吧。'
19:02:08–19:02:13  My companion says '他得。'
19:02:13–19:02:19  I walk along the pathway.
19:02:19–19:02:27  I say '三四十分钟。通勤。他为啥不在这边申请个宿舍呢？'
19:02:28–19:02:32  I say '我感觉这边申请，不，他可以周，比如说周中在这儿住，然后周末回去，三三三三天四天呢，感觉没啥问题。'
19:02:33–19:02:41  I say '六。啊六。'
19:02:42–19:02:48  I walk forward along the path.
19:02:49–19:02:54  I say '肯定不会出现这种情况，但是但是但是肯定是感情比较好，肯定希望天天住在一起。'
19:02:54–19:02:58  I say '好吧。然后他老婆可能不同意。'
19:02:58–19:03:08  I say '那那那他家直接在这边在这边再租个房子，然后住这边，然后他老婆去那个徐汇去工作，他老婆就同意。'
19:03:08–19:03:14  I say '我在徐徐汇工作，然后或者。'
19:03:14–19:03:19  I say '对。'
19:03:19–19:03:22  I walk along an asphalt walkway.
19:03:23–19:03:31  I look at my companion.
19:03:32–19:03:34  I look at a park bench.
19:03:35–19:03:39  I walk along the pathway.
19:03:40–19:03:44  I look toward the river bank.
19:03:45–19:03:48  I say '我不知道。'
19:03:49–19:03:54  I say "我感觉我该接着发那个邮件了，PhD 邮件。"
19:03:54–19:04:01  I say "上周五发了两封，啊不，上周六发了两封，毫无音讯。"
19:04:01–19:04:04  I say "该接着扩大。"
19:04:04–19:04:08  My companion says "你才一周没有发？"
19:04:08–19:04:13  My companion asks "你已经累计发了多少封了？"
19:04:13–19:04:19  I walk along the park path.
19:04:19–19:04:23  I walk along the park pathway.
19:04:23–19:04:26  I look at my companion.
19:04:26–19:04:29  I ask '你现在敲定了吗？'.
19:04:29–19:04:32  My companion says '没没说。'.
19:04:32–19:04:36  I say '我觉得你应该跟他聊一聊。'.
19:04:36–19:04:41  My companion says '是，不知道啊。'.
19:04:41–19:04:49  I say '哎，梁老师。'.
19:04:49–19:04:54  I say '啊，不知道，他估计一会儿就走下去，看不到。'
19:04:54–19:04:57  I look along the bridge railing.
19:04:57–19:05:05  I say '他沉浸在音乐里，感觉散步可以让人思维放松，想出更好的idea。'
19:05:05–19:05:11  I look at the bridge railing.
19:05:11–19:05:14  I walk off the bridge.
19:05:14–19:05:19  I walk down the park path.
19:05:19–19:05:20  I walk along the path.
19:05:21–19:05:29  I observe the canal and distant buildings.
19:05:30–19:05:33  I look up at the trees.
19:05:34–19:05:39  I observe the building on the left.
19:05:40–19:05:44  I walk down the path.
19:05:45–19:05:48  I watch a passerby walking a dog.
19:05:47–19:05:48  I exclaim '啊！'.
19:05:49–19:05:51  I walk along the path as someone asks '是吗？他可以招几个博士？'.
19:05:51–19:05:53  My companion replies '三个。'.
19:05:53–19:05:56  I say '啊，这么多呀？那刚好你们仨呀！'.
19:05:56–19:05:58  Someone exclaims '我操！'.
19:05:58–19:06:04  My companion says '但但是他现在招第三个的话，需要交十五万。'.
19:06:04–19:06:08  I say '哦，逆天！他现在没钱吗？'.
19:06:08–19:06:12  My companion says '可以。'.
19:06:12–19:06:19  I walk along the riverside path.
19:06:19–19:06:23  My companion says "接着做情感，哎，他们也不是很做情感。"
19:06:23–19:06:26  I say "我，我找的搞情感的搞强化学习的。"
19:06:26–19:06:28  My companion says "牛的。"
19:06:28–19:06:30  I say "对。"
19:06:30–19:06:36  I say "我觉得可以，可以去，可以去那个什么情感计算什么委员会里面。"
19:06:36–19:06:41  I ask "我是不是很喜欢很老的导师？"
19:06:41–19:06:48  I walk across the footbridge.
19:06:49–19:06:56  I say "我不喜欢，我喜欢比较小一些、比较新的老师。" to my companion.
19:06:56–19:07:08  I say "对，至少三十多岁吧那种，我不要那种四五十岁的，已经做了十年的。" to my companion.
19:07:08–19:07:15  I walk along the footbridge.
19:07:15–19:07:19  I say "你去吗？" to my companion.
19:07:19–19:07:22  I say '哦，这么浪漫吗？'.
19:07:23–19:07:25  I hear 'Hard, hard, hard.'.
19:07:26–19:07:46  I walk along the stepping stone path.
19:07:47–19:07:48  I step onto the sidewalk.
19:07:49–19:07:54  I say "没去，本科毕业那年去心理所实习来着，心理所，对，在鸟巢旁边，就中科院心理所嘛。"
19:07:54–19:08:04  I say "那时候做眼动和那个好奇心的关系的，"
19:08:04–19:08:14  I say "就是你读一个内容，然后通过你的眼神瞳孔来判断你的好奇心程度。"
19:08:14–19:08:19  I say "我觉得这个东西什么？"
19:08:19–19:08:23  I say '不稳定，它噪声太大了。'
19:08:24–19:08:26  I say '对。'
19:08:27–19:08:33  I say '没有言语能够说明的，别人问起。'
19:08:34–19:08:38  I say '持续了多久？'
19:08:39–19:08:44  I say '也是，也是三个月吧。'
19:08:45–19:08:48  I say '不。'
19:08:49–19:08:56  I walk along the paved walkway.
19:08:56–19:09:03  I walk towards the junction.
19:09:03–19:09:08  I approach the road curb.
19:09:08–19:09:14  I approach the vehicle access gate.
19:09:14–19:09:19  I walk towards the vehicle gate.
19:09:19–19:09:23  I say '对啊，有一阵风那比较爽。'
19:09:24–19:09:32  I say '我觉得招User X做博士应该很好，'
19:09:33–19:09:40  I say 'User X感觉完成事情的效率非常之高，'
19:09:41–19:09:48  I say '感觉能力比我强。'
19:09:49–19:09:53  My companion says '把刚才的问题当时汇报一下，你的进展。'
19:09:53–19:09:55  I say '进展都行。'
19:09:55–19:09:58  My companion asks '清洗了多少？清洗。你是在在清洗？'
19:09:58–19:10:04  I say '嗯，DeepSeek那个和Lucia那个都已经清洗完了。'
19:10:04–19:10:12  I say '六分到七分。'
19:10:12–19:10:18  My companion says '可以了。'
19:10:19–19:10:24  I walk as companion says '差异大话吗？这种噪声会比较大。有可能。差异会比较大。嗯。'
19:10:24–19:10:31  I walk as companion asks '那最后的话，你要怎么报告呢？全部所有人分开报告，还是一起报告？'
19:10:31–19:10:35  I say '用卢赛为主吧。'
19:10:35–19:10:44  I walk as companion says '啊。用卢赛为主，默认都是用卢赛数据训练的。啊，不是训练的，评测的。'
19:10:44–19:10:48  I walk as companion asks '那其他的人要干啥？'
19:10:49–19:10:52  I say '其他的人目前没啥用。数据量够大。' to my companion.
19:10:52–19:10:55  My companion asks '数据量。一个人的吗？'.
19:10:55–19:11:01  I say '对。比较大。反正评测都要评好久好久。' to my companion.
19:11:01–19:11:08  I say '而且我感觉最后不用这个人所有的都评，可能一天抽个几千条，一两千条评一下。' to my companion.
19:11:08–19:11:12  I glance at the road and bushes.
19:11:12–19:11:19  I walk along the sidewalk.
19:11:19–19:11:21  I say '感觉差不多。'.
19:11:21–19:11:25  I ask '你当初投联系方式怎么跟他说的？'.
19:11:25–19:11:32  I ask '是说实习生啊，还是说什么呀？'.
19:11:32–19:11:41  I walk toward the facility entrance driveway.
19:11:41–19:11:48  I say '哦，我也是，好像在小红书上。'.
19:11:49–19:11:50  I look toward the street.
19:11:50–19:11:52  I say "亮，帮开个门。" to User X.
19:11:52–19:11:54  User X asks "什么？".
19:11:54–19:11:57  I walk through the turnstile gate.
19:11:57–19:12:02  I follow User X.
19:12:02–19:12:09  I look toward the campus buildings.
19:12:09–19:12:13  I say "嗯，对，校园还挺好的。" to User X.
19:12:13–19:12:19  I walk along the bamboo-lined walkway.
19:12:19–19:12:26  I ask '这个歌名啊，是陶喆的前妻还是他的前女友？叫 Melody 吗？' to my companion.
19:12:26–19:12:40  I walk along the path.
19:12:40–19:12:44  I say '啊，名字叫 Melody 吗？' to my companion.
19:12:44–19:12:46  I say '逆天！'.
19:12:46–19:12:49  I walk along the path.
19:12:49–19:12:52  I say '那不是叫麦迪，麦乐迪。'
19:12:52–19:12:58  I say '他说：“之前还有这事，就是出轨，然后开个发布会，做个PPT道歉。而我做错了，发。”'
19:12:58–19:13:00  I look at the office building.
19:13:00–19:13:05  I say '哈哈哈哈哈，对不起。'
19:13:05–19:13:19  I walk along the path.
19:13:19–19:13:24  I walk along the pathway.
19:13:24–19:13:30  My companion says '骗你，他说现在现在老婆要骗你，对不起，我做错了饭。'
19:13:30–19:13:33  I look toward the building facade and light box.
19:13:33–19:13:42  My companion says '他的发型就是一个一个斜刘海，一边长一边短，那时候的发型。'
19:13:42–19:13:49  I walk forward along the path.
19:13:49–19:13:51  My companion says '就这个。' to me.
19:13:51–19:13:55  I look at the Douyin search results.
19:13:55–19:13:58  I watch the Douyin video.
19:13:58–19:14:02  I watch the video at 2x speed.
19:14:02–19:14:06  I watch the video playback.
19:14:06–19:14:19  I monitor the apology video playing.
19:14:19–19:14:21  I watch a Douyin video titled '陶喆做了错饭原出处'.
19:14:21–19:14:28  I watch a Douyin video of David Tao's press conference.
19:14:28–19:14:31  I browse search results on Douyin.
19:14:31–19:14:36  I walk along the roadway.
19:14:36–19:14:41  I say '我感觉啥时候应该问问连老师，他有没有推荐的博士导师？' to my companion.
19:14:41–19:14:44  My companion says '我觉得真可以问。'
19:14:44–19:14:49  I say '我也觉得，问问他，他肯定有一些同事啥的。' to my companion.
19:14:49–19:14:53  I walk toward the building entrance.
19:14:54–19:14:58  I say '或者说，至少了解这个领域，下次问问。'
19:14:59–19:15:06  I walk across the entrance forecourt.
19:15:07–19:15:10  I approach the automatic sliding doors.
19:15:11–19:15:15  I enter the building lobby.
19:15:16–19:15:18  I walk toward the reception counter.
19:15:19–19:15:21  I say '你好，帮开个门儿，谢谢。' to the receptionist.
19:15:21–19:15:24  I walk through the turnstiles.
19:15:25–19:15:27  I walk down the elevator corridor.
19:15:28–19:15:29  I press the elevator call button.
19:15:30–19:15:33  I enter the elevator.
19:15:33–19:15:35  The passenger says '是我们家的猫，叫招财，招财，可以。哦。'.
19:15:36–19:15:37  I press the 12th floor button.
19:15:38–19:15:44  I monitor the passenger browsing his phone.
19:15:45–19:15:47  I adjust my smart glasses.
19:15:47–19:15:49  I check the elevator floor display.
19:15:49–19:15:51  I say '操，好想睡觉啊！想回去睡觉了。'
19:15:51–19:16:00  I say '我感觉咱们现在养成的习惯就是吃饭永吃饭永远坐那个那个角角的那一桌，沙发那一桌。'
19:16:00–19:16:05  The companion says '这可能是看我们视频然后能总结到的习惯为数不多的之一了。'
19:16:05–19:16:09  I say '真的吗？哈哈哈哈哈！'
19:16:09–19:16:13  The companion says '还是我觉得。'
19:16:13–19:16:19  I say '没有，这是我自己瞎猜的。'
19:16:19–19:16:23  I walk into the office workspace.
19:16:24–19:16:34  I walk toward my desk.
19:16:35–19:16:37  I handle my badge lanyard at my desk.
19:16:38–19:16:40  I look at the POV Rollout Viewer on my laptop.
19:16:41–19:16:44  I read WeChat chat messages about model testing.
19:16:45–19:16:48  I say '哦。'
19:16:49–19:16:55  I send '也挺像'.
19:16:56–19:17:03  I send '板栗'.
19:17:04–19:17:06  I make a framing gesture.
19:17:07–19:17:09  I select WeChat Official Accounts.
19:17:10–19:17:14  I browse Official Accounts headlines.
19:17:15–19:17:18  I scroll Official Accounts feed.
19:17:19–19:17:21  I browse WeChat official account articles.
19:17:22–19:17:26  I read advice in POV Rollout Viewer.
19:17:27–19:17:34  I view the decision tree branches.
19:17:35–19:17:41  I inspect sub-branches of the gym decision.
19:17:42–19:17:44  I look at a colleague walking past.
19:17:45–19:17:48  I say '嗯' while checking the rollout path.
19:17:49–19:17:51  I say '看看这个，操！'.
19:17:51–19:17:55  I say '今天呢，先去健身房，然后有点累。今天今晚不干活了，算了吧。'.
19:17:55–19:17:58  I unplug the USB-C cable.
19:17:59–19:18:05  I swivel my chair holding the laptop.
19:18:06–19:18:13  I show the laptop screen to my colleague.
19:18:14–19:18:18  I say '然后他预测我，然后刷B站停不下来。'.
19:18:19–19:18:22  I reply '对啊，他预测的。' to colleague.
19:18:22–19:18:26  I say '还有这个晚上继续干 P U V 数据清洗，数据洗到烦，但精度不能平。'
19:18:26–19:18:29  I say '啊，烦躁升级。觉得还可以啊。'
19:18:30–19:18:37  I say '放弃挣扎，点外卖吃宵夜。'
19:18:37–19:18:41  I say '不会，因为我不饿。但有可能，我现在还不是很烦。' to colleague.
19:18:41–19:18:45  I reply '对对对，是这样的。' to colleague.
19:18:46–19:18:49  I say '早。' to colleague.
19:18:49–19:18:51  I discuss the POV Rollout Viewer with my colleague.
19:18:52–19:18:57  I listen to my colleague explain the green and red emotional tags.
19:18:58–19:19:03  I say '哦。哦。'
19:19:04–19:19:09  I read '顺手把模型选型对比也做了' while scrolling.
19:19:10–19:19:14  I examine the model card as my colleague remarks '加手模已经开始。'
19:19:15–19:19:18  I read the bottom timeline card.
19:19:19–19:19:22  I say '还可以。林诗琪去跑步。湾仔是谁？'.
19:19:22–19:19:26  A colleague says '湾仔是那个香港的，他有点幻觉。'.
19:19:26–19:19:28  I say '哦。有个地方叫湾仔。'.
19:19:28–19:19:30  I say '有个地方叫湾仔。'.
19:19:30–19:19:33  A colleague says '对。多可爱的名字。哈哈。'.
19:19:33–19:19:38  I look at the desk edge.
19:19:39–19:19:45  I say '跑完步吹会儿风，也符合我的风格。'.
19:19:45–19:19:48  I say '坐地铁回去。'.
19:19:49–19:19:53  I view the POV Rollout Viewer.
19:19:54–19:19:59  My colleague says '这是他预测走这个路的偷偷的情绪。就就把那个他写了。网站。啊。HTML。'
19:20:00–19:20:05  I say '啊，对，我写了一个模板，然后他每次把JSON渲染成这个。'
19:20:06–19:20:10  My colleague says '哦。可以的。虽然没啥用吧，现在。'
19:20:11–19:20:18  My colleague says '还是还是准确的。啊，这个，帮你解决你的这个消息体验预测。'
19:20:19–19:20:25  I say '我会情绪到烦躁，然后卡在噪声处理上。'
19:20:25–19:20:30  I say '推荐我出门散步，让大脑换个频道。'
19:20:30–19:20:35  I say '可能因为检索的过去的内容，他都以为是。'
19:20:35–19:20:40  I look toward my colleague.
19:20:40–19:20:45  I say '对。'
19:20:45–19:20:48  I say '感觉还可以。'
19:20:49–19:20:54  I say 'tongji report如果真不重要，什么玩意儿？不好意思。'
19:20:55–19:20:56  I look aside at the floor and colleague.
