18:11:34–18:11:38  I say '我没有追求美感，我只觉得他们。'
18:14:00–18:14:03  I say '南区车。'.
18:14:04–18:14:06  I say 'I don't think it's this one.'
18:14:06–18:14:10  I say 'Somewhere the wrong way, bro. Ah, 好冷啊。No, it's not.'
18:14:10–18:14:15  I walk towards a pillar banner.
18:14:15–18:14:19  I say '我的建议是把你，你那阵你吃过麻辣烫吗？'
18:14:19–18:14:23  I examine the student art display.
18:14:23–18:14:27  I hear companion say '吃过。什么时候？'
18:14:27–18:14:33  I walk down the mall corridor.
18:14:34–18:14:37  I say '好好好！啊！'.
18:14:37–18:14:42  I say '怎么这么垃圾呢？我操！'.
18:14:42–18:14:48  I observe the 如月楼 storefront.
18:14:48–18:14:54  I say '要卖甜甜品的？'.
18:14:54–18:15:04  I say 'no no no no no，不要这个。'.
18:15:04–18:15:07  I examine the egg waffle kiosk and food promotional posters.
18:15:08–18:15:10  I walk into the corridor and hold my phone.
18:15:11–18:15:14  I navigate my phone home screen to open Amap.
18:15:15–18:15:18  I wait for Amap to launch.
18:15:19–18:15:26  I type '面包店' into the Amap search box.
18:15:27–18:15:30  I view bakery search results on Amap.
18:15:31–18:15:34  I look up at the shopping mall atrium.
18:15:34–18:15:42  I browse bakery search results on Gaode Map.
18:15:42–18:15:50  I zoom in on the map around 巴黎贝甜.
18:15:50–18:15:54  I type '甜品店' into Gaode Map.
18:15:54–18:15:58  I view dessert shop search results on Gaode Map.
18:15:58–18:16:04  I zoom in on dessert shop locations on Gaode Map.
18:16:04–18:16:06  I clear the search bar on Amap.
18:16:07–18:16:12  I type '糕点' into the search bar.
18:16:13–18:16:15  I search for pastry shops on Amap.
18:16:15–18:16:18  I browse nearby pastry shop search results on Amap.
18:16:18–18:16:20  I say '那读酥世家不错。'
18:16:20–18:16:22  I check the indoor map view on Amap.
18:16:22–18:16:24  I say '啊，这里吗？'
18:16:25–18:16:27  I look up at the mall hallway.
18:16:28–18:16:32  I check the indoor map on my phone while walking.
18:16:33–18:16:34  I say '过了这个以后，左拐。'
18:16:34–18:16:37  I say "超市，哪里？" while walking into the hallway.
18:16:37–18:16:41  I say "哦。" while walking along the rainbow corridor.
18:16:42–18:16:44  I check the map app on my smartphone.
18:16:45–18:16:50  I walk along the rainbow track past storefronts.
18:16:51–18:16:52  I glance at the map app on my smartphone.
18:16:52–18:16:55  I say "啊。哒哩哒哩哒哩哒哩哒。" while walking.
18:16:56–18:17:04  I walk around the corridor curve observing advertising lightboxes.
18:17:04–18:17:08  I walk along the mall corridor.
18:17:08–18:17:11  I walk past the wall graphics.
18:17:11–18:17:16  I observe gym members through the window.
18:17:16–18:17:19  I pass the gym registration posters.
18:17:19–18:17:22  I pass the LeFit gym entrance.
18:17:22–18:17:26  I enter the mall atrium.
18:17:26–18:17:30  I walk toward the book fair tables.
18:17:30–18:17:34  I browse the book fair display table.
18:17:34–18:17:38  I browse the secondhand books.
18:17:39–18:17:43  I look along the book fair aisle.
18:17:44–18:17:47  I walk down the mall concourse.
18:17:48–18:17:51  I notice the trade-in subsidy notice.
18:17:52–18:17:54  I check the Huawei promotional poster.
18:17:55–18:17:58  I walk toward the peanut kiosk.
18:17:59–18:18:00  I say '感觉自己真的没用，情绪激动，一个人到现在还还在等，突然出现的，在看我。'.
18:18:01–18:18:03  I walk toward the arcade area.
18:18:04–18:18:08  I observe the 欢囍花生 snack display.
18:18:09–18:18:10  A woman says '可以抓一把。'.
18:18:11–18:18:15  I walk past the 四海游龙 restaurant.
18:18:16–18:18:20  I walk past the 擂饭 restaurant.
18:18:21–18:18:23  I observe people playing on the Super Wings arcade machine.
18:18:24–18:18:26  I walk past the JUST.FOTO photo booth.
18:18:27–18:18:29  I look at the Eggman Party promotional stand.
18:18:30–18:18:33  I approach the food court concourse.
18:18:34–18:18:36  I walk through the corridor.
18:18:36–18:18:41  I walk past the Qi Wang Peanuts kiosk.
18:18:41–18:18:45  I observe the snack counter display.
18:18:46–18:18:50  I walk toward the DUSU Bakery.
18:18:51–18:18:54  I walk along the bakery showcase.
18:18:54–18:18:57  The staff member says '老师，看一下需要什么？我们满三件会员可以享八八折的啊。'
18:18:58–18:19:00  I pick up a bakery tray.
18:19:01–18:19:03  I browse the pastries.
18:19:04–18:19:07  I ask '这只能四片起买吗？还是可以称的？'
18:19:07–18:19:10  I say '好的，蝴蝶酥来一份。'
18:19:10–18:19:14  The clerk replies '好的。'
18:19:14–18:19:18  I gaze at the refrigerated display case.
18:19:18–18:19:24  The clerk says '魏老师看一下需要什么，可以拿个小勺子。千张满三件会员可以享八八折啊！看一下有没有合适的啊。'
18:19:24–18:19:28  I place the bagged pastry onto my tray.
18:19:29–18:19:34  I say '前面的是前面这份，前面这个。'
18:19:34–18:19:36  The child asks '那是啥？'.
18:19:36–18:19:38  I ask '哪个？'.
18:19:38–18:19:47  I look over the chilled desserts.
18:19:48–18:19:54  I ask '泡芙可以称吗？还是必须六个起买？'.
18:19:55–18:19:59  I glance across the refrigerated section.
18:20:00–18:20:03  I say '我拿个泡芙。'.
18:20:04–18:20:06  I look at bakery counter.
18:20:07–18:20:08  I say '还有这个蝴蝶酥。'
18:20:09–18:20:11  I long press Alipay app.
18:20:12–18:20:18  I watch clerk bag pastries.
18:20:19–18:20:20  I watch clerk hold pastry bag.
18:20:21–18:20:23  I open Alipay payment code.
18:20:24–18:20:26  I view membership QR code.
18:20:27–18:20:30  Phone prompts '请解锁手机。'
18:20:31–18:20:33  I hold phone over tap reader.
18:20:34–18:20:38  I pay ¥21.80 via NFC touch-to-pay.
18:20:39–18:20:44  The cashier says '咱们买三件可以享八八折的，给你看一下。'
18:20:45–18:20:49  The cashier says '杨老师，泡芙的话是冷藏一天哦，这边需要给你放个冰袋吗？'
18:20:50–18:20:53  I wait at the bakery counter.
18:20:54–18:20:56  I take the shopping bag and say '嗯，好，谢谢。'
18:20:57–18:21:00  I walk toward the Qiwang Peanuts kiosk.
18:21:01–18:21:03  I inspect the roasted nuts and say '就这么点了。肯定要我先烤先吧了，看看要吃什么，看一下啊。'
18:21:04–18:21:10  The store clerk says '来，喜欢吃哪个都可以尝尝看。花生球、玉米粒啊，什么的都可以尝尝看。'
18:21:10–18:21:13  I examine the roasted corn and peanut snacks.
18:21:13–18:21:17  I view the POS membership screen and snack trays.
18:21:17–18:21:21  I walk down the mall corridor.
18:21:22–18:21:24  I pick up a cream puff.
18:21:24–18:21:28  I walk while holding the cream puff.
18:21:28–18:21:33  I observe the 九木杂物社 storefront.
18:21:34–18:21:36  I look toward the 九木杂物社 entrance.
18:21:36–18:21:40  I read the promotional easel board.
18:21:41–18:21:48  I examine a cream puff.
18:21:49–18:21:54  I pick up a cream puff.
18:21:55–18:21:58  I watch a little girl who says '妈妈，妈妈，快点！'.
18:21:59–18:22:01  I look at the 爱回收 kiosk.
18:22:02–18:22:03  I look at the 好特卖 HotMaxx store.
18:22:04–18:22:05  I examine a cream puff.
18:22:05–18:22:10  I look at a Lay's promotional cutout.
18:22:11–18:22:13  I observe the Zhuan Zhuan booth.
18:22:14–18:22:16  I look into the HotMax entrance.
18:22:17–18:22:20  I look toward the Chengdu Ni Liujie storefront.
18:22:21–18:22:24  I view the Chengdu Ni Liujie poster.
18:22:24–18:22:26  I say '弄那个，一笔进去。'
18:22:26–18:22:28  I adjust a cream puff.
18:22:28–18:22:30  I observe the self-service tray station.
18:22:31–18:22:33  I read the Chengdu Ni Liujie promotional standees.
18:22:34–18:22:38  I walk past 小杨生煎.
18:22:38–18:22:43  I walk past 张拉拉牛肉面.
18:22:43–18:22:47  I observe a 蜀山小碗菜 poster.
18:22:47–18:22:51  I walk past 谷田稻香.
18:22:51–18:22:56  I walk past a cleaning cart.
18:22:56–18:23:00  I pick up a cream puff from the container.
18:23:01–18:23:04  I walk past construction hoarding.
18:23:04–18:23:07  I inspect a bitten cream puff.
18:23:08–18:23:10  I walk along the mall corridor.
18:23:11–18:23:14  I look at the 和府捞面 standee and counter.
18:23:15–18:23:17  I glance at the Sunshine massage chairs.
18:23:18–18:23:22  I approach the 菓黔儿 restaurant entrance.
18:23:23–18:23:27  I browse the 菓黔儿 electronic menu display.
18:23:28–18:23:31  I say '嗯嗯嗯嗯嗯，啊，好吧。'
18:23:32–18:23:34  I touch the cream puff in the plastic box.
18:23:34–18:23:36  I walk along the mall corridor.
18:23:37–18:23:42  I glance at the restaurant menu board.
18:23:43–18:23:51  I observe the Lao Xiang Ji storefront.
18:23:52–18:23:58  I approach the Sukiya restaurant.
18:23:59–18:24:03  I inspect the Sukiya menu board.
18:24:04–18:24:09  I examine the Sukiya menu boards.
18:24:09–18:24:12  I walk toward Yonghui Supermarket.
18:24:12–18:24:17  I walk through the supermarket entry gate.
18:24:17–18:24:21  I walk down the supermarket main aisle.
18:24:21–18:24:27  I browse bathroom and household goods shelves.
18:24:27–18:24:33  I inspect toys and stationery on the shelves.
18:24:34–18:24:36  I look at the toy display.
18:24:36–18:24:41  I walk down the aisle.
18:24:41–18:24:50  I browse the toy shelves.
18:24:50–18:24:54  I examine folded bath towels.
18:24:54–18:25:03  I inspect disposable underwear and socks.
18:25:04–18:25:06  I retrieve a pastry bag from my shopping bag.
18:25:07–18:25:12  I open the Dusu Shijia paper bag.
18:25:13–18:25:16  I take a pastry out of the bag.
18:25:17–18:25:20  I look at the pet food shelf.
18:25:21–18:25:29  I browse pet food products on the shelf.
18:25:30–18:25:33  I look down the supermarket aisle.
18:25:34–18:25:37  I walk past a promotional snack stand into the household section.
18:25:37–18:25:40  I approach a hanging tissue paper endcap.
18:25:40–18:25:43  I examine the ¥19.90 hanging tissue paper promotion.
18:25:43–18:25:46  I glance at the fried snack in my hand.
18:25:46–18:25:50  I walk to the laundry detergent display.
18:25:50–18:25:53  I examine the ¥19.80 white laundry detergent jugs.
18:25:53–18:25:57  I inspect the enzyme and OMO laundry detergents.
18:25:57–18:26:01  I walk down the household cleaning aisle.
18:26:01–18:26:04  I browse the dish soap and shoe care products.
18:26:04–18:26:06  I look at cleaning products on the shelf.
18:26:07–18:26:11  I read the ¥24.90 price tag for Dettol cleaner.
18:26:12–18:26:15  I examine the Dettol cleaner bottle.
18:26:16–18:26:21  I inspect Chaowei and Walch cleaner bottles.
18:26:22–18:26:24  I turn around a bottle of Dettol cleaner.
18:26:25–18:26:33  I read the Dettol cleaner usage instructions.
18:26:34–18:26:45  I inspect the Dettol washing machine cleaner label.
18:26:45–18:26:56  I read the Dettol cleaner instructions.
18:26:56–18:27:04  I inspect the Walch washing machine cleaner and price tag.
18:27:04–18:27:09  I examine washing machine cleaners.
18:27:10–18:27:12  I inspect leather care cream.
18:27:13–18:27:15  I view shelf cleaners.
18:27:16–18:27:19  I view floor cleaners.
18:27:20–18:27:24  I inspect pipe cleaners.
18:27:25–18:27:29  I look at specialty cleaners.
18:27:30–18:27:33  I examine spray bottles.
18:27:34–18:27:38  I browse household deodorizing and cleaning shelves.
18:27:39–18:27:43  I look at Florida water bottles and sleep patches.
18:27:44–18:27:50  I inspect mosquito repellent lotions and electric refills.
18:27:51–18:27:54  I walk past a shopper toward laundry detergents.
18:27:55–18:28:00  I scan shelves in the tissue products aisle.
18:28:01–18:28:04  I browse Tempo and XinXiangYin toilet paper rolls.
18:28:04–18:28:06  I walk down the tissue paper aisle.
18:28:06–18:28:10  I take out a pastry.
18:28:11–18:28:17  I inspect the men's hair styling products.
18:28:18–18:28:22  I walk toward the promotional gift baskets.
18:28:22–18:28:27  I examine the anti-hair loss shampoo gift baskets.
18:28:28–18:28:30  I walk toward the oral care wall.
18:28:31–18:28:33  I browse the toothbrush selection.
18:28:34–18:28:37  I examine children's pump-bottle toothpastes.
18:28:38–18:28:44  I inspect hanging children's toothbrushes.
18:28:45–18:28:50  I inspect cartoon toothbrush blister packs.
18:28:51–18:28:54  I look at pink children's pump bottles.
18:28:55–18:28:58  I scan toothpaste tubes on the tray.
18:28:59–18:29:04  I observe the adult toothpaste shelves down the aisle.
18:29:04–18:29:06  I look at Crest and Lengsuanling toothpastes.
18:29:06–18:29:11  I scan Yunnan Baiyao toothpaste.
18:29:11–18:29:16  I inspect Lengsuanling and Crest toothpastes.
18:29:16–18:29:21  I check lower shelf promotional packs.
18:29:21–18:29:26  I scan Parodontax and Colgate toothpastes.
18:29:26–18:29:28  I say '嗯。'
18:29:28–18:29:33  I inspect Colgate Optic White promotional packs.
18:29:34–18:29:40  I browse the toothpaste shelf.
18:29:41–18:29:43  I turn toward the skincare shelf.
18:29:44–18:29:53  I browse the skincare shelf.
18:29:54–18:29:58  I inspect the aloe vera gel shelf.
18:29:59–18:30:00  I look at the shopping bag and snack.
18:30:01–18:30:04  I browse the lip care shelf.
18:30:04–18:30:08  I examine the personal care shelf while holding a pastry.
18:30:09–18:30:13  I inspect the upper skincare shelves.
18:30:14–18:30:16  I walk to the oral care section.
18:30:17–18:30:20  I say '嗯。'
18:30:21–18:30:28  I examine White&White Lion and Zact toothpastes.
18:30:29–18:30:33  I scan Lion White&White price tags.
18:30:34–18:30:46  I examine oral care products.
18:30:47–18:30:52  I look at the snack in my hand.
18:30:53–18:31:03  I scan the toothpaste display.
18:31:04–18:31:06  I say '哎呀，你别说了。'.
18:31:06–18:31:11  I scan toothpaste options.
18:31:11–18:31:17  I inspect lower and top shelf toothpastes.
18:31:17–18:31:21  I examine electric toothbrush packaging.
18:31:21–18:31:26  I inspect the Dencare electric toothbrush illustration.
18:31:26–18:31:29  I check SakyKids and Dencare display units.
18:31:29–18:31:34  I raise the fried snack.
18:31:34–18:31:42  I browse oral care products.
18:31:43–18:31:45  I inspect a snack.
18:31:46–18:31:51  I look at kids' electric toothbrushes.
18:31:52–18:31:58  I scan toothbrushes and mouthwash bottles.
18:31:59–18:32:00  I turn toward the supermarket aisle.
18:32:01–18:32:03  I walk down the supermarket aisle.
18:32:04–18:32:05  I walk past a personal care endcap.
18:32:06–18:32:09  I look at boxed drink stacks.
18:32:10–18:32:14  I walk along the supermarket walkway.
18:32:15–18:32:17  I walk past a snack shelf.
18:32:18–18:32:24  I examine the dried fruit and snack display.
18:32:25–18:32:29  I walk toward a shelf restocking area.
18:32:30–18:32:33  I look at the Children's Biscuits shelf.
18:32:34–18:32:38  I browse the snack shelves.
18:32:39–18:32:42  I spot a shelf magnifying glass.
18:32:43–18:32:49  I grab the magnifying glass.
18:32:50–18:32:53  I say 'What the fuck is this? What the fuck is this?'.
18:32:54–18:32:58  I inspect Oreo packaging through the magnifying glass.
18:32:59–18:33:00  I place the magnifying glass.
18:33:01–18:33:04  I look down the aisle.
18:33:04–18:33:05  I answer an incoming phone call from '+852 2964 2254'.
18:33:05–18:33:06  I say '嗯。'
18:33:06–18:33:09  I examine Oreo mini cups on the shelf.
18:33:10–18:33:12  I hang up the phone call with '+852 2964 2254'.
18:33:13–18:33:14  I view the Alipay payment code.
18:33:15–18:33:18  I switch to WeChat chat list.
18:33:19–18:33:23  I open the chat with 'babe'.
18:33:24–18:33:27  I view dessert photos full screen in chat.
18:33:28–18:33:32  I type '可以给我快递一份' to babe.
18:33:33–18:33:34  I open the emoji keyboard in chat with 'babe'.
18:33:34–18:33:39  I view WeChat chat with babe.
18:33:40–18:33:46  I walk down the supermarket aisle.
18:33:47–18:33:55  I browse hanging candy bags.
18:33:56–18:34:03  I examine a squeeze marshmallow candy.
18:34:04–18:34:12  I examine a Squidward marshmallow package.
18:34:13–18:34:21  I inspect the back label of the marshmallow packet.
18:34:22–18:34:28  I hang the marshmallow packet back onto the shelf hook.
18:34:29–18:34:31  I step back from the candy rack.
18:34:32–18:34:34  I view a WeChat chat with babe.
18:34:34–18:34:38  I open the Weather app.
18:34:39–18:34:42  I look around the aisle.
18:34:43–18:34:46  I check the weather forecast for Pudong New Area.
18:34:47–18:34:57  I check the detailed precipitation and temperature chart.
18:34:58–18:35:01  I say '没雨了，已经。'
18:35:02–18:35:04  I look at the snack shelves.
18:35:04–18:35:07  I walk past gift boxes toward an endcap.
18:35:08–18:35:10  I read the carbonated drinks sign.
18:35:11–18:35:14  I examine OKF sparkling grape drinks.
18:35:15–18:35:16  I turn past the baijiu shelf.
18:35:17–18:35:19  I browse herbal and juice bottles.
18:35:20–18:35:23  I inspect Kagome and Nine Day juice cartons.
18:35:24–18:35:27  I walk toward the cashier and bakery.
18:35:28–18:35:33  I look at the checkout directional sign and dumpling stall.
18:35:34–18:35:37  I observe the wonton counter.
18:35:38–18:35:41  I walk past the bakery counter.
18:35:42–18:35:45  I walk down the main grocery aisle.
18:35:46–18:35:50  I browse the beer and chilled beverage shelves.
18:35:51–18:35:55  I walk past the wine and snack shelves.
18:35:56–18:36:03  I say 'Where's the uh, like the fast food, like the fast food, Where's the fast food?'.
18:36:04–18:36:07  I say 'habit或者something，I think it's habits，right?'
18:36:07–18:36:11  I observe the beef counter.
18:36:12–18:36:19  I walk down the aisle.
18:36:20–18:36:23  I inspect the cooked crayfish stall.
18:36:24–18:36:29  I approach the seafood tank.
18:36:30–18:36:33  I watch a shopper scoop prawns.
18:36:34–18:36:37  I watch prawns in the seafood tank.
18:36:38–18:36:39  I glance at the 置物台 sign.
18:36:40–18:36:41  I say '嗯'.
18:36:42–18:36:43  I look at the basket and tank sign.
18:36:44–18:36:49  I examine prawns near the aeration pipe.
18:36:50–18:36:56  I track a blue-clawed prawn.
18:36:57–18:37:04  I watch prawns swimming.
18:37:04–18:37:08  I watch the staff member scoop live prawns.
18:37:08–18:37:14  I watch the staff member pack the prawns.
18:37:14–18:37:22  I observe the prawns in the water tank.
18:37:22–18:37:26  I say '总感觉不够。'
18:37:26–18:37:34  I watch the prawns swim.
18:37:34–18:37:56  I observe prawns in a seafood tank.
18:37:57–18:37:58  I look at the self-service utensil stand.
18:37:59–18:38:00  I grab a plastic scoop.
18:38:01–18:38:03  I lower the scoop into the water tank.
18:38:04–18:38:08  I inspect a shrimp on the scoop.
18:38:08–18:38:13  I lower the scoop into the water tank.
18:38:14–18:38:22  I sift the scoop through the tank.
18:38:23–18:38:28  I scoop up a freshwater prawn.
18:38:28–18:38:30  I watch the prawn leap back into the tank.
18:38:30–18:38:31  I say "我操！".
18:38:31–18:38:34  I hang the strainer scoop on the rack.
18:38:34–18:38:44  I observe live prawns in a tank.
18:38:45–18:38:53  I watch the prawns crawling.
18:38:54–18:38:57  I say '那挺有意思。'
18:38:58–18:39:04  I continue watching the prawns.
18:39:04–18:39:11  I watch live prawns in a supermarket aquarium tank.
18:39:12–18:39:18  I examine the prawns moving on the tank floor.
18:39:19–18:39:24  I watch prawns clustered around the aeration pipe.
18:39:25–18:39:28  I look at the water surface near the pipe outlet.
18:39:29–18:39:34  I observe a prawn swimming near the tank edge.
18:39:34–18:39:42  I observe live prawns in the aquarium tank.
18:39:43–18:39:53  I watch the prawns crawling in the center of the tank.
18:39:54–18:39:56  I say '嗯。'
18:39:57–18:40:04  I continue observing the prawns in the tank.
18:40:04–18:40:06  I say '找虾。'
18:40:07–18:40:08  I observe the seafood tank island.
18:40:09–18:40:14  I examine overhead digital seafood price screens.
18:40:15–18:40:18  I check the South American white shrimp price screen.
18:40:19–18:40:23  I walk toward the back wall aquarium counter.
18:40:24–18:40:27  I approach the multi-tier glass wall aquariums.
18:40:28–18:40:33  I say '看龙虾和面包蟹。'
18:40:34–18:40:38  I look at the crab.
18:40:39–18:40:41  I examine middle-tier crabs.
18:40:42–18:40:45  I observe the bottom tank.
18:40:46–18:40:47  I check the ¥239.00 label.
18:40:48–18:40:53  I watch the upper crab.
18:40:54–18:40:57  I say '那只还没有人买。'
18:40:58–18:41:03  I watch the crab.
18:41:04–18:41:07  I look at the live seafood display tanks.
18:41:08–18:41:15  I observe a live crab in the tank.
18:41:16–18:41:22  I examine the lobster and the ¥99.00 price tag.
18:41:23–18:41:26  I observe the crabs and the ¥59.90 price tag.
18:41:27–18:41:33  I inspect the ¥239.00 price tag and crabs.
18:41:34–18:41:37  I examine live brown crabs.
18:41:37–18:41:41  I glance at a top-tier crustacean.
18:41:41–18:41:47  I inspect clustered crabs and lobsters.
18:41:47–18:42:00  I inspect a live bread crab.
18:42:00–18:42:04  I view adjacent flatfish and swimming fish.
18:42:04–18:42:06  I say '嗯，是的。'
18:42:06–18:42:07  I observe a customer.
18:42:08–18:42:11  I observe a floor scrubber.
18:42:12–18:42:14  I look toward refrigerated cabinets.
18:42:15–18:42:18  I inspect live shellfish tanks.
18:42:19–18:42:24  I look at live clams.
18:42:25–18:42:29  I examine a live crayfish tank.
18:42:30–18:42:33  I read the overhead seafood menu screens.
18:42:34–18:42:45  I look at the crayfish in the live seafood tank.
18:42:45–18:42:59  I observe the live crayfish in the tank.
18:42:59–18:43:01  I walk into the aisle.
18:43:01–18:43:03  I say '好冷！'.
18:43:03–18:43:04  I look at the refrigerated display island.
18:43:04–18:43:07  I read the cut fruit production date and discount sign.
18:43:08–18:43:13  I examine the cut fruit containers.
18:43:14–18:43:20  I inspect the melon trays and blueberry boxes.
18:43:21–18:43:23  I say '嗯。'.
18:43:24–18:43:33  I read the '今日糖度检测值' sweetness chart.
18:43:34–18:43:40  I look at the refrigerated fruit counter.
18:43:41–18:43:43  I look at packaged blueberries and strawberries.
18:43:44–18:43:49  I read the fruit sugar level chart.
18:43:50–18:43:58  I read the fruit sugar content board.
18:43:59–18:44:01  I observe the fruit counter restocking.
18:44:02–18:44:03  I look at packaged cherries and berries.
18:44:04–18:44:06  I look at packaged grapes.
18:44:06–18:44:08  I say '那卖真的很便宜，一双二十块钱，我操！'
18:44:08–18:44:11  I look around the supermarket aisle.
18:44:12–18:44:21  I browse the fruit island display.
18:44:21–18:44:23  I say '他妈这么好看，几天？'
18:44:24–18:44:27  I pick up a bag of Sunshine Rose grapes.
18:44:28–18:44:31  I inspect the bag of Sunshine Rose grapes.
18:44:32–18:44:33  I place the bag of grapes back.
18:44:34–18:44:35  I view grapes in the fruit cooler.
18:44:35–18:44:38  I walk past the egg section.
18:44:38–18:44:41  I walk past seafood freezers.
18:44:41–18:44:45  I walk past deli meat shelves.
18:44:45–18:44:50  I walk toward the deli section.
18:44:50–18:44:57  I approach the roast duck counter.
18:44:57–18:45:03  I scan snacks and roast poultry at the deli counter.
18:45:04–18:45:07  I walk to the deli counter.
18:45:07–18:45:10  I say '好暖，so warm，so good。'.
18:45:10–18:45:13  I inspect the deli meals and wraps.
18:45:13–18:45:18  I examine the sandwiches and roast duck.
18:45:18–18:45:23  I observe staff restocking the food counter.
18:45:23–18:45:27  I look at the 29.90 Yuan sushi section.
18:45:27–18:45:33  I inspect salmon sashimi and sushi rolls.
18:45:34–18:45:41  I browse the packaged meats and salmon sashimi.
18:45:42–18:45:45  I inspect the sushi platters and promotion sign.
18:45:46–18:45:50  I watch the sushi chef arrange sushi platters.
18:45:51–18:45:57  I observe the chef aligning sushi boxes.
18:45:58–18:46:03  I view the packaged sides and salmon fillets.
18:46:04–18:46:14  I browse the sushi and salmon counter.
18:46:14–18:46:18  I examine the salmon fillets.
18:46:18–18:46:21  I say '这边这边贝贝，这边贝贝，走吧，我们去找奶奶，快走！'.
18:46:21–18:46:25  I ask '奶奶在哪里？'.
18:46:25–18:46:33  I say '奶奶这边。'.
18:46:34–18:46:38  I look at the cooked deli food display.
18:46:39–18:46:43  I examine the roast poultry and shredded meat display.
18:46:44–18:46:46  I look at staff and customers in the aisle.
18:46:47–18:46:51  I look at the Dim Sum counter.
18:46:52–18:46:57  I examine the boneless chicken feet promotion and cold seafood trays.
18:46:58–18:47:04  I look at cold vegetable salad trays.
18:47:04–18:47:06  I look at cold dishes.
18:47:06–18:47:09  I read the chicken feet standee.
18:47:09–18:47:14  I scan cold salad trays.
18:47:14–18:47:16  I look at the dried goods aisle.
18:47:17–18:47:20  I observe the deli counter date flip sign.
18:47:20–18:47:26  I watch the staff arrange marinated dishes.
18:47:26–18:47:29  I hear '这个这个新的没有多少。要哪个？'.
18:47:29–18:47:31  I hear '猪头肉。'.
18:47:31–18:47:34  I hear '没有搬吗？现在都没有人，现在现在没有。'.
18:47:34–18:47:35  I say '好香！这个香菜肠好好吃，老好吃了，我操！'
18:47:36–18:47:37  I glance toward the dried goods shelving.
18:47:38–18:47:44  I follow my companion around the deli counter.
18:47:45–18:47:50  I say '满馋的流口水，真的。'
18:47:51–18:47:55  I look toward the sushi island counter.
18:47:56–18:48:03  I inspect the packaged salmon sashimi and sushi.
18:48:04–18:48:09  I inspect the salmon sashimi trays.
18:48:10–18:48:13  I look at the upper sushi display.
18:48:14–18:48:15  I check the cold deli containers.
18:48:16–18:48:18  I look toward the roast duck stall.
18:48:19–18:48:23  I walk to the fried foods counter.
18:48:24–18:48:28  I inspect the youtiao and notice.
18:48:29–18:48:33  I browse the boxed fried snacks.
18:48:34–18:48:36  I view the deli counter and aisle.
18:48:36–18:48:41  I examine the roasted poultry display.
18:48:41–18:48:46  I inspect packaged silkworm pupae and peanuts.
18:48:46–18:48:53  I check prices on packaged snack boxes.
18:48:53–18:49:00  I view packaged spicy broad beans and snacks.
18:49:00–18:49:04  I say '八零四，六三五九。我去，这是magic。'
18:49:04–18:49:10  I browse deli meal bowls and salads.
18:49:11–18:49:14  I check packaged wraps and cold meat trays.
18:49:15–18:49:19  I observe a Shuanghui deli platter and canned beer.
18:49:20–18:49:23  I examine Ziyan braised meat platters and sausages.
18:49:24–18:49:27  I inspect the weighing scale and packaged cheese.
18:49:28–18:49:31  I inspect small tubs of pickled side dishes.
18:49:32–18:49:34  I hear someone say '没有对象了。哦。'.
18:49:34–18:49:40  I walk past produce and deli counters.
18:49:41–18:49:47  I walk past condiment and oil shelves.
18:49:48–18:49:53  I check iPhone notifications from babe.
18:49:54–18:49:58  I read WeChat messages from babe.
18:49:59–18:50:03  I view a full-screen photo of a meat platter.
