16:55:51–16:55:53  Roommate says '啊，我中午就吃了这个。'.
17:04:19–17:04:21  I check a recipe on my phone.
17:04:21–17:04:28  I say '生抽、蚝油、料酒、淀粉、油、生、生抽、蚝油、蒜、料酒'.
17:04:29–17:04:33  I scan the countertop condiments.
17:04:34–17:04:35  I pick up a pouch of cornstarch.
17:04:36–17:04:39  I unscrew the cornstarch pouch cap.
17:04:40–17:04:50  I say '淀粉、淀粉、淀粉、淀粉、淀粉、淀粉'.
17:04:51–17:04:57  I pour cornstarch into the bowl of meat.
17:04:58–17:05:01  I cap and place down the cornstarch pouch.
17:05:02–17:05:03  I grab the white spoon.
17:05:04–17:05:20  I mix the cornstarch into the sliced meat.
17:05:21–17:05:32  I mix sliced meat.
17:05:33–17:05:39  I stir sliced meat.
17:05:40–17:05:43  I smell seasoned meat.
17:05:44–17:05:47  I say '我操，这个好香啊！'
17:05:48–17:05:51  I say '我操，这个花椒油。'
17:05:51–17:05:56  I stir marinated meat.
17:05:57–17:06:01  I say '看着面好了，感觉差不多了，加点盐进去，上个味儿啊。'
17:06:02–17:06:04  I pick up a packet of salt.
17:06:05–17:06:08  I pour salt into boiling noodles.
17:06:09–17:06:10  I place the salt packet on the counter.
17:06:11–17:06:12  I pick up chopsticks.
17:06:13–17:06:21  I stir the boiling noodles.
17:06:21–17:06:23  I stir boiling noodles.
17:06:24–17:06:25  I say '哦，shit。'
17:06:26–17:06:31  I stir the boiling noodles.
17:06:32–17:06:36  I inspect the sink and food prep area.
17:06:37–17:06:42  I stir the boiling noodles.
17:06:43–17:06:44  I inspect a noodle strand.
17:06:44–17:06:45  I say '嗯，差不多。'
17:06:46–17:06:47  I set down the chopsticks.
17:06:48–17:06:49  I say '嗯。'
17:06:50–17:06:50  I reach for the electric pot knob.
17:06:51–17:06:53  I stir the noodles.
17:06:53–17:06:55  I pick up a ceramic bowl.
17:06:55–17:07:01  I transfer noodles into the bowl.
17:07:01–17:07:08  I scoop the remaining noodles.
17:07:08–17:07:11  I place the bowl of noodles.
17:07:11–17:07:14  I set down chopsticks.
17:07:14–17:07:16  I turn on the faucet.
17:07:16–17:07:17  I say "好呀。 okay."
17:07:17–17:07:19  I wash a green chili pepper.
17:07:19–17:07:21  I rinse the knife blade.
17:07:21–17:07:23  I trim the green pepper stem.
17:07:24–17:07:46  I slice the green pepper.
17:07:47–17:07:49  I pick up a green pepper from the sink.
17:07:50–17:07:51  I position the green pepper on the cutting board.
17:07:51–17:07:53  I trim the stem off a green chili pepper.
17:07:54–17:08:09  I slice the green chili pepper.
17:08:10–17:08:12  I rinse a green chili pepper in the sink.
17:08:13–17:08:17  I trim the stem off the green chili pepper.
17:08:18–17:08:21  I slice the green chili pepper.
17:08:21–17:08:33  I slice a green pepper.
17:08:34–17:08:39  I trim a pepper stem over the sink.
17:08:40–17:08:46  I slice the green pepper.
17:08:47–17:08:50  I check recipe photos on my phone.
17:08:51–17:08:53  I slice green pepper.
17:08:53–17:08:54  I say "这他妈怎么会这样呢？我操！"
17:08:54–17:08:55  I pick up my smartphone.
17:08:55–17:08:58  I read the Xiaohongshu recipe steps by 月亮家美食记.
17:08:58–17:09:01  I say "辣椒、葱姜、小米辣。"
17:09:01–17:09:05  I swipe through the Xiaohongshu post photos.
17:09:06–17:09:08  I tap the Xiaohongshu recipe card by 搞点什么七七.
17:09:09–17:09:11  I browse the Xiaohongshu recipe note by 搞点什么七七.
17:09:12–17:09:16  I check the screw pepper cooking instructions.
17:09:17–17:09:20  I check the pork belly slicing guidelines.
17:09:21–17:09:22  I read recipe step 4.
17:09:23–17:09:26  I read recipe step 5.
17:09:27–17:09:29  I read recipe seasoning step.
17:09:30–17:09:34  I say '生抽老抽蚝油料酒'.
17:09:35–17:09:36  I view the finished dish slide.
17:09:37–17:09:38  I select a new recipe post.
17:09:39–17:09:40  I read the meat marinating steps.
17:09:41–17:09:45  I read frying steps on slide 3/7.
17:09:46–17:09:48  I read final step on slide 4/7.
17:09:49–17:09:50  I view slide 5/7 of the stir fry in the wok.
17:09:51–17:09:55  I browse a Xiaohongshu recipe for 辣椒炒肉.
17:09:56–17:09:57  I lock and set down my phone.
17:09:58–17:09:59  I rinse my hand.
17:10:00–17:10:02  I say '都是生抽，都是生抽，热锅凉油。'
17:10:03–17:10:05  I turn on the range hood light.
17:10:06–17:10:12  I ignite the gas burner.
17:10:13–17:10:15  I pick up the cutting board and knife.
17:10:16–17:10:21  I scrape chopped green peppers into the pan.
17:10:21–17:10:23  I ask '今天得加味精吗？'
17:10:24–17:10:27  I ask '味精在哪？'
17:10:28–17:10:30  I rinse the cutting board and knife.
17:10:31–17:10:33  I turn off the water faucet.
17:10:34–17:10:37  I say '盐和味精那是必须要加。'
17:10:38–17:10:40  I unhook a cooking spatula.
17:10:41–17:10:44  I say '哎呦我勒个豆！'
17:10:45–17:10:47  I say '味精味精。'
17:10:48–17:10:50  I inspect the white sugar pouch.
17:10:51–17:10:54  I examine a pouch of 玉米淀粉.
17:10:55–17:11:03  I search through spice containers.
17:11:04–17:11:10  I inspect the sink counter condiments.
17:11:11–17:11:12  I scan the kitchen countertop.
17:11:13–17:11:17  I walk down the hallway.
17:11:18–17:11:21  I say '味精味精味精味精，听好友，味精味精味精味精，家里有味精不？' to my housemate.
17:11:21–17:11:24  I say "啊，家里有味精不？" to my roommate.
17:11:24–17:11:26  My roommate says "不放那儿吗？".
17:11:26–17:11:28  I say "在哪？".
17:11:28–17:11:33  I say "哦，看到了，没事儿，看到了，看到了。".
17:11:33–17:11:36  I watch my roommate enter the kitchen.
17:11:36–17:11:51  I stir-fry green vegetables in a frying pan.
17:11:51–17:12:07  I monitor chopped green bell peppers cooking.
17:12:08–17:12:11  I turn off the gas stove knob.
17:12:12–17:12:13  I turn toward the kitchen countertop.
17:12:14–17:12:20  I mix marinated sliced meat.
17:12:21–17:12:30  I stir the marinated sliced meat.
17:12:30–17:12:35  I look at the knife and ingredients on the counter.
17:12:35–17:12:39  I turn toward the stove.
17:12:39–17:12:43  I say '哦，这个很香啊！我操。'
17:12:43–17:12:46  I pick up the spatula.
17:12:46–17:12:51  I stir-fry the green peppers.
17:12:51–17:13:08  I stir-fry chopped green peppers.
17:13:08–17:13:16  I toss green peppers in the frying pan.
17:13:16–17:13:21  I move the spatula toward the electric cooking pot.
17:13:21–17:13:23  I hold a frying pan with peppers.
17:13:23–17:13:25  I pick up my phone.
17:13:25–17:13:31  I pocket my phone.
17:13:31–17:13:33  I place the pan on the stove.
17:13:33–17:13:50  I stir-fry the green peppers.
17:13:51–17:14:01  I stir-fry green peppers.
17:14:01–17:14:03  I gesture with my left hand.
17:14:03–17:14:18  I stir-fry green peppers.
17:14:18–17:14:20  I turn toward the kitchen counter.
17:14:20–17:14:21  I reach toward the ingredient bowls.
17:14:21–17:14:23  I pick up cooking chopsticks.
17:14:23–17:14:26  I stir green peppers in the pan.
17:14:26–17:14:32  I inspect a green pepper piece.
17:14:32–17:14:37  I stir-fry green peppers with chopsticks.
17:14:37–17:14:40  I place chopsticks on the counter.
17:14:40–17:14:44  I stir-fry green peppers with a spatula.
17:14:45–17:14:46  I check the prep counter.
17:14:47–17:14:50  I reach for cooking oil.
17:14:51–17:14:54  I pick up a bottle of seasoned oil.
17:14:55–17:15:00  I hold the oil bottle.
17:15:01–17:15:03  I open the oil bottle cap.
17:15:04–17:15:06  I pour oil into the pan.
17:15:07–17:15:09  I place the oil bottle on the counter.
17:15:10–17:15:16  I stir-fry the green peppers.
17:15:17–17:15:20  I say '加上这个油炒，跟这个油会很香。'
17:15:21–17:15:23  I place a seasoning bottle.
17:15:24–17:15:25  I hold a bowl of marinated meat.
17:15:26–17:15:28  I scrape marinated meat into the frying pan.
17:15:29–17:15:30  I place the empty bowl by the sink.
17:15:31–17:15:35  I spread sliced meat in the frying pan.
17:15:36–17:15:43  I stir-fry meat and green peppers.
17:15:44–17:15:50  I flip cooking meat and green peppers.
17:15:51–17:15:52  I pick up a bottle of cooking oil.
17:15:53–17:15:54  I unscrew the cooking oil cap.
17:15:55–17:15:58  I pour cooking oil into the pan.
17:15:59–17:16:00  I set down the cooking oil bottle.
17:16:01–17:16:20  I stir-fry the pork and green peppers.
17:16:21–17:16:27  I stir-fry pork slices and green peppers.
17:16:28–17:16:30  I look at the countertop and sink.
17:16:31–17:16:32  I turn back to the stove.
17:16:33–17:16:36  I say '然后再加一些糖调味儿。'
17:16:37–17:16:50  I stir-fry pork slices and green peppers.
17:16:51–17:16:54  I stir-fry pork and green peppers.
17:16:54–17:16:56  I say '在家躺，在充电。'
17:16:56–17:17:09  I stir-fry pork and green peppers.
17:17:10–17:17:11  I pick up a sugar pouch.
17:17:12–17:17:14  I unscrew the sugar pouch cap.
17:17:15–17:17:20  I pour sugar into the pan.
17:17:21–17:17:24  I sprinkle white sugar into the pan.
17:17:25–17:17:26  I adjust the stove knob.
17:17:27–17:17:41  I stir-fry the pork and green peppers.
17:17:42–17:17:44  I pick up a pouch of Haday chicken bouillon.
17:17:45–17:17:46  User X calls out 'User A'.
17:17:47–17:17:48  I say '啊？什么？'.
17:17:49–17:17:50  I say '好好好。' to User X.
17:17:50–17:17:51  I walk into the hallway.
17:17:51–17:17:52  I hold a pouch of chicken powder.
17:17:53–17:17:55  I position the chicken powder pouch over the frying pan.
17:17:56–17:18:00  I sprinkle chicken powder into the frying pan.
17:18:01–17:18:05  I cap the chicken powder pouch.
17:18:06–17:18:06  I place the chicken powder pouch on the counter.
17:18:07–17:18:10  I stir-fry the pork and green peppers with a spatula.
17:18:11–17:18:14  I toss the stir-fry in the frying pan.
17:18:15–17:18:20  I stir-fry the pork and green peppers.
17:18:21–17:18:40  I stir-fry green peppers and sliced pork.
17:18:40–17:18:44  I look toward the kitchen counter and sink.
17:18:44–17:18:45  I say "好。"
17:18:45–17:18:51  I watch Person X pick up a pork slice with chopsticks.
17:18:51–17:18:54  I observe the kitchen countertop.
17:18:55–17:18:59  I examine the condiment bottles.
17:18:59–17:19:00  I taste a pork slice.
17:19:00–17:19:01  I say '太咸，没有味道。还行，没什么。'
17:19:01–17:19:04  I stir the green peppers and pork.
17:19:04–17:19:06  I pick up a packet of table salt.
17:19:07–17:19:12  I sprinkle table salt into the pan.
17:19:13–17:19:15  I grip the frying pan handle.
17:19:16–17:19:20  I stir-fry the green peppers and pork.
17:19:21–17:19:31  I stir-fry green peppers and pork.
17:19:32–17:19:34  I pick up wooden chopsticks.
17:19:35–17:19:38  I pick up a slice of pork with chopsticks.
17:19:39–17:19:48  I taste the pork slice.
17:19:49–17:19:50  I look at seasoning bottles.
17:19:51–17:19:53  I monitor the green peppers and pork stir-frying.
17:19:54–17:19:56  I turn toward the sink prep counter.
17:19:57–17:19:58  I pick up wooden chopsticks.
17:19:59–17:20:07  I stir-fry the green peppers and pork slices.
17:20:08–17:20:11  I pick up a bag of table salt.
17:20:12–17:20:13  I turn toward the skillet with chopsticks.
17:20:14–17:20:16  I pick up a green pepper slice with chopsticks.
17:20:16–17:20:18  I say '入味儿啊，这个肉，尝一尝尖椒入不入味儿？'
17:20:19–17:20:21  I hold the bag of table salt over the skillet.
17:20:21–17:20:25  I sprinkle salt into the frying pan.
17:20:26–17:20:28  I place the salt bag on the counter.
17:20:29–17:20:35  I stir-fry the pork and green peppers.
17:20:36–17:20:37  I toss the ingredients in the frying pan.
17:20:38–17:20:43  I stir-fry the pork and peppers with the spatula.
17:20:44–17:20:48  I pick up a pork slice with chopsticks.
17:20:49–17:20:50  I taste the pork slice.
17:20:50–17:20:51  I say '嗯。'
17:20:51–17:20:55  I inspect the kitchen counter.
17:20:56–17:21:01  I pick up a green pepper slice.
17:21:02–17:21:05  I taste the green pepper.
17:21:06–17:21:09  I look at the seasonings.
17:21:10–17:21:13  I look over the condiment bottles.
17:21:14–17:21:17  I pick up a seasoning bottle.
17:21:18–17:21:18  Someone says '快！'.
17:21:19–17:21:21  I stir-fry the meat and green peppers.
17:21:21–17:21:36  I stir-fry green peppers and pork.
17:21:36–17:21:39  I taste the cooked meat.
17:21:39–17:21:45  I check the seasonings on the counter.
17:21:45–17:21:48  I glance at the adjoining kitchen counter.
17:21:48–17:21:51  I say '又是一点味儿也没有啊！我操。'
17:21:51–17:21:57  I stir-fry pork and bell peppers.
17:21:58–17:21:59  I reach toward a bowl of noodles.
17:22:00–17:22:00  I look at the stovetop.
17:22:01–17:22:09  I stir pork and bell peppers with chopsticks.
17:22:10–17:22:12  I say '嗯。'
17:22:13–17:22:17  I look at a seasoning packet.
17:22:18–17:22:20  I look at the frying pan.
17:22:21–17:22:26  I stir-fry pork and green peppers.
17:22:26–17:22:28  I taste a pork piece.
17:22:28–17:22:29  I say '嗯。'
17:22:29–17:22:32  I look at table salt.
17:22:32–17:22:45  I stir-fry pork and green peppers.
17:22:45–17:22:48  I reach toward utensils.
17:22:48–17:22:51  I pick up table salt.
17:22:51–17:22:55  I season the stir-fry with salt.
17:22:55–17:22:57  I set aside the salt.
17:22:57–17:23:05  I stir-fry the pork and green peppers.
17:23:05–17:23:08  I look at a bowl of noodles.
17:23:08–17:23:11  I pick up the bowl of noodles.
17:23:11–17:23:15  I take chopsticks from the sink.
17:23:15–17:23:19  I turn off the gas stove.
17:23:19–17:23:21  I walk toward the kitchen door.
17:23:21–17:23:24  I carry a bowl of noodles out of the kitchen.
17:23:25–17:23:29  I walk into bedroom B.
17:23:30–17:23:32  I move a glass of water onto the desk.
17:23:33–17:23:35  I move a phone stand onto the desk.
17:23:36–17:23:38  I move yellow earplugs onto the desk.
17:23:39–17:23:40  I place the noodle bowl on the table.
17:23:41–17:23:44  I walk back to the kitchen.
17:23:45–17:23:46  I pick up the frying pan from the stove.
17:23:47–17:23:50  I carry the frying pan to the bedroom.
17:23:51–17:24:06  I transfer stir-fried green peppers and pork into a noodle bowl.
17:24:06–17:24:11  I turn toward the doorway.
17:24:11–17:24:14  I face User A at the desk.
17:24:14–17:24:18  I say 'Do you want in now or later?' to User A.
17:24:18–17:24:21  I turn back toward the hallway.
17:24:21–17:24:25  I carry a frying pan into the kitchen.
17:24:25–17:24:29  I walk into the bedroom.
17:24:29–17:24:32  I adjust the food bowl on the rolling cart.
17:24:33–17:24:36  I push the bedroom door closed.
17:24:36–17:24:41  I say '哈哈哈！先可以用大碗啊。' to my roommate.
17:24:41–17:24:46  I pull the rolling tray table closer to the bed.
17:24:46–17:24:50  I take hold of the chopsticks in the food bowl.
17:24:51–17:24:55  I mix the noodles.
17:24:55–17:25:00  I lift noodles.
17:25:00–17:25:04  I say '感觉我炒的肉不入味儿。'
17:25:04–17:25:10  I stir the noodles.
17:25:10–17:25:14  I place my left hand on the table.
17:25:14–17:25:21  I swirl noodles.
17:25:21–17:25:24  I pick noodles with chopsticks.
17:25:21–17:25:24  Someone asks '估计腌的时间太短了，你一般腌多久？'.
17:25:24–17:25:27  I say '不知道，我腌的。'.
17:25:24–17:25:27  I lift noodles with chopsticks.
